ward,precinct,total,"Edgar Gonzalez, Jr.","Edgar Gonzalez, Jr. Percent",precinct_id
12,2,32,32,100.0,12002
12,7,9,9,100.0,12007
12,11,62,62,100.0,12011
12,12,69,69,100.0,12012
12,13,35,35,100.0,12013
12,14,61,61,100.0,12014
12,15,65,65,100.0,12015
12,16,41,41,100.0,12016
12,17,16,16,100.0,12017
12,18,26,26,100.0,12018
12,20,79,79,100.0,12020
12,22,64,64,100.0,12022
14,10,44,44,100.0,14010
14,16,56,56,100.0,14016
14,20,46,46,100.0,14020
14,31,39,39,100.0,14031
15,4,47,47,100.0,15004
15,6,47,47,100.0,15006
15,8,35,35,100.0,15008
15,9,34,34,100.0,15009
15,10,102,102,100.0,15010
15,11,62,62,100.0,15011
15,12,59,59,100.0,15012
22,3,94,94,100.0,22003
22,4,41,41,100.0,22004
22,5,66,66,100.0,22005
22,6,60,60,100.0,22006
22,7,69,69,100.0,22007
22,9,55,55,100.0,22009
22,10,106,106,100.0,22010
22,11,41,41,100.0,22011
22,13,57,57,100.0,22013
22,14,70,70,100.0,22014
22,15,49,49,100.0,22015
22,16,47,47,100.0,22016
22,17,85,85,100.0,22017
22,18,47,47,100.0,22018
22,19,34,34,100.0,22019
22,20,60,60,100.0,22020
22,21,3,3,100.0,22021
22,22,40,40,100.0,22022
22,24,91,91,100.0,22024
22,25,57,57,100.0,22025
24,9,2,2,100.0,24009
24,16,322,322,100.0,24016
24,39,38,38,100.0,24039
