ward,precinct,total,Celina Villanueva,Celina Villanueva Percent,Javier Yanez,Javier Yanez Percent,precinct_id
11,1,153,111,72.55,42,27.45,11001
11,3,161,95,59.01,66,40.99,11003
11,4,120,87,72.5,33,27.5,11004
11,5,161,110,68.32,51,31.68,11005
11,8,123,81,65.85,42,34.15,11008
11,9,99,75,75.76,24,24.24,11009
11,10,95,65,68.42,30,31.58,11010
11,11,121,89,73.55,32,26.45,11011
11,14,71,32,45.07,39,54.93,11014
11,15,58,39,67.24,19,32.76,11015
11,16,82,47,57.32,35,42.68,11016
11,17,196,152,77.55,44,22.45,11017
11,18,101,52,51.49,49,48.51,11018
11,19,199,133,66.83,66,33.17,11019
11,20,95,59,62.11,36,37.89,11020
11,21,11,9,81.82,2,18.18,11021
11,22,154,113,73.38,41,26.62,11022
11,23,87,56,64.37,31,35.63,11023
11,24,16,14,87.5,2,12.5,11024
11,26,162,106,65.43,56,34.57,11026
11,27,47,35,74.47,12,25.53,11027
11,29,157,121,77.07,36,22.93,11029
11,30,74,47,63.51,27,36.49,11030
11,31,2,2,100.0,0,0.0,11031
11,36,50,29,58.0,21,42.0,11036
11,37,43,25,58.14,18,41.86,11037
11,38,74,48,64.86,26,35.14,11038
12,1,126,82,65.08,44,34.92,12001
12,2,69,52,75.36,17,24.64,12002
12,4,111,75,67.57,36,32.43,12004
12,5,120,95,79.17,25,20.83,12005
12,6,124,77,62.1,47,37.9,12006
12,7,76,62,81.58,14,18.42,12007
12,9,88,66,75.0,22,25.0,12009
12,10,105,72,68.57,33,31.43,12010
12,11,64,53,82.81,11,17.19,12011
12,12,79,54,68.35,25,31.65,12012
12,13,88,64,72.73,24,27.27,12013
12,14,77,53,68.83,24,31.17,12014
12,15,74,51,68.92,23,31.08,12015
12,16,43,31,72.09,12,27.91,12016
12,17,79,57,72.15,22,27.85,12017
12,18,49,40,81.63,9,18.37,12018
12,19,89,66,74.16,23,25.84,12019
12,20,87,63,72.41,24,27.59,12020
12,21,59,48,81.36,11,18.64,12021
12,22,74,58,78.38,16,21.62,12022
12,23,135,102,75.56,33,24.44,12023
14,10,46,35,76.09,11,23.91,14010
14,16,59,47,79.66,12,20.34,14016
14,20,54,36,66.67,18,33.33,14020
14,31,41,28,68.29,13,31.71,14031
15,1,81,42,51.85,39,48.15,15001
15,4,48,34,70.83,14,29.17,15004
15,5,48,31,64.58,17,35.42,15005
15,6,58,41,70.69,17,29.31,15006
15,8,37,24,64.86,13,35.14,15008
15,9,67,50,74.63,17,25.37,15009
15,10,119,72,60.5,47,39.5,15010
15,11,74,52,70.27,22,29.73,15011
15,12,65,54,83.08,11,16.92,15012
15,13,27,19,70.37,8,29.63,15013
22,3,111,94,84.68,17,15.32,22003
22,4,49,42,85.71,7,14.29,22004
22,5,75,68,90.67,7,9.33,22005
22,6,75,68,90.67,7,9.33,22006
22,7,79,62,78.48,17,21.52,22007
22,9,62,44,70.97,18,29.03,22009
22,10,120,96,80.0,24,20.0,22010
22,11,49,43,87.76,6,12.24,22011
22,13,64,46,71.88,18,28.13,22013
22,14,74,58,78.38,16,21.62,22014
22,15,52,40,76.92,12,23.08,22015
22,16,59,54,91.53,5,8.47,22016
22,17,100,85,85.0,15,15.0,22017
22,18,59,48,81.36,11,18.64,22018
22,19,40,36,90.0,4,10.0,22019
22,20,66,57,86.36,9,13.64,22020
22,21,4,3,75.0,1,25.0,22021
22,22,48,44,91.67,4,8.33,22022
22,24,104,92,88.46,12,11.54,22024
22,25,65,53,81.54,12,18.46,22025
24,9,1,1,100.0,0,0.0,24009
24,16,412,302,73.3,110,26.7,24016
24,39,43,32,74.42,11,25.58,24039
25,1,102,57,55.88,45,44.12,25001
25,2,164,98,59.76,66,40.24,25002
25,5,127,84,66.14,43,33.86,25005
25,6,45,24,53.33,21,46.67,25006
25,7,130,70,53.85,60,46.15,25007
25,8,140,84,60.0,56,40.0,25008
25,9,101,63,62.38,38,37.62,25009
25,11,150,94,62.67,56,37.33,25011
25,12,144,101,70.14,43,29.86,25012
25,13,197,90,45.69,107,54.31,25013
25,14,121,66,54.55,55,45.45,25014
25,15,113,71,62.83,42,37.17,25015
25,17,164,118,71.95,46,28.05,25017
25,18,146,41,28.08,105,71.92,25018
25,19,138,83,60.14,55,39.86,25019
25,22,130,60,46.15,70,53.85,25022
25,23,182,112,61.54,70,38.46,25023
25,24,104,63,60.58,41,39.42,25024
25,26,119,86,72.27,33,27.73,25026
25,27,20,14,70.0,6,30.0,25027
25,28,127,81,63.78,46,36.22,25028
25,30,108,57,52.78,51,47.22,25030
25,32,7,6,85.71,1,14.29,25032
28,19,2,1,50.0,1,50.0,28019
