ward,precinct,total,"DANIEL """"DANNY"""" SOLIS","DANIEL """"DANNY"""" SOLIS Percent",precinct_id
25,1,113,113,100.0,25001
25,2,146,146,100.0,25002
25,3,127,127,100.0,25003
25,4,143,143,100.0,25004
25,5,142,142,100.0,25005
25,6,101,101,100.0,25006
25,7,87,87,100.0,25007
25,8,113,113,100.0,25008
25,9,183,183,100.0,25009
25,10,43,43,100.0,25010
25,11,164,164,100.0,25011
25,12,79,79,100.0,25012
25,13,117,117,100.0,25013
25,14,132,132,100.0,25014
25,15,114,114,100.0,25015
25,16,72,72,100.0,25016
25,17,113,113,100.0,25017
25,18,133,133,100.0,25018
25,19,123,123,100.0,25019
25,20,125,125,100.0,25020
25,21,97,97,100.0,25021
25,22,141,141,100.0,25022
25,23,84,84,100.0,25023
