ward,precinct,total,JOSEPH BERRIOS,JOSEPH BERRIOS Percent,precinct_id
31,1,68,68,100.0,31001
31,2,58,58,100.0,31002
31,3,82,82,100.0,31003
31,4,90,90,100.0,31004
31,5,55,55,100.0,31005
31,6,24,24,100.0,31006
31,7,59,59,100.0,31007
31,8,33,33,100.0,31008
31,9,86,86,100.0,31009
31,10,51,51,100.0,31010
31,11,41,41,100.0,31011
31,12,57,57,100.0,31012
31,13,52,52,100.0,31013
31,14,67,67,100.0,31014
31,15,69,69,100.0,31015
31,16,65,65,100.0,31016
31,17,59,59,100.0,31017
31,18,19,19,100.0,31018
31,19,22,22,100.0,31019
31,20,65,65,100.0,31020
31,21,52,52,100.0,31021
31,22,51,51,100.0,31022
31,23,87,87,100.0,31023
31,24,92,92,100.0,31024
31,25,58,58,100.0,31025
31,26,61,61,100.0,31026
31,27,43,43,100.0,31027
31,28,55,55,100.0,31028
31,29,54,54,100.0,31029
31,30,44,44,100.0,31030
31,31,102,102,100.0,31031
31,32,55,55,100.0,31032
31,33,90,90,100.0,31033
31,34,61,61,100.0,31034
31,35,59,59,100.0,31035
31,36,101,101,100.0,31036
31,37,76,76,100.0,31037
31,38,77,77,100.0,31038
31,39,45,45,100.0,31039
31,40,65,65,100.0,31040
31,41,53,53,100.0,31041
31,42,43,43,100.0,31042
31,43,55,55,100.0,31043
31,44,75,75,100.0,31044
31,45,81,81,100.0,31045
