ward,precinct,total,MARGARET SMITH,MARGARET SMITH Percent,precinct_id
1,12,0,0,0.0,01012
1,31,28,28,100.0,01031
2,1,84,84,100.0,02001
2,2,223,223,100.0,02002
2,3,69,69,100.0,02003
2,4,14,14,100.0,02004
2,5,48,48,100.0,02005
2,6,53,53,100.0,02006
2,7,147,147,100.0,02007
2,8,148,148,100.0,02008
2,9,40,40,100.0,02009
2,10,41,41,100.0,02010
2,11,189,189,100.0,02011
2,12,175,175,100.0,02012
2,13,217,217,100.0,02013
2,14,122,122,100.0,02014
2,16,61,61,100.0,02016
2,18,200,200,100.0,02018
2,20,165,165,100.0,02020
2,21,138,138,100.0,02021
2,22,200,200,100.0,02022
2,24,115,115,100.0,02024
2,25,29,29,100.0,02025
2,26,77,77,100.0,02026
2,28,94,94,100.0,02028
2,29,57,57,100.0,02029
2,30,56,56,100.0,02030
2,31,136,136,100.0,02031
2,32,51,51,100.0,02032
2,33,212,212,100.0,02033
2,35,22,22,100.0,02035
2,36,47,47,100.0,02036
2,37,72,72,100.0,02037
2,38,88,88,100.0,02038
2,40,102,102,100.0,02040
2,41,32,32,100.0,02041
2,42,26,26,100.0,02042
2,43,153,153,100.0,02043
2,44,154,154,100.0,02044
2,45,67,67,100.0,02045
2,46,245,245,100.0,02046
2,47,87,87,100.0,02047
2,48,152,152,100.0,02048
2,52,93,93,100.0,02052
2,54,126,126,100.0,02054
3,1,171,171,100.0,03001
3,2,201,201,100.0,03002
3,3,34,34,100.0,03003
3,5,44,44,100.0,03005
3,6,29,29,100.0,03006
3,7,13,13,100.0,03007
3,8,65,65,100.0,03008
3,9,93,93,100.0,03009
3,11,75,75,100.0,03011
3,14,52,52,100.0,03014
3,15,87,87,100.0,03015
3,16,183,183,100.0,03016
3,17,84,84,100.0,03017
3,18,81,81,100.0,03018
3,19,48,48,100.0,03019
3,20,37,37,100.0,03020
3,22,90,90,100.0,03022
3,23,29,29,100.0,03023
3,24,128,128,100.0,03024
3,25,17,17,100.0,03025
3,26,69,69,100.0,03026
3,27,17,17,100.0,03027
3,28,122,122,100.0,03028
3,29,12,12,100.0,03029
3,30,127,127,100.0,03030
3,31,130,130,100.0,03031
3,32,145,145,100.0,03032
3,33,96,96,100.0,03033
3,34,32,32,100.0,03034
3,35,105,105,100.0,03035
3,37,112,112,100.0,03037
3,38,176,176,100.0,03038
3,39,223,223,100.0,03039
3,40,99,99,100.0,03040
3,41,68,68,100.0,03041
3,43,21,21,100.0,03043
3,45,25,25,100.0,03045
3,47,75,75,100.0,03047
4,2,29,29,100.0,04002
4,3,178,178,100.0,04003
4,4,140,140,100.0,04004
4,5,141,141,100.0,04005
4,6,4,4,100.0,04006
4,7,110,110,100.0,04007
4,8,216,216,100.0,04008
4,10,176,176,100.0,04010
4,11,101,101,100.0,04011
4,12,102,102,100.0,04012
4,14,88,88,100.0,04014
4,15,98,98,100.0,04015
4,16,156,156,100.0,04016
4,18,104,104,100.0,04018
4,19,35,35,100.0,04019
4,20,52,52,100.0,04020
4,21,145,145,100.0,04021
4,23,121,121,100.0,04023
4,24,155,155,100.0,04024
4,25,171,171,100.0,04025
4,26,113,113,100.0,04026
4,27,198,198,100.0,04027
4,30,28,28,100.0,04030
4,31,53,53,100.0,04031
4,33,56,56,100.0,04033
4,35,82,82,100.0,04035
4,37,74,74,100.0,04037
4,39,61,61,100.0,04039
4,40,144,144,100.0,04040
4,46,126,126,100.0,04046
4,49,42,42,100.0,04049
4,50,126,126,100.0,04050
4,52,41,41,100.0,04052
4,53,38,38,100.0,04053
11,1,93,93,100.0,11001
11,4,96,96,100.0,11004
11,5,72,72,100.0,11005
11,7,100,100,100.0,11007
11,8,148,148,100.0,11008
11,9,89,89,100.0,11009
11,11,101,101,100.0,11011
11,12,106,106,100.0,11012
11,13,87,87,100.0,11013
11,15,94,94,100.0,11015
11,16,102,102,100.0,11016
11,19,103,103,100.0,11019
11,20,141,141,100.0,11020
11,21,177,177,100.0,11021
11,24,144,144,100.0,11024
11,25,76,76,100.0,11025
11,32,90,90,100.0,11032
11,33,69,69,100.0,11033
11,34,69,69,100.0,11034
11,35,110,110,100.0,11035
11,37,138,138,100.0,11037
11,38,139,139,100.0,11038
11,39,155,155,100.0,11039
11,40,99,99,100.0,11040
11,41,92,92,100.0,11041
11,42,60,60,100.0,11042
11,43,109,109,100.0,11043
11,44,108,108,100.0,11044
11,45,90,90,100.0,11045
11,46,64,64,100.0,11046
11,47,102,102,100.0,11047
11,48,72,72,100.0,11048
11,50,46,46,100.0,11050
11,51,93,93,100.0,11051
11,52,85,85,100.0,11052
11,53,71,71,100.0,11053
11,54,73,73,100.0,11054
25,3,111,111,100.0,25003
25,10,36,36,100.0,25010
25,14,96,96,100.0,25014
25,16,65,65,100.0,25016
25,18,63,63,100.0,25018
25,21,57,57,100.0,25021
27,1,121,121,100.0,27001
27,5,48,48,100.0,27005
27,6,45,45,100.0,27006
27,7,56,56,100.0,27007
27,9,96,96,100.0,27009
27,10,124,124,100.0,27010
27,12,27,27,100.0,27012
27,14,43,43,100.0,27014
27,17,73,73,100.0,27017
27,18,23,23,100.0,27018
27,20,111,111,100.0,27020
27,21,36,36,100.0,27021
27,28,92,92,100.0,27028
27,33,82,82,100.0,27033
27,37,68,68,100.0,27037
27,39,30,30,100.0,27039
27,43,45,45,100.0,27043
27,50,64,64,100.0,27050
27,51,38,38,100.0,27051
27,52,10,10,100.0,27052
27,53,104,104,100.0,27053
27,54,30,30,100.0,27054
27,55,24,24,100.0,27055
32,46,0,0,0.0,32046
42,12,54,54,100.0,42012
42,14,75,75,100.0,42014
42,18,111,111,100.0,42018
42,21,51,51,100.0,42021
42,26,47,47,100.0,42026
42,32,55,55,100.0,42032
42,39,92,92,100.0,42039
42,48,34,34,100.0,42048
42,49,78,78,100.0,42049
42,67,146,146,100.0,42067
43,55,60,60,100.0,43055
