ward,precinct,total,GRADY A. HUMPHREY,GRADY A. HUMPHREY Percent,precinct_id
49,1,145,78,53.79,49001
49,2,143,46,32.17,49002
49,3,128,41,32.03,49003
49,4,82,30,36.59,49004
49,5,88,36,40.91,49005
49,6,82,37,45.12,49006
49,7,84,29,34.52,49007
49,8,91,22,24.18,49008
49,9,96,33,34.38,49009
49,10,134,38,28.36,49010
49,11,148,70,47.3,49011
49,12,76,23,30.26,49012
49,13,118,27,22.88,49013
49,14,111,32,28.83,49014
49,15,83,39,46.99,49015
49,16,118,43,36.44,49016
49,17,28,11,39.29,49017
49,18,110,38,34.55,49018
49,19,86,39,45.35,49019
49,20,140,46,32.86,49020
49,21,67,33,49.25,49021
49,22,110,36,32.73,49022
49,23,103,28,27.18,49023
49,24,126,47,37.3,49024
49,25,85,26,30.59,49025
49,26,152,43,28.29,49026
49,27,122,51,41.8,49027
49,28,94,37,39.36,49028
49,29,61,18,29.51,49029
49,30,114,51,44.74,49030
49,31,84,34,40.48,49031
49,32,97,38,39.18,49032
49,33,76,20,26.32,49033
49,34,94,47,50.0,49034
49,35,111,36,32.43,49035
49,36,80,26,32.5,49036
49,37,62,19,30.65,49037
