ward,precinct,total,PAUL A. KARKULA,PAUL A. KARKULA Percent,DOMENICA A. STEPHENSON,DOMENICA A. STEPHENSON Percent,precinct_id
1,1,81,47,58.02,34,41.98,01001
1,2,120,56,46.67,64,53.33,01002
1,3,63,30,47.62,33,52.38,01003
1,4,92,40,43.48,52,56.52,01004
1,5,82,26,31.71,56,68.29,01005
1,6,63,32,50.79,31,49.21,01006
1,7,122,43,35.25,79,64.75,01007
1,8,58,27,46.55,31,53.45,01008
1,9,128,57,44.53,71,55.47,01009
1,10,116,51,43.97,65,56.03,01010
1,11,61,26,42.62,35,57.38,01011
1,12,169,80,47.34,89,52.66,01012
1,13,69,25,36.23,44,63.77,01013
1,14,84,27,32.14,57,67.86,01014
1,15,116,32,27.59,84,72.41,01015
1,16,75,34,45.33,41,54.67,01016
1,17,91,43,47.25,48,52.75,01017
1,18,118,43,36.44,75,63.56,01018
1,19,92,38,41.3,54,58.7,01019
1,20,79,27,34.18,52,65.82,01020
1,21,139,61,43.88,78,56.12,01021
1,22,64,20,31.25,44,68.75,01022
1,23,171,74,43.27,97,56.73,01023
1,24,93,50,53.76,43,46.24,01024
1,25,131,53,40.46,78,59.54,01025
1,26,183,79,43.17,104,56.83,01026
1,27,82,31,37.8,51,62.2,01027
1,28,21,7,33.33,14,66.67,01028
1,29,167,70,41.92,97,58.08,01029
1,30,97,43,44.33,54,55.67,01030
1,31,23,8,34.78,15,65.22,01031
1,32,103,51,49.51,52,50.49,01032
1,33,154,71,46.1,83,53.9,01033
1,34,13,5,38.46,8,61.54,01034
1,35,28,17,60.71,11,39.29,01035
1,36,102,52,50.98,50,49.02,01036
2,1,84,33,39.29,51,60.71,02001
2,2,196,69,35.2,127,64.8,02002
2,3,78,25,32.05,53,67.95,02003
2,4,19,10,52.63,9,47.37,02004
2,5,52,28,53.85,24,46.15,02005
2,6,62,20,32.26,42,67.74,02006
2,7,142,54,38.03,88,61.97,02007
2,8,118,35,29.66,83,70.34,02008
2,9,48,20,41.67,28,58.33,02009
2,10,54,22,40.74,32,59.26,02010
2,11,181,83,45.86,98,54.14,02011
2,12,113,55,48.67,58,51.33,02012
2,13,186,82,44.09,104,55.91,02013
