ward,precinct,total,TERRY PETERSON,TERRY PETERSON Percent,precinct_id
17,1,78,78,100.0,17001
17,2,192,192,100.0,17002
17,3,170,170,100.0,17003
17,4,257,257,100.0,17004
17,5,177,177,100.0,17005
17,6,157,157,100.0,17006
17,7,197,197,100.0,17007
17,8,122,122,100.0,17008
17,9,139,139,100.0,17009
17,10,196,196,100.0,17010
17,11,148,148,100.0,17011
17,12,174,174,100.0,17012
17,13,146,146,100.0,17013
17,14,144,144,100.0,17014
17,15,178,178,100.0,17015
17,16,182,182,100.0,17016
17,17,143,143,100.0,17017
17,18,172,172,100.0,17018
17,19,98,98,100.0,17019
17,20,168,168,100.0,17020
17,21,263,263,100.0,17021
17,22,178,178,100.0,17022
17,23,143,143,100.0,17023
17,24,178,178,100.0,17024
17,25,107,107,100.0,17025
17,26,211,211,100.0,17026
17,27,185,185,100.0,17027
17,28,163,163,100.0,17028
17,29,193,193,100.0,17029
17,30,181,181,100.0,17030
17,31,113,113,100.0,17031
17,32,159,159,100.0,17032
17,33,149,149,100.0,17033
17,34,157,157,100.0,17034
17,35,123,123,100.0,17035
17,36,126,126,100.0,17036
17,37,170,170,100.0,17037
17,38,152,152,100.0,17038
17,39,176,176,100.0,17039
17,40,142,142,100.0,17040
17,41,135,135,100.0,17041
17,42,103,103,100.0,17042
17,43,110,110,100.0,17043
17,44,189,189,100.0,17044
17,45,312,312,100.0,17045
17,46,162,162,100.0,17046
17,47,122,122,100.0,17047
17,48,158,158,100.0,17048
17,49,125,125,100.0,17049
17,50,150,150,100.0,17050
17,51,169,169,100.0,17051
17,52,250,250,100.0,17052
17,53,186,186,100.0,17053
17,54,228,228,100.0,17054
17,55,134,134,100.0,17055
