ward,precinct,total,DOROTHY J. TILLMAN,DOROTHY J. TILLMAN Percent,precinct_id
3,1,163,163,100.0,03001
3,2,211,211,100.0,03002
3,3,40,40,100.0,03003
3,4,65,65,100.0,03004
3,5,59,59,100.0,03005
3,6,38,38,100.0,03006
3,7,16,16,100.0,03007
3,8,66,66,100.0,03008
3,9,115,115,100.0,03009
3,10,152,152,100.0,03010
3,11,76,76,100.0,03011
3,12,107,107,100.0,03012
3,13,25,25,100.0,03013
3,14,81,81,100.0,03014
3,15,111,111,100.0,03015
3,16,165,165,100.0,03016
3,17,93,93,100.0,03017
3,18,90,90,100.0,03018
3,19,49,49,100.0,03019
3,20,37,37,100.0,03020
3,21,74,74,100.0,03021
3,22,92,92,100.0,03022
3,23,34,34,100.0,03023
3,24,154,154,100.0,03024
3,25,24,24,100.0,03025
3,26,68,68,100.0,03026
3,27,25,25,100.0,03027
3,28,136,136,100.0,03028
3,29,14,14,100.0,03029
3,30,135,135,100.0,03030
3,31,135,135,100.0,03031
3,32,143,143,100.0,03032
3,33,99,99,100.0,03033
3,34,27,27,100.0,03034
3,35,103,103,100.0,03035
3,36,38,38,100.0,03036
3,37,112,112,100.0,03037
3,38,193,193,100.0,03038
3,39,276,276,100.0,03039
3,40,122,122,100.0,03040
3,41,87,87,100.0,03041
3,42,46,46,100.0,03042
3,43,22,22,100.0,03043
3,44,87,87,100.0,03044
3,45,34,34,100.0,03045
3,46,14,14,100.0,03046
3,47,70,70,100.0,03047
3,48,99,99,100.0,03048
3,49,78,78,100.0,03049
3,50,115,115,100.0,03050
3,51,54,54,100.0,03051
3,52,127,127,100.0,03052
