ward,precinct,total,M. FRANK AVILA,M. FRANK AVILA Percent,MEL (DEMETRIUS) JOHNSON,MEL (DEMETRIUS) JOHNSON Percent,ZDZISLAWA POPIELARCZYK,ZDZISLAWA POPIELARCZYK Percent,JOSEPH M. GLORIOSO,JOSEPH M. GLORIOSO Percent,ANTHONY J. WIORSKI,ANTHONY J. WIORSKI Percent,TERRENCE J. O'BRIEN,TERRENCE J. O'BRIEN Percent,"HARRY """"BUS"""" YOURELL","HARRY """"BUS"""" YOURELL Percent","JAMES """"JIM"""" HARRIS","JAMES """"JIM"""" HARRIS Percent",NADINE M. ZAPOLSKY,NADINE M. ZAPOLSKY Percent,LAWRENCE F. ANDOLINO,LAWRENCE F. ANDOLINO Percent,THOMAS FRANCIS COURTNEY,THOMAS FRANCIS COURTNEY Percent,JOHN J. MCNAMARA,JOHN J. MCNAMARA Percent,precinct_id
1,1,234,22,9.4,1,0.43,16,6.84,101,43.16,11,4.7,20,8.55,10,4.27,9,3.85,16,6.84,4,1.71,8,3.42,16,6.84,01001
1,2,319,49,15.36,12,3.76,28,8.78,51,15.99,26,8.15,37,11.6,16,5.02,22,6.9,27,8.46,3,0.94,14,4.39,34,10.66,01002
1,3,177,23,12.99,9,5.08,14,7.91,33,18.64,12,6.78,19,10.73,15,8.47,6,3.39,15,8.47,4,2.26,7,3.95,20,11.3,01003
1,4,222,25,11.26,8,3.6,20,9.01,34,15.32,17,7.66,29,13.06,9,4.05,17,7.66,28,12.61,3,1.35,11,4.95,21,9.46,01004
1,5,200,25,12.5,12,6.0,14,7.0,35,17.5,14,7.0,17,8.5,11,5.5,21,10.5,15,7.5,5,2.5,5,2.5,26,13.0,01005
1,6,211,20,9.48,3,1.42,10,4.74,112,53.08,10,4.74,17,8.06,7,3.32,7,3.32,8,3.79,2,0.95,3,1.42,12,5.69,01006
1,7,315,67,21.27,11,3.49,8,2.54,88,27.94,8,2.54,30,9.52,19,6.03,19,6.03,17,5.4,12,3.81,10,3.17,26,8.25,01007
1,8,186,28,15.05,13,6.99,11,5.91,23,12.37,16,8.6,22,11.83,6,3.23,20,10.75,9,4.84,11,5.91,12,6.45,15,8.06,01008
1,9,395,72,18.23,15,3.8,18,4.56,98,24.81,16,4.05,53,13.42,22,5.57,24,6.08,14,3.54,17,4.3,12,3.04,34,8.61,01009
1,10,304,38,12.5,16,5.26,22,7.24,50,16.45,15,4.93,34,11.18,25,8.22,27,8.88,26,8.55,10,3.29,15,4.93,26,8.55,01010
1,11,178,24,13.48,4,2.25,11,6.18,75,42.13,8,4.49,14,7.87,6,3.37,3,1.69,12,6.74,10,5.62,2,1.12,9,5.06,01011
1,12,409,77,18.83,20,4.89,32,7.82,76,18.58,30,7.33,35,8.56,28,6.85,19,4.65,27,6.6,12,2.93,13,3.18,40,9.78,01012
1,13,271,56,20.66,6,2.21,10,3.69,113,41.7,10,3.69,17,6.27,4,1.48,10,3.69,5,1.85,5,1.85,13,4.8,22,8.12,01013
1,14,205,44,21.46,13,6.34,7,3.41,30,14.63,6,2.93,32,15.61,11,5.37,16,7.8,10,4.88,7,3.41,9,4.39,20,9.76,01014
1,15,295,82,27.8,20,6.78,13,4.41,66,22.37,14,4.75,41,13.9,5,1.69,15,5.08,9,3.05,8,2.71,8,2.71,14,4.75,01015
1,16,233,36,15.45,19,8.15,9,3.86,85,36.48,11,4.72,12,5.15,8,3.43,19,8.15,11,4.72,5,2.15,5,2.15,13,5.58,01016
1,17,263,37,14.07,21,7.98,9,3.42,43,16.35,5,1.9,42,15.97,20,7.6,30,11.41,15,5.7,5,1.9,13,4.94,23,8.75,01017
1,18,315,69,21.9,20,6.35,14,4.44,80,25.4,10,3.17,35,11.11,12,3.81,17,5.4,7,2.22,10,3.17,20,6.35,21,6.67,01018
1,19,267,67,25.09,19,7.12,12,4.49,49,18.35,13,4.87,29,10.86,9,3.37,17,6.37,10,3.75,8,3.0,14,5.24,20,7.49,01019
