ward,precinct,total,ED H. SMITH,ED H. SMITH Percent,precinct_id
28,1,115,115,100.0,28001
28,2,68,68,100.0,28002
28,3,101,101,100.0,28003
28,4,134,134,100.0,28004
28,5,121,121,100.0,28005
28,6,144,144,100.0,28006
28,7,168,168,100.0,28007
28,8,53,53,100.0,28008
28,9,133,133,100.0,28009
28,10,133,133,100.0,28010
28,11,103,103,100.0,28011
28,12,91,91,100.0,28012
28,13,91,91,100.0,28013
28,14,39,39,100.0,28014
28,15,58,58,100.0,28015
28,16,95,95,100.0,28016
28,17,60,60,100.0,28017
28,18,165,165,100.0,28018
28,19,108,108,100.0,28019
28,20,133,133,100.0,28020
28,21,80,80,100.0,28021
28,22,97,97,100.0,28022
28,23,150,150,100.0,28023
28,24,54,54,100.0,28024
28,25,124,124,100.0,28025
28,26,132,132,100.0,28026
28,27,71,71,100.0,28027
28,28,113,113,100.0,28028
28,29,110,110,100.0,28029
28,30,64,64,100.0,28030
28,31,117,117,100.0,28031
28,32,97,97,100.0,28032
28,33,72,72,100.0,28033
28,34,102,102,100.0,28034
28,35,72,72,100.0,28035
28,36,101,101,100.0,28036
28,37,169,169,100.0,28037
28,38,121,121,100.0,28038
28,39,87,87,100.0,28039
28,40,143,143,100.0,28040
28,41,74,74,100.0,28041
28,42,85,85,100.0,28042
28,43,92,92,100.0,28043
28,44,69,69,100.0,28044
28,45,65,65,100.0,28045
28,46,84,84,100.0,28046
28,47,122,122,100.0,28047
28,48,17,17,100.0,28048
28,49,79,79,100.0,28049
28,50,42,42,100.0,28050
28,51,84,84,100.0,28051
28,52,83,83,100.0,28052
28,53,34,34,100.0,28053
28,54,64,64,100.0,28054
28,55,64,64,100.0,28055
28,56,108,108,100.0,28056
28,57,123,123,100.0,28057
28,58,61,61,100.0,28058
28,59,78,78,100.0,28059
28,60,70,70,100.0,28060
28,61,66,66,100.0,28061
