ward,precinct,total,JERRY HURCKES (BRADLEY),JERRY HURCKES (BRADLEY) Percent,VICTOR ARMENDARIZ (GORE),VICTOR ARMENDARIZ (GORE) Percent,precinct_id
13,1,92,40,43.48,52,56.52,13001
13,2,98,53,54.08,45,45.92,13002
13,3,153,91,59.48,62,40.52,13003
13,4,146,83,56.85,63,43.15,13004
13,5,100,44,44.0,56,56.0,13005
13,6,88,38,43.18,50,56.82,13006
13,7,110,52,47.27,58,52.73,13007
13,8,125,63,50.4,62,49.6,13008
13,9,129,47,36.43,82,63.57,13009
13,10,109,55,50.46,54,49.54,13010
13,11,68,20,29.41,48,70.59,13011
13,12,126,58,46.03,68,53.97,13012
13,13,124,29,23.39,95,76.61,13013
13,14,89,34,38.2,55,61.8,13014
13,15,135,66,48.89,69,51.11,13015
13,16,100,42,42.0,58,58.0,13016
13,17,74,18,24.32,56,75.68,13017
13,18,94,21,22.34,73,77.66,13018
13,19,96,23,23.96,73,76.04,13019
13,20,122,32,26.23,90,73.77,13020
13,21,104,52,50.0,52,50.0,13021
13,22,129,55,42.64,74,57.36,13022
13,23,98,53,54.08,45,45.92,13023
13,24,157,72,45.86,85,54.14,13024
13,25,104,43,41.35,61,58.65,13025
13,26,91,41,45.05,50,54.95,13026
13,27,95,46,48.42,49,51.58,13027
13,28,80,32,40.0,48,60.0,13028
13,29,116,46,39.66,70,60.34,13029
13,30,115,35,30.43,80,69.57,13030
13,31,111,30,27.03,81,72.97,13031
13,32,91,22,24.18,69,75.82,13032
13,33,111,47,42.34,64,57.66,13033
13,34,102,50,49.02,52,50.98,13034
13,35,118,52,44.07,66,55.93,13035
13,36,76,28,36.84,48,63.16,13036
13,37,79,34,43.04,45,56.96,13037
13,38,63,30,47.62,33,52.38,13038
13,39,108,49,45.37,59,54.63,13039
13,40,111,40,36.04,71,63.96,13040
13,41,86,32,37.21,54,62.79,13041
13,42,136,58,42.65,78,57.35,13042
13,43,113,52,46.02,61,53.98,13043
13,44,70,23,32.86,47,67.14,13044
13,45,68,18,26.47,50,73.53,13045
13,46,116,49,42.24,67,57.76,13046
13,47,105,54,51.43,51,48.57,13047
13,48,102,43,42.16,59,57.84,13048
13,49,53,19,35.85,34,64.15,13049
13,50,97,40,41.24,57,58.76,13050
13,51,124,49,39.52,75,60.48,13051
13,52,140,52,37.14,88,62.86,13052
13,53,129,49,37.98,80,62.02,13053
13,54,135,55,40.74,80,59.26,13054
13,55,125,42,33.6,83,66.4,13055
13,56,144,66,45.83,78,54.17,13056
13,57,129,55,42.64,74,57.36,13057
13,58,150,53,35.33,97,64.67,13058
13,59,93,40,43.01,53,56.99,13059
13,60,114,46,40.35,68,59.65,13060
13,61,181,90,49.72,91,50.28,13061
13,62,120,57,47.5,63,52.5,13062
13,63,156,80,51.28,76,48.72,13063
14,1,74,8,10.81,66,89.19,14001
14,2,81,24,29.63,57,70.37,14002
14,3,153,32,20.92,121,79.08,14003
14,4,83,13,15.66,70,84.34,14004
14,9,117,18,15.38,99,84.62,14009
14,11,124,13,10.48,111,89.52,14011
14,13,79,34,43.04,45,56.96,14013
14,16,104,23,22.12,81,77.88,14016
14,27,181,32,17.68,149,82.32,14027
14,28,87,20,22.99,67,77.01,14028
14,34,126,17,13.49,109,86.51,14034
14,35,55,13,23.64,42,76.36,14035
14,39,106,21,19.81,85,80.19,14039
14,40,94,18,19.15,76,80.85,14040
14,43,129,36,27.91,93,72.09,14043
14,44,132,27,20.45,105,79.55,14044
14,45,104,22,21.15,82,78.85,14045
14,47,253,5,1.98,248,98.02,14047
15,12,95,32,33.68,63,66.32,15012
15,45,113,37,32.74,76,67.26,15045
18,1,107,15,14.02,92,85.98,18001
18,2,119,25,21.01,94,78.99,18002
