ward,precinct,total,JERRY HURCKES (BRADLEY),JERRY HURCKES (BRADLEY) Percent,VICTOR ARMENDARIZ (GORE),VICTOR ARMENDARIZ (GORE) Percent,precinct_id
18,7,74,27,36.49,47,63.51,18007
18,10,206,41,19.9,165,80.1,18010
18,11,93,29,31.18,64,68.82,18011
18,13,160,56,35.0,104,65.0,18013
18,17,144,63,43.75,81,56.25,18017
18,21,149,37,24.83,112,75.17,18021
18,23,105,32,30.48,73,69.52,18023
18,29,86,25,29.07,61,70.93,18029
18,31,86,17,19.77,69,80.23,18031
18,36,75,22,29.33,53,70.67,18036
18,49,84,34,40.48,50,59.52,18049
22,1,51,14,27.45,37,72.55,22001
22,15,109,21,19.27,88,80.73,22015
22,22,48,17,35.42,31,64.58,22022
23,1,154,101,65.58,53,34.42,23001
23,2,241,189,78.42,52,21.58,23002
23,3,144,107,74.31,37,25.69,23003
23,4,133,94,70.68,39,29.32,23004
23,5,113,62,54.87,51,45.13,23005
23,6,164,112,68.29,52,31.71,23006
23,7,76,25,32.89,51,67.11,23007
23,8,144,97,67.36,47,32.64,23008
23,9,60,19,31.67,41,68.33,23009
23,10,292,247,84.59,45,15.41,23010
23,11,167,110,65.87,57,34.13,23011
23,12,95,72,75.79,23,24.21,23012
23,13,220,164,74.55,56,25.45,23013
23,14,156,107,68.59,49,31.41,23014
23,15,153,115,75.16,38,24.84,23015
23,16,153,116,75.82,37,24.18,23016
23,17,184,118,64.13,66,35.87,23017
23,18,133,93,69.92,40,30.08,23018
23,19,182,138,75.82,44,24.18,23019
23,20,161,112,69.57,49,30.43,23020
23,21,124,78,62.9,46,37.1,23021
23,22,92,32,34.78,60,65.22,23022
23,23,109,51,46.79,58,53.21,23023
23,24,85,32,37.65,53,62.35,23024
23,25,113,60,53.1,53,46.9,23025
23,26,161,120,74.53,41,25.47,23026
23,27,94,57,60.64,37,39.36,23027
23,28,147,79,53.74,68,46.26,23028
23,29,96,48,50.0,48,50.0,23029
23,30,168,117,69.64,51,30.36,23030
23,31,164,125,76.22,39,23.78,23031
23,32,165,99,60.0,66,40.0,23032
23,33,256,198,77.34,58,22.66,23033
23,34,102,68,66.67,34,33.33,23034
23,35,86,28,32.56,58,67.44,23035
23,36,171,132,77.19,39,22.81,23036
23,37,85,34,40.0,51,60.0,23037
23,38,149,107,71.81,42,28.19,23038
23,39,140,89,63.57,51,36.43,23039
23,40,154,112,72.73,42,27.27,23040
23,41,108,69,63.89,39,36.11,23041
23,42,144,98,68.06,46,31.94,23042
23,43,166,116,69.88,50,30.12,23043
23,44,194,142,73.2,52,26.8,23044
23,45,158,108,68.35,50,31.65,23045
23,46,145,95,65.52,50,34.48,23046
23,47,187,115,61.5,72,38.5,23047
23,48,138,97,70.29,41,29.71,23048
23,49,103,64,62.14,39,37.86,23049
23,50,102,61,59.8,41,40.2,23050
23,51,167,108,64.67,59,35.33,23051
23,52,181,132,72.93,49,27.07,23052
23,53,119,71,59.66,48,40.34,23053
23,54,213,150,70.42,63,29.58,23054
23,55,244,217,88.93,27,11.07,23055
23,56,128,94,73.44,34,26.56,23056
23,57,130,93,71.54,37,28.46,23057
23,58,233,173,74.25,60,25.75,23058
23,59,103,72,69.9,31,30.1,23059
23,60,153,91,59.48,62,40.52,23060
23,61,154,113,73.38,41,26.62,23061
23,62,142,90,63.38,52,36.62,23062
29,22,70,17,24.29,53,75.71,29022
29,34,79,25,31.65,54,68.35,29034
