ward,precinct,total,"GORDON A. HUMPHREY,SR. (BRADLEY)","GORDON A. HUMPHREY,SR. (BRADLEY) Percent",JAMES A. DYSON (GORE),JAMES A. DYSON (GORE) Percent,precinct_id
2,2,201,38,18.91,163,81.09,02002
2,6,55,12,21.82,43,78.18,02006
2,12,125,19,15.2,106,84.8,02012
2,13,194,23,11.86,171,88.14,02013
2,14,113,22,19.47,91,80.53,02014
2,16,51,14,27.45,37,72.55,02016
2,18,165,24,14.55,141,85.45,02018
2,20,143,28,19.58,115,80.42,02020
2,21,120,22,18.33,98,81.67,02021
2,24,76,24,31.58,52,68.42,02024
2,29,60,22,36.67,38,63.33,02029
2,31,139,18,12.95,121,87.05,02031
2,33,186,41,22.04,145,77.96,02033
2,44,118,35,29.66,83,70.34,02044
2,45,49,8,16.33,41,83.67,02045
2,46,224,38,16.96,186,83.04,02046
2,47,78,16,20.51,62,79.49,02047
2,48,143,25,17.48,118,82.52,02048
3,2,126,44,34.92,82,65.08,03002
3,3,24,9,37.5,15,62.5,03003
3,6,30,7,23.33,23,76.67,03006
3,9,70,20,28.57,50,71.43,03009
3,23,16,5,31.25,11,68.75,03023
3,24,89,23,25.84,66,74.16,03024
3,25,19,6,31.58,13,68.42,03025
3,27,9,4,44.44,5,55.56,03027
3,28,97,27,27.84,70,72.16,03028
3,33,72,20,27.78,52,72.22,03033
3,34,26,12,46.15,14,53.85,03034
3,36,31,10,32.26,21,67.74,03036
3,38,121,37,30.58,84,69.42,03038
3,39,124,52,41.94,72,58.06,03039
3,41,53,13,24.53,40,75.47,03041
3,42,27,8,29.63,19,70.37,03042
3,44,53,24,45.28,29,54.72,03044
3,45,22,5,22.73,17,77.27,03045
4,1,124,31,25.0,93,75.0,04001
4,2,26,7,26.92,19,73.08,04002
4,3,140,38,27.14,102,72.86,04003
4,4,116,25,21.55,91,78.45,04004
4,5,116,24,20.69,92,79.31,04005
4,6,3,1,33.33,2,66.67,04006
4,7,77,13,16.88,64,83.12,04007
4,9,271,68,25.09,203,74.91,04009
4,10,144,28,19.44,116,80.56,04010
4,11,102,21,20.59,81,79.41,04011
4,12,95,18,18.95,77,81.05,04012
4,13,159,43,27.04,116,72.96,04013
4,14,66,23,34.85,43,65.15,04014
4,15,79,27,34.18,52,65.82,04015
4,16,113,31,27.43,82,72.57,04016
4,17,182,50,27.47,132,72.53,04017
4,18,97,31,31.96,66,68.04,04018
4,19,26,2,7.69,24,92.31,04019
4,20,43,13,30.23,30,69.77,04020
4,21,135,31,22.96,104,77.04,04021
4,22,178,54,30.34,124,69.66,04022
4,23,104,28,26.92,76,73.08,04023
4,24,139,38,27.34,101,72.66,04024
4,25,147,28,19.05,119,80.95,04025
4,26,90,25,27.78,65,72.22,04026
4,27,158,38,24.05,120,75.95,04027
4,28,118,36,30.51,82,69.49,04028
4,29,119,30,25.21,89,74.79,04029
4,30,22,3,13.64,19,86.36,04030
4,31,34,6,17.65,28,82.35,04031
4,32,142,38,26.76,104,73.24,04032
4,33,49,7,14.29,42,85.71,04033
4,34,115,37,32.17,78,67.83,04034
4,35,62,13,20.97,49,79.03,04035
4,36,148,22,14.86,126,85.14,04036
4,37,61,14,22.95,47,77.05,04037
4,38,167,38,22.75,129,77.25,04038
4,39,53,11,20.75,42,79.25,04039
4,40,95,21,22.11,74,77.89,04040
4,41,101,28,27.72,73,72.28,04041
4,42,69,16,23.19,53,76.81,04042
4,43,97,28,28.87,69,71.13,04043
4,44,83,19,22.89,64,77.11,04044
4,45,220,45,20.45,175,79.55,04045
4,46,123,18,14.63,105,85.37,04046
4,47,179,45,25.14,134,74.86,04047
4,48,169,39,23.08,130,76.92,04048
4,49,23,7,30.43,16,69.57,04049
4,50,102,16,15.69,86,84.31,04050
4,51,164,37,22.56,127,77.44,04051
4,52,22,7,31.82,15,68.18,04052
4,53,20,9,45.0,11,55.0,04053
4,54,69,20,28.99,49,71.01,04054
4,55,91,27,29.67,64,70.33,04055
5,1,133,27,20.3,106,79.7,05001
5,2,95,18,18.95,77,81.05,05002
5,3,129,27,20.93,102,79.07,05003
5,4,167,45,26.95,122,73.05,05004
5,5,91,21,23.08,70,76.92,05005
5,6,146,26,17.81,120,82.19,05006
5,7,119,21,17.65,98,82.35,05007
5,8,144,55,38.19,89,61.81,05008
5,9,127,30,23.62,97,76.38,05009
5,10,67,13,19.4,54,80.6,05010
5,11,45,18,40.0,27,60.0,05011
5,12,128,31,24.22,97,75.78,05012
5,13,124,31,25.0,93,75.0,05013
5,14,117,39,33.33,78,66.67,05014
5,15,72,25,34.72,47,65.28,05015
5,16,70,14,20.0,56,80.0,05016
5,17,67,25,37.31,42,62.69,05017
5,18,72,15,20.83,57,79.17,05018
5,19,95,19,20.0,76,80.0,05019
5,20,83,14,16.87,69,83.13,05020
5,21,169,39,23.08,130,76.92,05021
5,22,118,22,18.64,96,81.36,05022
5,23,93,26,27.96,67,72.04,05023
5,24,134,34,25.37,100,74.63,05024
5,25,97,17,17.53,80,82.47,05025
5,26,65,13,20.0,52,80.0,05026
5,27,43,12,27.91,31,72.09,05027
5,28,161,29,18.01,132,81.99,05028
5,29,90,20,22.22,70,77.78,05029
5,30,89,35,39.33,54,60.67,05030
5,31,86,24,27.91,62,72.09,05031
5,32,181,35,19.34,146,80.66,05032
5,33,130,21,16.15,109,83.85,05033
5,34,83,19,22.89,64,77.11,05034
5,35,84,19,22.62,65,77.38,05035
5,36,121,38,31.4,83,68.6,05036
5,37,86,29,33.72,57,66.28,05037
5,38,139,35,25.18,104,74.82,05038
5,39,117,53,45.3,64,54.7,05039
5,40,91,14,15.38,77,84.62,05040
5,41,106,33,31.13,73,68.87,05041
5,42,114,27,23.68,87,76.32,05042
5,43,138,31,22.46,107,77.54,05043
5,44,114,23,20.18,91,79.82,05044
5,45,75,19,25.33,56,74.67,05045
5,46,137,44,32.12,93,67.88,05046
5,47,98,22,22.45,76,77.55,05047
5,48,109,29,26.61,80,73.39,05048
5,49,111,40,36.04,71,63.96,05049
5,50,67,19,28.36,48,71.64,05050
5,51,82,17,20.73,65,79.27,05051
5,52,66,14,21.21,52,78.79,05052
5,53,90,19,21.11,71,78.89,05053
5,54,79,20,25.32,59,74.68,05054
5,55,124,29,23.39,95,76.61,05055
5,56,79,21,26.58,58,73.42,05056
5,57,124,39,31.45,85,68.55,05057
5,58,59,16,27.12,43,72.88,05058
5,59,65,12,18.46,53,81.54,05059
6,1,172,35,20.35,137,79.65,06001
6,2,171,37,21.64,134,78.36,06002
6,3,142,33,23.24,109,76.76,06003
6,4,87,15,17.24,72,82.76,06004
6,5,61,13,21.31,48,78.69,06005
6,6,146,20,13.7,126,86.3,06006
6,7,108,25,23.15,83,76.85,06007
6,8,144,30,20.83,114,79.17,06008
6,9,166,40,24.1,126,75.9,06009
6,10,182,51,28.02,131,71.98,06010
6,11,121,40,33.06,81,66.94,06011
6,12,91,16,17.58,75,82.42,06012
6,13,130,24,18.46,106,81.54,06013
6,14,129,30,23.26,99,76.74,06014
6,15,64,17,26.56,47,73.44,06015
6,16,161,29,18.01,132,81.99,06016
6,17,199,39,19.6,160,80.4,06017
6,19,127,31,24.41,96,75.59,06019
6,20,41,11,26.83,30,73.17,06020
6,21,147,30,20.41,117,79.59,06021
6,22,150,25,16.67,125,83.33,06022
6,23,89,15,16.85,74,83.15,06023
6,24,122,36,29.51,86,70.49,06024
6,25,124,34,27.42,90,72.58,06025
6,26,120,31,25.83,89,74.17,06026
6,27,179,33,18.44,146,81.56,06027
6,28,168,29,17.26,139,82.74,06028
6,29,161,32,19.88,129,80.12,06029
6,30,106,19,17.92,87,82.08,06030
6,31,186,38,20.43,148,79.57,06031
6,32,142,25,17.61,117,82.39,06032
6,33,151,41,27.15,110,72.85,06033
6,34,112,23,20.54,89,79.46,06034
6,35,173,29,16.76,144,83.24,06035
6,36,71,17,23.94,54,76.06,06036
6,37,169,41,24.26,128,75.74,06037
6,38,171,44,25.73,127,74.27,06038
6,39,74,13,17.57,61,82.43,06039
6,40,60,16,26.67,44,73.33,06040
6,41,167,37,22.16,130,77.84,06041
6,42,77,22,28.57,55,71.43,06042
6,43,164,33,20.12,131,79.88,06043
6,44,126,23,18.25,103,81.75,06044
6,45,86,14,16.28,72,83.72,06045
6,46,119,25,21.01,94,78.99,06046
6,47,152,37,24.34,115,75.66,06047
6,48,142,31,21.83,111,78.17,06048
6,49,103,27,26.21,76,73.79,06049
6,50,179,39,21.79,140,78.21,06050
6,51,104,22,21.15,82,78.85,06051
6,52,108,27,25.0,81,75.0,06052
6,53,121,24,19.83,97,80.17,06053
6,54,111,26,23.42,85,76.58,06054
6,55,92,14,15.22,78,84.78,06055
6,56,100,19,19.0,81,81.0,06056
6,57,72,19,26.39,53,73.61,06057
6,58,169,32,18.93,137,81.07,06058
6,59,139,45,32.37,94,67.63,06059
6,60,83,20,24.1,63,75.9,06060
6,61,67,17,25.37,50,74.63,06061
6,62,148,34,22.97,114,77.03,06062
6,63,115,30,26.09,85,73.91,06063
6,64,170,34,20.0,136,80.0,06064
7,1,208,55,26.44,153,73.56,07001
7,9,123,28,22.76,95,77.24,07009
7,13,78,22,28.21,56,71.79,07013
7,22,138,34,24.64,104,75.36,07022
7,25,125,35,28.0,90,72.0,07025
7,30,206,58,28.16,148,71.84,07030
7,34,83,24,28.92,59,71.08,07034
7,36,221,66,29.86,155,70.14,07036
7,37,161,43,26.71,118,73.29,07037
7,38,149,35,23.49,114,76.51,07038
7,41,176,53,30.11,123,69.89,07041
7,43,151,45,29.8,106,70.2,07043
8,1,175,41,23.43,134,76.57,08001
8,2,95,26,27.37,69,72.63,08002
8,3,205,55,26.83,150,73.17,08003
8,4,164,28,17.07,136,82.93,08004
8,5,197,35,17.77,162,82.23,08005
8,6,170,45,26.47,125,73.53,08006
8,7,87,19,21.84,68,78.16,08007
8,8,199,45,22.61,154,77.39,08008
8,9,192,42,21.88,150,78.13,08009
8,10,187,52,27.81,135,72.19,08010
8,11,107,35,32.71,72,67.29,08011
8,12,119,29,24.37,90,75.63,08012
8,13,91,24,26.37,67,73.63,08013
8,14,106,24,22.64,82,77.36,08014
8,15,110,25,22.73,85,77.27,08015
8,16,174,44,25.29,130,74.71,08016
8,17,131,25,19.08,106,80.92,08017
8,18,79,18,22.78,61,77.22,08018
8,19,185,36,19.46,149,80.54,08019
8,20,101,24,23.76,77,76.24,08020
8,21,114,30,26.32,84,73.68,08021
8,22,124,28,22.58,96,77.42,08022
8,23,122,30,24.59,92,75.41,08023
8,24,152,43,28.29,109,71.71,08024
8,25,131,35,26.72,96,73.28,08025
8,26,79,22,27.85,57,72.15,08026
8,27,165,31,18.79,134,81.21,08027
