ward,precinct,total,CHESTER R. HORNOWSKI,CHESTER R. HORNOWSKI Percent,MICHAEL A. WOJCIK,MICHAEL A. WOJCIK Percent,precinct_id
30,1,188,23,12.23,165,87.77,30001
30,2,107,21,19.63,86,80.37,30002
30,3,147,26,17.69,121,82.31,30003
30,4,205,32,15.61,173,84.39,30004
30,5,86,14,16.28,72,83.72,30005
30,6,130,23,17.69,107,82.31,30006
30,7,122,12,9.84,110,90.16,30007
30,8,134,19,14.18,115,85.82,30008
30,9,247,9,3.64,238,96.36,30009
30,10,141,20,14.18,121,85.82,30010
30,11,135,15,11.11,120,88.89,30011
30,12,118,33,27.97,85,72.03,30012
30,13,79,15,18.99,64,81.01,30013
30,14,95,23,24.21,72,75.79,30014
30,15,150,31,20.67,119,79.33,30015
30,16,89,16,17.98,73,82.02,30016
30,17,83,17,20.48,66,79.52,30017
30,18,124,25,20.16,99,79.84,30018
30,19,113,29,25.66,84,74.34,30019
30,20,60,8,13.33,52,86.67,30020
30,21,33,10,30.3,23,69.7,30021
30,22,131,35,26.72,96,73.28,30022
30,23,61,10,16.39,51,83.61,30023
30,24,55,18,32.73,37,67.27,30024
30,25,127,28,22.05,99,77.95,30025
30,26,123,12,9.76,111,90.24,30026
30,27,132,28,21.21,104,78.79,30027
30,28,101,23,22.77,78,77.23,30028
30,29,144,29,20.14,115,79.86,30029
30,30,130,16,12.31,114,87.69,30030
30,31,108,6,5.56,102,94.44,30031
30,32,121,27,22.31,94,77.69,30032
30,33,78,14,17.95,64,82.05,30033
30,34,213,31,14.55,182,85.45,30034
30,35,95,12,12.63,83,87.37,30035
30,36,81,18,22.22,63,77.78,30036
30,37,110,24,21.82,86,78.18,30037
30,38,126,15,11.9,111,88.1,30038
30,39,128,20,15.63,108,84.38,30039
30,40,102,21,20.59,81,79.41,30040
30,41,50,6,12.0,44,88.0,30041
30,42,129,7,5.43,122,94.57,30042
30,43,87,13,14.94,74,85.06,30043
30,44,158,54,34.18,104,65.82,30044
30,45,85,21,24.71,64,75.29,30045
