ward,precinct,total,ARTHUR L. TURNER (BRADLEY),ARTHUR L. TURNER (BRADLEY) Percent,KAREN YARBROUGH (BRADLEY),KAREN YARBROUGH (BRADLEY) Percent,PAT QUINN (BRADLEY),PAT QUINN (BRADLEY) Percent,MARGARET A. HOULIHAN (BRADLEY),MARGARET A. HOULIHAN (BRADLEY) Percent,RICKEY R. HENDON (BRADLEY),RICKEY R. HENDON (BRADLEY) Percent,ANN E. SMITH (BRADLEY),ANN E. SMITH (BRADLEY) Percent,HARRISON BOLTON (BRADLEY),HARRISON BOLTON (BRADLEY) Percent,THOMAS E. SIMMONS (GORE),THOMAS E. SIMMONS (GORE) Percent,BOBBIE L. STEELE (GORE),BOBBIE L. STEELE (GORE) Percent,"JERRY W. WILLIAMS, SR. (GORE)","JERRY W. WILLIAMS, SR. (GORE) Percent",LALEEN COLLINS-DOERRER (GORE),LALEEN COLLINS-DOERRER (GORE) Percent,JOHNNY L. MILLER (GORE),JOHNNY L. MILLER (GORE) Percent,BARBARA J. MCGOWAN (GORE),BARBARA J. MCGOWAN (GORE) Percent,BARTON M. MOY (GORE),BARTON M. MOY (GORE) Percent,precinct_id
1,6,386,23,5.96,17,4.4,26,6.74,20,5.18,16,4.15,17,4.4,9,2.33,33,8.55,40,10.36,32,8.29,36,9.33,34,8.81,46,11.92,37,9.59,01006
1,28,104,6,5.77,3,2.88,7,6.73,3,2.88,5,4.81,5,4.81,2,1.92,10,9.62,10,9.62,9,8.65,13,12.5,8,7.69,12,11.54,11,10.58,01028
1,34,102,6,5.88,6,5.88,9,8.82,7,6.86,5,4.9,5,4.9,5,4.9,10,9.8,9,8.82,7,6.86,7,6.86,8,7.84,10,9.8,8,7.84,01034
1,35,195,13,6.67,8,4.1,15,7.69,7,3.59,8,4.1,7,3.59,6,3.08,17,8.72,19,9.74,16,8.21,18,9.23,20,10.26,24,12.31,17,8.72,01035
2,1,619,35,5.65,29,4.68,46,7.43,34,5.49,30,4.85,33,5.33,22,3.55,43,6.95,72,11.63,46,7.43,53,8.56,52,8.4,71,11.47,53,8.56,02001
2,3,423,20,4.73,18,4.26,30,7.09,22,5.2,18,4.26,20,4.73,17,4.02,42,9.93,54,12.77,34,8.04,36,8.51,37,8.75,39,9.22,36,8.51,02003
2,4,117,6,5.13,5,4.27,4,3.42,5,4.27,5,4.27,6,5.13,5,4.27,10,8.55,13,11.11,10,8.55,14,11.97,11,9.4,13,11.11,10,8.55,02004
2,5,234,8,3.42,11,4.7,10,4.27,9,3.85,4,1.71,9,3.85,5,2.14,22,9.4,33,14.1,26,11.11,26,11.11,21,8.97,29,12.39,21,8.97,02005
2,7,997,39,3.91,44,4.41,47,4.71,25,2.51,41,4.11,38,3.81,17,1.71,86,8.63,152,15.25,102,10.23,93,9.33,98,9.83,116,11.63,99,9.93,02007
2,8,999,44,4.4,57,5.71,54,5.41,48,4.8,52,5.21,51,5.11,26,2.6,83,8.31,116,11.61,98,9.81,85,8.51,82,8.21,112,11.21,91,9.11,02008
