ward,precinct,total,"WILLIAM """"WILLIE"""" DELGADO","WILLIAM """"WILLIE"""" DELGADO Percent",precinct_id
26,3,69,69,100.0,26003
26,5,94,94,100.0,26005
26,9,68,68,100.0,26009
26,10,68,68,100.0,26010
26,12,81,81,100.0,26012
26,14,90,90,100.0,26014
26,15,44,44,100.0,26015
26,18,92,92,100.0,26018
26,29,89,89,100.0,26029
26,35,92,92,100.0,26035
27,4,49,49,100.0,27004
31,1,64,64,100.0,31001
31,3,71,71,100.0,31003
31,4,88,88,100.0,31004
31,9,68,68,100.0,31009
31,10,56,56,100.0,31010
31,12,59,59,100.0,31012
31,13,48,48,100.0,31013
31,14,62,62,100.0,31014
31,15,65,65,100.0,31015
31,16,64,64,100.0,31016
31,17,50,50,100.0,31017
31,19,10,10,100.0,31019
31,20,63,63,100.0,31020
31,22,56,56,100.0,31022
31,24,94,94,100.0,31024
31,25,59,59,100.0,31025
31,26,54,54,100.0,31026
31,27,33,33,100.0,31027
31,28,58,58,100.0,31028
31,29,37,37,100.0,31029
31,34,53,53,100.0,31034
31,35,50,50,100.0,31035
31,36,96,96,100.0,31036
31,37,77,77,100.0,31037
31,38,77,77,100.0,31038
31,39,27,27,100.0,31039
31,40,61,61,100.0,31040
31,41,50,50,100.0,31041
31,42,34,34,100.0,31042
31,43,58,58,100.0,31043
31,44,52,52,100.0,31044
31,45,72,72,100.0,31045
35,2,101,101,100.0,35002
35,3,75,75,100.0,35003
35,13,144,144,100.0,35013
35,14,109,109,100.0,35014
35,15,111,111,100.0,35015
35,17,111,111,100.0,35017
35,21,127,127,100.0,35021
35,22,67,67,100.0,35022
35,23,85,85,100.0,35023
35,24,109,109,100.0,35024
35,25,74,74,100.0,35025
35,26,70,70,100.0,35026
35,28,82,82,100.0,35028
35,29,131,131,100.0,35029
35,32,73,73,100.0,35032
35,34,113,113,100.0,35034
37,2,52,52,100.0,37002
37,11,25,25,100.0,37011
37,12,111,111,100.0,37012
37,42,18,18,100.0,37042
