ward,precinct,total,THOMAS G. LYONS,THOMAS G. LYONS Percent,precinct_id
45,1,79,79,100.0,45001
45,2,107,107,100.0,45002
45,3,284,284,100.0,45003
45,4,108,108,100.0,45004
45,5,72,72,100.0,45005
45,6,118,118,100.0,45006
45,7,116,116,100.0,45007
45,8,100,100,100.0,45008
45,9,174,174,100.0,45009
45,10,194,194,100.0,45010
45,11,115,115,100.0,45011
45,12,148,148,100.0,45012
45,13,217,217,100.0,45013
45,14,135,135,100.0,45014
45,15,184,184,100.0,45015
45,16,194,194,100.0,45016
45,17,138,138,100.0,45017
45,18,158,158,100.0,45018
45,19,229,229,100.0,45019
45,20,119,119,100.0,45020
45,21,144,144,100.0,45021
45,22,126,126,100.0,45022
45,23,106,106,100.0,45023
45,24,144,144,100.0,45024
45,25,152,152,100.0,45025
45,26,161,161,100.0,45026
45,27,141,141,100.0,45027
45,28,233,233,100.0,45028
45,29,135,135,100.0,45029
45,30,153,153,100.0,45030
45,31,117,117,100.0,45031
45,32,111,111,100.0,45032
45,33,165,165,100.0,45033
45,34,113,113,100.0,45034
45,35,123,123,100.0,45035
45,36,146,146,100.0,45036
45,37,98,98,100.0,45037
45,38,226,226,100.0,45038
45,39,156,156,100.0,45039
45,40,204,204,100.0,45040
45,41,104,104,100.0,45041
45,42,161,161,100.0,45042
45,43,125,125,100.0,45043
45,44,154,154,100.0,45044
45,45,96,96,100.0,45045
45,46,184,184,100.0,45046
45,47,178,178,100.0,45047
45,48,106,106,100.0,45048
45,49,131,131,100.0,45049
45,50,143,143,100.0,45050
45,51,145,145,100.0,45051
45,52,107,107,100.0,45052
45,53,133,133,100.0,45053
45,54,147,147,100.0,45054
45,55,110,110,100.0,45055
45,56,94,94,100.0,45056
45,57,142,142,100.0,45057
45,58,70,70,100.0,45058
