ward,precinct,total,PETER FLYNN,PETER FLYNN Percent,precinct_id
13,1,135,111,82.22,13001
13,2,129,101,78.29,13002
13,3,261,229,87.74,13003
13,4,215,165,76.74,13004
13,5,149,112,75.17,13005
13,6,125,84,67.2,13006
13,7,247,217,87.85,13007
13,8,195,150,76.92,13008
13,9,212,171,80.66,13009
13,10,176,138,78.41,13010
13,11,120,84,70.0,13011
13,12,230,203,88.26,13012
13,13,277,256,92.42,13013
13,14,138,113,81.88,13014
13,15,250,225,90.0,13015
13,16,174,141,81.03,13016
13,17,128,99,77.34,13017
13,18,141,97,68.79,13018
13,19,144,120,83.33,13019
13,20,171,117,68.42,13020
13,21,182,160,87.91,13021
13,22,323,287,88.85,13022
13,23,219,192,87.67,13023
13,24,213,150,70.42,13024
13,25,136,99,72.79,13025
13,26,145,119,82.07,13026
13,27,192,149,77.6,13027
13,28,135,104,77.04,13028
13,29,162,110,67.9,13029
13,30,167,122,73.05,13030
13,31,171,133,77.78,13031
13,32,107,71,66.36,13032
13,33,162,119,73.46,13033
13,34,217,182,83.87,13034
13,35,237,203,85.65,13035
13,36,118,78,66.1,13036
13,37,131,105,80.15,13037
13,38,109,88,80.73,13038
13,39,164,132,80.49,13039
13,40,142,106,74.65,13040
13,41,140,108,77.14,13041
13,42,301,268,89.04,13042
13,43,208,181,87.02,13043
13,44,93,53,56.99,13044
13,45,94,59,62.77,13045
13,46,210,184,87.62,13046
13,47,157,123,78.34,13047
13,48,154,121,78.57,13048
13,49,88,72,81.82,13049
13,50,283,264,93.29,13050
13,51,182,148,81.32,13051
13,52,217,184,84.79,13052
13,53,187,144,77.01,13053
13,54,243,220,90.53,13054
13,55,221,181,81.9,13055
13,56,298,273,91.61,13056
13,57,199,164,82.41,13057
13,58,318,284,89.31,13058
13,59,134,93,69.4,13059
13,60,310,292,94.19,13060
13,61,280,229,81.79,13061
13,62,256,218,85.16,13062
13,63,213,160,75.12,13063
14,1,73,49,67.12,14001
14,2,85,53,62.35,14002
14,3,159,121,76.1,14003
14,4,84,59,70.24,14004
14,9,119,77,64.71,14009
14,13,93,51,54.84,14013
14,27,190,133,70.0,14027
14,28,97,52,53.61,14028
14,35,58,43,74.14,14035
14,43,133,95,71.43,14043
14,44,131,99,75.57,14044
14,45,102,68,66.67,14045
15,3,116,66,56.9,15003
15,8,75,49,65.33,15008
15,10,115,69,60.0,15010
15,12,103,61,59.22,15012
15,13,67,37,55.22,15013
15,14,33,22,66.67,15014
15,15,50,24,48.0,15015
15,16,145,70,48.28,15016
15,25,98,57,58.16,15025
15,27,99,50,50.51,15027
15,28,151,88,58.28,15028
15,32,85,48,56.47,15032
15,34,39,18,46.15,15034
15,41,111,65,58.56,15041
15,44,79,41,51.9,15044
15,45,119,76,63.87,15045
15,46,80,47,58.75,15046
17,11,106,62,58.49,17011
17,32,111,64,57.66,17032
17,40,88,50,56.82,17040
18,1,126,98,77.78,18001
18,2,145,100,68.97,18002
18,3,119,77,64.71,18003
18,4,184,116,63.04,18004
18,5,85,52,61.18,18005
18,7,87,66,75.86,18007
18,8,93,54,58.06,18008
18,9,128,89,69.53,18009
18,10,219,129,58.9,18010
18,11,107,78,72.9,18011
18,12,135,81,60.0,18012
18,13,158,84,53.16,18013
18,14,184,121,65.76,18014
18,15,101,69,68.32,18015
18,16,125,84,67.2,18016
18,17,155,111,71.61,18017
18,18,172,117,68.02,18018
18,19,82,60,73.17,18019
18,21,165,130,78.79,18021
18,22,128,88,68.75,18022
18,23,122,90,73.77,18023
18,28,90,64,71.11,18028
18,29,90,60,66.67,18029
18,31,95,52,54.74,18031
18,32,159,128,80.5,18032
18,33,112,80,71.43,18033
18,34,197,131,66.5,18034
18,35,177,124,70.06,18035
18,36,90,72,80.0,18036
18,37,86,56,65.12,18037
18,40,170,120,70.59,18040
18,49,93,66,70.97,18049
18,54,176,126,71.59,18054
18,62,102,73,71.57,18062
19,1,260,197,75.77,19001
19,2,180,104,57.78,19002
19,3,186,121,65.05,19003
19,4,183,112,61.2,19004
19,5,176,101,57.39,19005
19,6,198,136,68.69,19006
19,7,209,125,59.81,19007
19,8,130,89,68.46,19008
19,9,152,66,43.42,19009
19,10,249,105,42.17,19010
19,11,204,119,58.33,19011
19,12,174,106,60.92,19012
19,13,133,68,51.13,19013
19,14,141,101,71.63,19014
19,15,103,69,66.99,19015
19,16,255,192,75.29,19016
19,17,214,140,65.42,19017
19,18,248,111,44.76,19018
19,19,216,96,44.44,19019
19,20,156,83,53.21,19020
19,21,172,121,70.35,19021
19,22,214,125,58.41,19022
19,23,281,153,54.45,19023
19,24,199,132,66.33,19024
19,25,223,130,58.3,19025
19,26,207,106,51.21,19026
19,27,139,78,56.12,19027
19,28,212,116,54.72,19028
19,29,183,117,63.93,19029
19,30,168,112,66.67,19030
19,31,196,105,53.57,19031
19,32,242,130,53.72,19032
19,33,218,135,61.93,19033
19,34,188,117,62.23,19034
19,35,205,115,56.1,19035
19,36,139,66,47.48,19036
19,37,174,88,50.57,19037
19,38,175,91,52.0,19038
19,39,72,38,52.78,19039
19,40,190,118,62.11,19040
19,41,189,127,67.2,19041
19,42,131,72,54.96,19042
19,43,141,57,40.43,19043
19,44,184,113,61.41,19044
19,45,259,178,68.73,19045
19,46,273,154,56.41,19046
19,47,135,80,59.26,19047
19,48,141,79,56.03,19048
19,49,186,105,56.45,19049
19,50,124,76,61.29,19050
19,51,182,114,62.64,19051
19,52,149,84,56.38,19052
19,53,202,127,62.87,19053
19,54,142,77,54.23,19054
19,55,184,125,67.93,19055
19,56,199,105,52.76,19056
19,57,208,105,50.48,19057
19,58,179,118,65.92,19058
19,59,260,193,74.23,19059
19,61,291,211,72.51,19061
19,62,232,123,53.02,19062
19,63,128,73,57.03,19063
19,64,249,159,63.86,19064
19,65,190,93,48.95,19065
21,20,34,15,44.12,21020
21,56,49,21,42.86,21056
22,1,55,26,47.27,22001
22,15,98,54,55.1,22015
22,22,46,26,56.52,22022
23,1,152,104,68.42,23001
23,2,238,197,82.77,23002
23,3,140,97,69.29,23003
23,4,140,101,72.14,23004
23,5,121,77,63.64,23005
23,6,174,126,72.41,23006
23,7,77,42,54.55,23007
23,8,135,80,59.26,23008
23,9,74,42,56.76,23009
23,10,194,153,78.87,23010
23,11,191,128,67.02,23011
23,12,104,78,75.0,23012
23,13,235,162,68.94,23013
23,14,163,123,75.46,23014
23,15,157,109,69.43,23015
23,16,159,114,71.7,23016
23,17,187,132,70.59,23017
23,18,134,102,76.12,23018
23,19,181,129,71.27,23019
23,20,157,103,65.61,23020
23,21,122,92,75.41,23021
23,22,97,48,49.48,23022
23,24,86,41,47.67,23024
23,25,113,87,76.99,23025
23,26,163,109,66.87,23026
23,27,96,70,72.92,23027
23,28,152,86,56.58,23028
23,29,102,62,60.78,23029
23,30,167,123,73.65,23030
23,31,146,119,81.51,23031
23,32,170,109,64.12,23032
23,33,229,159,69.43,23033
23,34,112,60,53.57,23034
23,35,80,50,62.5,23035
23,36,171,122,71.35,23036
23,37,82,49,59.76,23037
23,38,150,108,72.0,23038
23,39,144,109,75.69,23039
23,40,159,112,70.44,23040
23,41,112,69,61.61,23041
23,42,132,88,66.67,23042
23,43,176,123,69.89,23043
23,44,186,124,66.67,23044
23,45,155,107,69.03,23045
23,46,133,97,72.93,23046
23,47,193,111,57.51,23047
23,48,140,89,63.57,23048
23,49,105,75,71.43,23049
23,50,102,67,65.69,23050
23,51,165,111,67.27,23051
23,52,185,144,77.84,23052
23,53,124,87,70.16,23053
23,54,195,136,69.74,23054
23,55,214,166,77.57,23055
23,56,136,91,66.91,23056
23,57,136,98,72.06,23057
23,58,264,187,70.83,23058
23,59,106,83,78.3,23059
23,60,162,97,59.88,23060
23,61,156,111,71.15,23061
23,62,151,111,73.51,23062
34,33,84,42,50.0,34033
