ward,precinct,total,DICK SIMPSON (BRADLEY),DICK SIMPSON (BRADLEY) Percent,MIKE QUIGLEY (GORE),MIKE QUIGLEY (GORE) Percent,MICHELANGELO SPANIOLO (LaROUCHE),MICHELANGELO SPANIOLO (LaROUCHE) Percent,precinct_id
26,30,0,0,0.0,0,0.0,0,0.0,26030
29,2,14,5,35.71,9,64.29,0,0.0,29002
29,6,30,5,16.67,18,60.0,7,23.33,29006
29,53,75,24,32.0,41,54.67,10,13.33,29053
29,54,74,15,20.27,55,74.32,4,5.41,29054
30,1,132,47,35.61,80,60.61,5,3.79,30001
30,2,89,33,37.08,47,52.81,9,10.11,30002
30,3,110,25,22.73,80,72.73,5,4.55,30003
30,4,124,30,24.19,87,70.16,7,5.65,30004
30,5,62,12,19.35,49,79.03,1,1.61,30005
30,6,95,29,30.53,66,69.47,0,0.0,30006
30,7,94,26,27.66,62,65.96,6,6.38,30007
30,8,84,20,23.81,59,70.24,5,5.95,30008
30,9,165,33,20.0,122,73.94,10,6.06,30009
30,10,106,25,23.58,74,69.81,7,6.6,30010
30,11,93,21,22.58,69,74.19,3,3.23,30011
30,12,97,29,29.9,62,63.92,6,6.19,30012
30,13,60,27,45.0,29,48.33,4,6.67,30013
30,14,69,20,28.99,45,65.22,4,5.8,30014
30,15,114,40,35.09,69,60.53,5,4.39,30015
30,16,56,13,23.21,42,75.0,1,1.79,30016
30,18,80,19,23.75,58,72.5,3,3.75,30018
30,19,93,19,20.43,70,75.27,4,4.3,30019
30,21,24,6,25.0,15,62.5,3,12.5,30021
30,22,109,37,33.94,69,63.3,3,2.75,30022
30,23,28,10,35.71,15,53.57,3,10.71,30023
30,24,38,11,28.95,25,65.79,2,5.26,30024
30,25,75,25,33.33,46,61.33,4,5.33,30025
30,26,92,12,13.04,74,80.43,6,6.52,30026
30,27,95,24,25.26,63,66.32,8,8.42,30027
30,28,74,26,35.14,47,63.51,1,1.35,30028
30,29,106,43,40.57,60,56.6,3,2.83,30029
30,30,81,23,28.4,53,65.43,5,6.17,30030
30,31,78,18,23.08,57,73.08,3,3.85,30031
30,32,103,49,47.57,51,49.51,3,2.91,30032
30,33,50,7,14.0,41,82.0,2,4.0,30033
30,34,147,33,22.45,106,72.11,8,5.44,30034
30,35,59,14,23.73,40,67.8,5,8.47,30035
30,36,42,11,26.19,29,69.05,2,4.76,30036
30,37,76,15,19.74,48,63.16,13,17.11,30037
30,38,95,26,27.37,67,70.53,2,2.11,30038
30,39,88,29,32.95,56,63.64,3,3.41,30039
30,40,70,21,30.0,47,67.14,2,2.86,30040
30,41,34,5,14.71,27,79.41,2,5.88,30041
30,42,96,15,15.63,74,77.08,7,7.29,30042
30,43,65,12,18.46,49,75.38,4,6.15,30043
30,44,122,40,32.79,78,63.93,4,3.28,30044
30,45,56,7,12.5,45,80.36,4,7.14,30045
31,6,21,9,42.86,12,57.14,0,0.0,31006
31,18,14,5,35.71,8,57.14,1,7.14,31018
31,31,62,14,22.58,39,62.9,9,14.52,31031
31,32,48,13,27.08,31,64.58,4,8.33,31032
32,7,44,13,29.55,29,65.91,2,4.55,32007
32,8,63,23,36.51,39,61.9,1,1.59,32008
32,9,111,34,30.63,71,63.96,6,5.41,32009
32,10,41,18,43.9,22,53.66,1,2.44,32010
32,13,53,12,22.64,39,73.58,2,3.77,32013
32,15,59,19,32.2,36,61.02,4,6.78,32015
32,18,57,17,29.82,39,68.42,1,1.75,32018
32,19,149,35,23.49,107,71.81,7,4.7,32019
32,21,81,31,38.27,46,56.79,4,4.94,32021
32,22,81,31,38.27,49,60.49,1,1.23,32022
32,23,74,24,32.43,48,64.86,2,2.7,32023
32,25,65,28,43.08,35,53.85,2,3.08,32025
32,27,49,9,18.37,38,77.55,2,4.08,32027
32,32,62,28,45.16,32,51.61,2,3.23,32032
32,37,58,20,34.48,36,62.07,2,3.45,32037
32,38,101,23,22.77,72,71.29,6,5.94,32038
32,39,72,22,30.56,48,66.67,2,2.78,32039
32,40,58,16,27.59,40,68.97,2,3.45,32040
32,41,80,24,30.0,52,65.0,4,5.0,32041
32,42,101,31,30.69,60,59.41,10,9.9,32042
32,43,59,18,30.51,36,61.02,5,8.47,32043
32,44,69,23,33.33,44,63.77,2,2.9,32044
32,46,10,2,20.0,8,80.0,0,0.0,32046
32,48,64,27,42.19,32,50.0,5,7.81,32048
33,1,64,20,31.25,39,60.94,5,7.81,33001
33,5,55,12,21.82,37,67.27,6,10.91,33005
33,6,13,2,15.38,11,84.62,0,0.0,33006
33,7,167,62,37.13,96,57.49,9,5.39,33007
33,8,102,37,36.27,57,55.88,8,7.84,33008
33,9,99,31,31.31,66,66.67,2,2.02,33009
33,10,104,35,33.65,65,62.5,4,3.85,33010
33,11,115,41,35.65,70,60.87,4,3.48,33011
33,12,117,31,26.5,82,70.09,4,3.42,33012
33,14,16,4,25.0,11,68.75,1,6.25,33014
33,16,102,26,25.49,69,67.65,7,6.86,33016
33,17,103,25,24.27,73,70.87,5,4.85,33017
33,18,46,17,36.96,24,52.17,5,10.87,33018
33,22,127,35,27.56,84,66.14,8,6.3,33022
33,23,135,38,28.15,91,67.41,6,4.44,33023
33,24,121,43,35.54,76,62.81,2,1.65,33024
33,25,186,39,20.97,130,69.89,17,9.14,33025
33,26,2,1,50.0,1,50.0,0,0.0,33026
33,27,198,42,21.21,152,76.77,4,2.02,33027
33,28,107,39,36.45,66,61.68,2,1.87,33028
33,29,133,33,24.81,92,69.17,8,6.02,33029
33,30,93,23,24.73,63,67.74,7,7.53,33030
33,32,21,3,14.29,17,80.95,1,4.76,33032
33,36,54,14,25.93,39,72.22,1,1.85,33036
33,37,65,13,20.0,47,72.31,5,7.69,33037
33,38,34,17,50.0,15,44.12,2,5.88,33038
35,6,113,35,30.97,70,61.95,8,7.08,35006
35,11,63,17,26.98,45,71.43,1,1.59,35011
36,1,71,15,21.13,54,76.06,2,2.82,36001
36,2,64,11,17.19,49,76.56,4,6.25,36002
36,3,73,15,20.55,56,76.71,2,2.74,36003
36,5,72,14,19.44,44,61.11,14,19.44,36005
36,6,66,14,21.21,47,71.21,5,7.58,36006
36,7,80,18,22.5,59,73.75,3,3.75,36007
36,8,134,38,28.36,90,67.16,6,4.48,36008
36,9,110,23,20.91,79,71.82,8,7.27,36009
36,10,76,16,21.05,57,75.0,3,3.95,36010
36,11,132,29,21.97,88,66.67,15,11.36,36011
36,12,95,29,30.53,58,61.05,8,8.42,36012
36,13,129,30,23.26,82,63.57,17,13.18,36013
36,14,123,33,26.83,78,63.41,12,9.76,36014
36,15,76,24,31.58,46,60.53,6,7.89,36015
36,17,84,22,26.19,51,60.71,11,13.1,36017
36,18,108,24,22.22,60,55.56,24,22.22,36018
36,19,169,22,13.02,137,81.07,10,5.92,36019
36,20,119,24,20.17,89,74.79,6,5.04,36020
36,21,93,23,24.73,66,70.97,4,4.3,36021
36,22,154,34,22.08,99,64.29,21,13.64,36022
36,25,75,18,24.0,53,70.67,4,5.33,36025
36,27,92,16,17.39,67,72.83,9,9.78,36027
36,28,68,15,22.06,49,72.06,4,5.88,36028
36,29,96,25,26.04,60,62.5,11,11.46,36029
36,30,135,28,20.74,91,67.41,16,11.85,36030
36,31,106,24,22.64,68,64.15,14,13.21,36031
36,32,94,21,22.34,60,63.83,13,13.83,36032
36,34,78,21,26.92,53,67.95,4,5.13,36034
36,35,105,26,24.76,72,68.57,7,6.67,36035
36,36,97,19,19.59,64,65.98,14,14.43,36036
36,37,78,22,28.21,51,65.38,5,6.41,36037
36,38,69,20,28.99,44,63.77,5,7.25,36038
36,39,90,18,20.0,61,67.78,11,12.22,36039
36,40,83,16,19.28,59,71.08,8,9.64,36040
36,41,57,12,21.05,43,75.44,2,3.51,36041
36,42,77,12,15.58,62,80.52,3,3.9,36042
36,46,89,19,21.35,65,73.03,5,5.62,36046
36,47,85,25,29.41,51,60.0,9,10.59,36047
36,48,105,24,22.86,70,66.67,11,10.48,36048
36,49,90,22,24.44,62,68.89,6,6.67,36049
36,50,113,32,28.32,69,61.06,12,10.62,36050
36,51,99,24,24.24,68,68.69,7,7.07,36051
36,52,84,19,22.62,57,67.86,8,9.52,36052
36,53,92,15,16.3,71,77.17,6,6.52,36053
36,56,82,24,29.27,53,64.63,5,6.1,36056
38,1,82,11,13.41,69,84.15,2,2.44,38001
38,2,100,30,30.0,64,64.0,6,6.0,38002
38,3,101,14,13.86,77,76.24,10,9.9,38003
38,4,43,7,16.28,31,72.09,5,11.63,38004
38,5,135,37,27.41,94,69.63,4,2.96,38005
38,6,89,17,19.1,70,78.65,2,2.25,38006
38,7,137,17,12.41,112,81.75,8,5.84,38007
38,8,102,28,27.45,64,62.75,10,9.8,38008
38,9,85,23,27.06,60,70.59,2,2.35,38009
38,10,93,24,25.81,63,67.74,6,6.45,38010
38,11,98,24,24.49,68,69.39,6,6.12,38011
38,12,77,24,31.17,51,66.23,2,2.6,38012
38,13,64,18,28.13,44,68.75,2,3.13,38013
38,14,90,16,17.78,68,75.56,6,6.67,38014
38,15,88,16,18.18,68,77.27,4,4.55,38015
38,16,137,21,15.33,108,78.83,8,5.84,38016
38,17,126,25,19.84,95,75.4,6,4.76,38017
38,18,106,28,26.42,71,66.98,7,6.6,38018
38,19,81,21,25.93,56,69.14,4,4.94,38019
38,20,80,24,30.0,56,70.0,0,0.0,38020
38,21,86,19,22.09,62,72.09,5,5.81,38021
38,22,113,28,24.78,78,69.03,7,6.19,38022
38,23,66,28,42.42,33,50.0,5,7.58,38023
38,24,56,16,28.57,39,69.64,1,1.79,38024
38,25,113,15,13.27,94,83.19,4,3.54,38025
38,26,83,26,31.33,49,59.04,8,9.64,38026
38,27,57,17,29.82,36,63.16,4,7.02,38027
38,28,68,13,19.12,50,73.53,5,7.35,38028
38,29,54,16,29.63,37,68.52,1,1.85,38029
38,30,75,19,25.33,50,66.67,6,8.0,38030
38,31,111,29,26.13,73,65.77,9,8.11,38031
38,32,93,16,17.2,71,76.34,6,6.45,38032
38,33,93,16,17.2,72,77.42,5,5.38,38033
38,34,78,22,28.21,52,66.67,4,5.13,38034
38,35,85,28,32.94,53,62.35,4,4.71,38035
38,36,124,21,16.94,97,78.23,6,4.84,38036
38,37,105,23,21.9,74,70.48,8,7.62,38037
38,38,76,21,27.63,48,63.16,7,9.21,38038
38,39,90,22,24.44,66,73.33,2,2.22,38039
38,40,68,25,36.76,42,61.76,1,1.47,38040
38,41,169,48,28.4,115,68.05,6,3.55,38041
38,42,93,25,26.88,62,66.67,6,6.45,38042
38,43,106,31,29.25,72,67.92,3,2.83,38043
38,44,81,26,32.1,49,60.49,6,7.41,38044
38,45,120,29,24.17,84,70.0,7,5.83,38045
38,46,90,23,25.56,64,71.11,3,3.33,38046
38,47,93,20,21.51,67,72.04,6,6.45,38047
38,48,93,22,23.66,66,70.97,5,5.38,38048
38,49,73,11,15.07,58,79.45,4,5.48,38049
38,50,133,40,30.08,85,63.91,8,6.02,38050
38,51,85,23,27.06,57,67.06,5,5.88,38051
38,52,117,29,24.79,84,71.79,4,3.42,38052
38,53,78,21,26.92,57,73.08,0,0.0,38053
38,54,102,21,20.59,75,73.53,6,5.88,38054
38,55,188,57,30.32,123,65.43,8,4.26,38055
38,56,87,24,27.59,60,68.97,3,3.45,38056
39,2,118,35,29.66,81,68.64,2,1.69,39002
39,4,57,22,38.6,33,57.89,2,3.51,39004
39,5,57,21,36.84,33,57.89,3,5.26,39005
39,6,139,28,20.14,106,76.26,5,3.6,39006
39,7,81,25,30.86,50,61.73,6,7.41,39007
39,8,75,28,37.33,44,58.67,3,4.0,39008
39,9,89,30,33.71,54,60.67,5,5.62,39009
39,10,70,27,38.57,39,55.71,4,5.71,39010
39,11,107,36,33.64,65,60.75,6,5.61,39011
39,12,36,9,25.0,24,66.67,3,8.33,39012
39,13,34,7,20.59,25,73.53,2,5.88,39013
39,14,74,27,36.49,41,55.41,6,8.11,39014
39,16,73,23,31.51,39,53.42,11,15.07,39016
39,17,52,16,30.77,33,63.46,3,5.77,39017
39,18,109,35,32.11,66,60.55,8,7.34,39018
39,19,80,30,37.5,46,57.5,4,5.0,39019
39,21,69,20,28.99,40,57.97,9,13.04,39021
39,22,40,8,20.0,27,67.5,5,12.5,39022
39,24,46,16,34.78,29,63.04,1,2.17,39024
39,25,11,2,18.18,8,72.73,1,9.09,39025
39,30,68,18,26.47,47,69.12,3,4.41,39030
39,31,39,17,43.59,19,48.72,3,7.69,39031
39,33,97,25,25.77,65,67.01,7,7.22,39033
39,35,92,33,35.87,53,57.61,6,6.52,39035
39,39,41,11,26.83,26,63.41,4,9.76,39039
39,41,15,4,26.67,11,73.33,0,0.0,39041
39,43,67,28,41.79,38,56.72,1,1.49,39043
39,44,70,25,35.71,39,55.71,6,8.57,39044
39,45,84,33,39.29,46,54.76,5,5.95,39045
39,46,59,14,23.73,39,66.1,6,10.17,39046
39,48,64,27,42.19,31,48.44,6,9.38,39048
39,49,53,17,32.08,36,67.92,0,0.0,39049
40,1,63,13,20.63,49,77.78,1,1.59,40001
40,2,50,18,36.0,27,54.0,5,10.0,40002
40,5,61,21,34.43,35,57.38,5,8.2,40005
40,6,59,22,37.29,32,54.24,5,8.47,40006
40,10,93,23,24.73,63,67.74,7,7.53,40010
40,14,58,14,24.14,40,68.97,4,6.9,40014
40,17,43,19,44.19,23,53.49,1,2.33,40017
40,19,62,13,20.97,48,77.42,1,1.61,40019
40,20,58,17,29.31,36,62.07,5,8.62,40020
40,21,84,22,26.19,57,67.86,5,5.95,40021
40,23,67,16,23.88,47,70.15,4,5.97,40023
40,24,53,18,33.96,29,54.72,6,11.32,40024
40,25,74,23,31.08,48,64.86,3,4.05,40025
40,29,88,25,28.41,59,67.05,4,4.55,40029
40,30,101,36,35.64,59,58.42,6,5.94,40030
40,31,69,16,23.19,44,63.77,9,13.04,40031
40,32,48,18,37.5,26,54.17,4,8.33,40032
40,34,46,11,23.91,34,73.91,1,2.17,40034
40,36,82,15,18.29,65,79.27,2,2.44,40036
40,38,42,14,33.33,26,61.9,2,4.76,40038
40,40,55,22,40.0,30,54.55,3,5.45,40040
40,44,61,24,39.34,31,50.82,6,9.84,40044
41,13,87,28,32.18,48,55.17,11,12.64,41013
41,25,58,11,18.97,39,67.24,8,13.79,41025
41,26,47,6,12.77,29,61.7,12,25.53,41026
41,27,53,14,26.42,39,73.58,0,0.0,41027
41,28,43,12,27.91,27,62.79,4,9.3,41028
41,29,32,7,21.88,23,71.88,2,6.25,41029
41,32,63,19,30.16,38,60.32,6,9.52,41032
41,33,85,25,29.41,53,62.35,7,8.24,41033
41,38,48,10,20.83,32,66.67,6,12.5,41038
41,48,52,6,11.54,36,69.23,10,19.23,41048
41,55,69,20,28.99,44,63.77,5,7.25,41055
42,1,77,25,32.47,48,62.34,4,5.19,42001
