ward,precinct,total,TONI PRECKWINKLE,TONI PRECKWINKLE Percent,precinct_id
4,1,139,139,100.0,04001
4,2,38,38,100.0,04002
4,3,199,199,100.0,04003
4,4,160,160,100.0,04004
4,5,156,156,100.0,04005
4,6,4,4,100.0,04006
4,7,111,111,100.0,04007
4,8,184,184,100.0,04008
4,9,328,328,100.0,04009
4,10,186,186,100.0,04010
4,11,135,135,100.0,04011
4,12,89,89,100.0,04012
4,13,186,186,100.0,04013
4,14,103,103,100.0,04014
4,15,89,89,100.0,04015
4,16,161,161,100.0,04016
4,17,215,215,100.0,04017
4,18,114,114,100.0,04018
4,19,42,42,100.0,04019
4,20,64,64,100.0,04020
4,21,154,154,100.0,04021
4,22,237,237,100.0,04022
4,23,132,132,100.0,04023
4,24,192,192,100.0,04024
4,25,174,174,100.0,04025
4,26,108,108,100.0,04026
4,27,223,223,100.0,04027
4,28,176,176,100.0,04028
4,29,153,153,100.0,04029
4,30,37,37,100.0,04030
4,31,59,59,100.0,04031
4,32,173,173,100.0,04032
4,33,57,57,100.0,04033
4,34,149,149,100.0,04034
4,35,84,84,100.0,04035
4,36,186,186,100.0,04036
4,37,81,81,100.0,04037
4,38,229,229,100.0,04038
4,39,72,72,100.0,04039
4,40,162,162,100.0,04040
4,41,127,127,100.0,04041
4,42,100,100,100.0,04042
4,43,130,130,100.0,04043
4,44,130,130,100.0,04044
4,45,281,281,100.0,04045
4,46,146,146,100.0,04046
4,47,204,204,100.0,04047
4,48,213,213,100.0,04048
4,49,72,72,100.0,04049
4,50,138,138,100.0,04050
4,51,189,189,100.0,04051
4,52,44,44,100.0,04052
4,53,39,39,100.0,04053
4,54,100,100,100.0,04054
4,55,120,120,100.0,04055
