ward,precinct,total,MARY JANE O'SHEA MANNELLA,MARY JANE O'SHEA MANNELLA Percent,precinct_id
23,1,119,119,100.0,23001
23,3,130,130,100.0,23003
23,11,153,153,100.0,23011
23,12,83,83,100.0,23012
23,13,182,182,100.0,23013
23,15,136,136,100.0,23015
23,16,142,142,100.0,23016
23,17,153,153,100.0,23017
23,18,99,99,100.0,23018
23,26,140,140,100.0,23026
23,27,87,87,100.0,23027
23,36,137,137,100.0,23036
23,40,125,125,100.0,23040
23,42,6,6,100.0,23042
23,43,145,145,100.0,23043
23,46,124,124,100.0,23046
23,47,168,168,100.0,23047
23,52,144,144,100.0,23052
23,58,191,191,100.0,23058
23,60,147,147,100.0,23060
