ward,precinct,total,THOMAS C. HYNES,THOMAS C. HYNES Percent,precinct_id
19,1,267,267,100.0,19001
19,2,200,200,100.0,19002
19,3,215,215,100.0,19003
19,4,218,218,100.0,19004
19,5,192,192,100.0,19005
19,6,233,233,100.0,19006
19,7,240,240,100.0,19007
19,8,149,149,100.0,19008
19,9,172,172,100.0,19009
19,10,257,257,100.0,19010
19,11,225,225,100.0,19011
19,12,200,200,100.0,19012
19,13,149,149,100.0,19013
19,14,161,161,100.0,19014
19,15,120,120,100.0,19015
19,16,281,281,100.0,19016
19,17,239,239,100.0,19017
19,18,264,264,100.0,19018
19,19,242,242,100.0,19019
19,20,173,173,100.0,19020
19,21,184,184,100.0,19021
19,22,248,248,100.0,19022
19,23,286,286,100.0,19023
19,24,210,210,100.0,19024
19,25,240,240,100.0,19025
19,26,227,227,100.0,19026
19,27,143,143,100.0,19027
19,28,236,236,100.0,19028
19,29,210,210,100.0,19029
19,30,213,213,100.0,19030
19,31,206,206,100.0,19031
19,32,272,272,100.0,19032
19,33,255,255,100.0,19033
19,34,212,212,100.0,19034
19,35,226,226,100.0,19035
19,36,152,152,100.0,19036
19,37,183,183,100.0,19037
19,38,211,211,100.0,19038
19,39,83,83,100.0,19039
19,40,218,218,100.0,19040
19,41,216,216,100.0,19041
19,42,139,139,100.0,19042
19,43,163,163,100.0,19043
19,44,205,205,100.0,19044
19,45,285,285,100.0,19045
19,46,305,305,100.0,19046
19,47,156,156,100.0,19047
19,48,174,174,100.0,19048
19,49,227,227,100.0,19049
19,50,141,141,100.0,19050
19,51,214,214,100.0,19051
19,52,170,170,100.0,19052
19,53,228,228,100.0,19053
19,54,167,167,100.0,19054
19,55,205,205,100.0,19055
19,56,231,231,100.0,19056
19,57,228,228,100.0,19057
19,58,222,222,100.0,19058
19,59,290,290,100.0,19059
19,60,156,156,100.0,19060
19,61,310,310,100.0,19061
19,62,254,254,100.0,19062
19,63,151,151,100.0,19063
19,64,290,290,100.0,19064
19,65,231,231,100.0,19065
