ward,precinct,total,JOHN W. ROBERTSON,JOHN W. ROBERTSON Percent,CALVIN L. GILES,CALVIN L. GILES Percent,"JOHN H. YOUNG, SR.","JOHN H. YOUNG, SR. Percent",LEVI WALKER,LEVI WALKER Percent,precinct_id
37,1,121,11,9.09,81,66.94,13,10.74,16,13.22,37001
37,2,57,14,24.56,29,50.88,6,10.53,8,14.04,37002
37,3,59,14,23.73,29,49.15,7,11.86,9,15.25,37003
37,4,104,15,14.42,58,55.77,19,18.27,12,11.54,37004
37,5,144,26,18.06,72,50.0,35,24.31,11,7.64,37005
37,6,235,56,23.83,115,48.94,29,12.34,35,14.89,37006
37,7,156,28,17.95,101,64.74,9,5.77,18,11.54,37007
37,8,143,29,20.28,81,56.64,20,13.99,13,9.09,37008
37,9,117,11,9.4,70,59.83,20,17.09,16,13.68,37009
37,10,177,51,28.81,85,48.02,18,10.17,23,12.99,37010
37,11,28,8,28.57,7,25.0,10,35.71,3,10.71,37011
37,12,160,11,6.88,110,68.75,21,13.13,18,11.25,37012
37,13,156,40,25.64,82,52.56,17,10.9,17,10.9,37013
37,14,118,29,24.58,60,50.85,14,11.86,15,12.71,37014
37,15,216,25,11.57,144,66.67,29,13.43,18,8.33,37015
37,16,247,60,24.29,134,54.25,41,16.6,12,4.86,37016
37,17,146,49,33.56,65,44.52,17,11.64,15,10.27,37017
37,18,179,31,17.32,96,53.63,30,16.76,22,12.29,37018
37,19,131,35,26.72,58,44.27,12,9.16,26,19.85,37019
37,20,192,31,16.15,76,39.58,61,31.77,24,12.5,37020
37,21,178,39,21.91,86,48.31,29,16.29,24,13.48,37021
37,22,112,18,16.07,56,50.0,29,25.89,9,8.04,37022
37,23,163,40,24.54,66,40.49,36,22.09,21,12.88,37023
37,24,115,20,17.39,69,60.0,17,14.78,9,7.83,37024
37,25,171,42,24.56,67,39.18,37,21.64,25,14.62,37025
37,26,126,39,30.95,30,23.81,36,28.57,21,16.67,37026
37,27,96,15,15.63,47,48.96,22,22.92,12,12.5,37027
37,28,150,44,29.33,72,48.0,12,8.0,22,14.67,37028
37,29,168,46,27.38,82,48.81,23,13.69,17,10.12,37029
37,30,185,35,18.92,84,45.41,19,10.27,47,25.41,37030
37,31,246,59,23.98,108,43.9,32,13.01,47,19.11,37031
37,32,140,35,25.0,59,42.14,35,25.0,11,7.86,37032
37,33,158,35,22.15,69,43.67,19,12.03,35,22.15,37033
37,34,188,46,24.47,100,53.19,26,13.83,16,8.51,37034
37,35,18,3,16.67,9,50.0,4,22.22,2,11.11,37035
37,36,106,11,10.38,68,64.15,18,16.98,9,8.49,37036
37,37,166,21,12.65,96,57.83,23,13.86,26,15.66,37037
37,38,163,8,4.91,120,73.62,15,9.2,20,12.27,37038
37,39,101,22,21.78,46,45.54,13,12.87,20,19.8,37039
37,40,148,35,23.65,55,37.16,22,14.86,36,24.32,37040
37,41,247,73,29.55,117,47.37,25,10.12,32,12.96,37041
37,42,20,5,25.0,7,35.0,3,15.0,5,25.0,37042
37,43,162,55,33.95,65,40.12,11,6.79,31,19.14,37043
37,44,138,39,28.26,78,56.52,12,8.7,9,6.52,37044
37,45,186,14,7.53,125,67.2,35,18.82,12,6.45,37045
37,46,104,23,22.12,56,53.85,17,16.35,8,7.69,37046
37,47,26,1,3.85,20,76.92,4,15.38,1,3.85,37047
37,48,144,29,20.14,70,48.61,24,16.67,21,14.58,37048
37,49,130,76,58.46,33,25.38,10,7.69,11,8.46,37049
37,50,46,9,19.57,18,39.13,14,30.43,5,10.87,37050
