ward,precinct,total,HOWARD KENNER,HOWARD KENNER Percent,precinct_id
3,4,53,53,100.0,03004
3,10,123,123,100.0,03010
3,12,91,91,100.0,03012
3,13,22,22,100.0,03013
3,21,56,56,100.0,03021
3,36,33,33,100.0,03036
3,42,38,38,100.0,03042
3,44,65,65,100.0,03044
3,46,11,11,100.0,03046
3,48,87,87,100.0,03048
3,49,64,64,100.0,03049
3,50,98,98,100.0,03050
3,51,0,0,0.0,03051
3,52,113,113,100.0,03052
4,36,183,183,100.0,04036
4,42,94,94,100.0,04042
11,22,45,45,100.0,11022
11,28,17,17,100.0,11028
11,36,42,42,100.0,11036
11,49,60,60,100.0,11049
12,10,34,34,100.0,12010
12,17,19,19,100.0,12017
12,24,14,14,100.0,12024
12,27,28,28,100.0,12027
14,2,63,63,100.0,14002
14,8,6,6,100.0,14008
14,16,70,70,100.0,14016
14,18,48,48,100.0,14018
14,23,64,64,100.0,14023
14,29,136,136,100.0,14029
14,30,72,72,100.0,14030
14,31,61,61,100.0,14031
14,33,58,58,100.0,14033
14,35,35,35,100.0,14035
14,39,65,65,100.0,14039
14,40,61,61,100.0,14040
14,42,77,77,100.0,14042
14,43,94,94,100.0,14043
14,46,99,99,100.0,14046
15,37,5,5,100.0,15037
16,2,34,34,100.0,16002
16,4,11,11,100.0,16004
16,5,102,102,100.0,16005
16,7,70,70,100.0,16007
16,8,75,75,100.0,16008
16,12,66,66,100.0,16012
16,13,52,52,100.0,16013
16,14,69,69,100.0,16014
16,15,94,94,100.0,16015
16,16,40,40,100.0,16016
16,17,31,31,100.0,16017
16,18,57,57,100.0,16018
16,19,75,75,100.0,16019
16,20,100,100,100.0,16020
16,22,81,81,100.0,16022
16,24,67,67,100.0,16024
16,26,107,107,100.0,16026
16,29,66,66,100.0,16029
16,30,134,134,100.0,16030
16,32,22,22,100.0,16032
16,33,78,78,100.0,16033
16,37,47,47,100.0,16037
16,38,108,108,100.0,16038
20,1,119,119,100.0,20001
20,3,124,124,100.0,20003
20,4,124,124,100.0,20004
20,6,117,117,100.0,20006
20,7,59,59,100.0,20007
20,8,94,94,100.0,20008
20,12,91,91,100.0,20012
20,14,175,175,100.0,20014
20,15,105,105,100.0,20015
20,17,95,95,100.0,20017
20,21,84,84,100.0,20021
20,27,51,51,100.0,20027
20,31,78,78,100.0,20031
20,33,98,98,100.0,20033
20,37,64,64,100.0,20037
20,41,9,9,100.0,20041
20,42,33,33,100.0,20042
20,45,29,29,100.0,20045
20,46,56,56,100.0,20046
20,48,70,70,100.0,20048
20,50,81,81,100.0,20050
20,52,30,30,100.0,20052
22,1,63,63,100.0,22001
22,15,113,113,100.0,22015
22,22,60,60,100.0,22022
23,23,76,76,100.0,23023
23,32,138,138,100.0,23032
23,35,93,93,100.0,23035
23,37,79,79,100.0,23037
23,49,112,112,100.0,23049
23,51,129,129,100.0,23051
