ward,precinct,total,"JOHN H. STROGER, JR.","JOHN H. STROGER, JR. Percent",precinct_id
8,1,227,227,100.0,08001
8,2,145,145,100.0,08002
8,3,302,302,100.0,08003
8,4,216,216,100.0,08004
8,5,268,268,100.0,08005
8,6,241,241,100.0,08006
8,7,119,119,100.0,08007
8,8,302,302,100.0,08008
8,9,260,260,100.0,08009
8,10,256,256,100.0,08010
8,11,145,145,100.0,08011
8,12,181,181,100.0,08012
8,13,141,141,100.0,08013
8,14,155,155,100.0,08014
8,15,166,166,100.0,08015
8,16,238,238,100.0,08016
8,17,184,184,100.0,08017
8,18,137,137,100.0,08018
8,19,263,263,100.0,08019
8,20,174,174,100.0,08020
8,21,160,160,100.0,08021
8,22,192,192,100.0,08022
8,23,169,169,100.0,08023
8,24,201,201,100.0,08024
8,25,202,202,100.0,08025
8,26,125,125,100.0,08026
8,27,216,216,100.0,08027
8,28,184,184,100.0,08028
8,29,200,200,100.0,08029
8,30,202,202,100.0,08030
8,31,183,183,100.0,08031
8,32,318,318,100.0,08032
8,33,124,124,100.0,08033
8,34,225,225,100.0,08034
8,35,270,270,100.0,08035
8,36,199,199,100.0,08036
8,37,153,153,100.0,08037
8,38,197,197,100.0,08038
8,39,212,212,100.0,08039
8,40,202,202,100.0,08040
8,41,200,200,100.0,08041
8,42,187,187,100.0,08042
8,43,135,135,100.0,08043
8,44,221,221,100.0,08044
8,45,186,186,100.0,08045
8,46,180,180,100.0,08046
8,47,206,206,100.0,08047
8,48,234,234,100.0,08048
8,49,245,245,100.0,08049
8,50,214,214,100.0,08050
8,51,201,201,100.0,08051
8,52,224,224,100.0,08052
8,53,229,229,100.0,08053
8,54,223,223,100.0,08054
8,55,174,174,100.0,08055
8,56,159,159,100.0,08056
8,57,217,217,100.0,08057
8,58,219,219,100.0,08058
8,59,182,182,100.0,08059
8,60,253,253,100.0,08060
8,61,162,162,100.0,08061
8,62,266,266,100.0,08062
8,63,235,235,100.0,08063
8,64,117,117,100.0,08064
8,65,189,189,100.0,08065
8,66,277,277,100.0,08066
