ward,precinct,total,PEGGY A. ROTH,PEGGY A. ROTH Percent,precinct_id
43,1,32,32,100.0,43001
43,2,36,36,100.0,43002
43,3,34,34,100.0,43003
43,4,38,38,100.0,43004
43,5,53,53,100.0,43005
43,6,46,46,100.0,43006
43,7,50,50,100.0,43007
43,8,48,48,100.0,43008
43,9,32,32,100.0,43009
43,10,28,28,100.0,43010
43,11,46,46,100.0,43011
43,12,60,60,100.0,43012
43,13,27,27,100.0,43013
43,14,29,29,100.0,43014
43,15,49,49,100.0,43015
43,16,39,39,100.0,43016
43,17,58,58,100.0,43017
43,18,79,79,100.0,43018
43,19,60,60,100.0,43019
43,20,72,72,100.0,43020
43,21,23,23,100.0,43021
43,22,28,28,100.0,43022
43,23,49,49,100.0,43023
43,24,42,42,100.0,43024
43,25,59,59,100.0,43025
43,26,55,55,100.0,43026
43,27,42,42,100.0,43027
43,28,33,33,100.0,43028
43,29,36,36,100.0,43029
43,30,29,29,100.0,43030
43,31,72,72,100.0,43031
43,32,38,38,100.0,43032
43,33,21,21,100.0,43033
43,34,30,30,100.0,43034
43,35,42,42,100.0,43035
43,36,51,51,100.0,43036
43,37,48,48,100.0,43037
43,38,36,36,100.0,43038
43,39,27,27,100.0,43039
43,40,59,59,100.0,43040
43,41,37,37,100.0,43041
43,42,41,41,100.0,43042
43,43,47,47,100.0,43043
43,44,46,46,100.0,43044
43,45,22,22,100.0,43045
43,46,40,40,100.0,43046
43,47,66,66,100.0,43047
43,48,26,26,100.0,43048
43,49,31,31,100.0,43049
43,50,44,44,100.0,43050
43,51,26,26,100.0,43051
43,52,57,57,100.0,43052
43,53,58,58,100.0,43053
43,54,17,17,100.0,43054
43,55,64,64,100.0,43055
43,56,41,41,100.0,43056
43,57,18,18,100.0,43057
43,58,43,43,100.0,43058
43,59,86,86,100.0,43059
43,60,59,59,100.0,43060
