ward,precinct,total,LA SHAWN K. FORD,LA SHAWN K. FORD Percent,CALVIN L. GILES,CALVIN L. GILES Percent,CLARENCE THOMAS,CLARENCE THOMAS Percent,GRADY C. JORDAN,GRADY C. JORDAN Percent,precinct_id
24,7,115,37,32.17,31,26.96,42,36.52,5,4.35,24007
24,16,86,21,24.42,21,24.42,40,46.51,4,4.65,24016
24,19,89,16,17.98,29,32.58,31,34.83,13,14.61,24019
24,29,117,25,21.37,43,36.75,41,35.04,8,6.84,24029
24,32,0,0,0.0,0,0.0,0,0.0,0,0.0,24032
24,41,106,30,28.3,17,16.04,54,50.94,5,4.72,24041
24,46,130,42,32.31,27,20.77,51,39.23,10,7.69,24046
24,48,24,5,20.83,5,20.83,10,41.67,4,16.67,24048
28,1,121,32,26.45,40,33.06,41,33.88,8,6.61,28001
28,4,159,32,20.13,56,35.22,61,38.36,10,6.29,28004
28,8,64,26,40.63,24,37.5,12,18.75,2,3.13,28008
28,12,95,22,23.16,42,44.21,26,27.37,5,5.26,28012
28,19,115,55,47.83,29,25.22,27,23.48,4,3.48,28019
28,21,91,27,29.67,37,40.66,21,23.08,6,6.59,28021
28,27,70,23,32.86,27,38.57,18,25.71,2,2.86,28027
28,33,66,15,22.73,29,43.94,18,27.27,4,6.06,28033
28,40,146,35,23.97,83,56.85,25,17.12,3,2.05,28040
28,42,91,27,29.67,36,39.56,24,26.37,4,4.4,28042
28,44,70,9,12.86,38,54.29,18,25.71,5,7.14,28044
28,45,81,35,43.21,21,25.93,22,27.16,3,3.7,28045
28,47,134,34,25.37,54,40.3,38,28.36,8,5.97,28047
28,51,86,26,30.23,24,27.91,29,33.72,7,8.14,28051
28,58,65,24,36.92,21,32.31,16,24.62,4,6.15,28058
28,60,66,25,37.88,16,24.24,20,30.3,5,7.58,28060
28,61,62,13,20.97,34,54.84,11,17.74,4,6.45,28061
29,3,163,31,19.02,44,26.99,79,48.47,9,5.52,29003
29,4,79,19,24.05,33,41.77,23,29.11,4,5.06,29004
29,5,187,55,29.41,70,37.43,51,27.27,11,5.88,29005
29,8,185,46,24.86,62,33.51,65,35.14,12,6.49,29008
29,12,145,13,8.97,27,18.62,95,65.52,10,6.9,29012
29,13,202,56,27.72,53,26.24,86,42.57,7,3.47,29013
29,14,170,29,17.06,50,29.41,77,45.29,14,8.24,29014
29,15,190,37,19.47,54,28.42,89,46.84,10,5.26,29015
29,22,116,37,31.9,12,10.34,57,49.14,10,8.62,29022
29,28,135,30,22.22,53,39.26,44,32.59,8,5.93,29028
29,29,206,51,24.76,107,51.94,38,18.45,10,4.85,29029
29,31,163,31,19.02,76,46.63,45,27.61,11,6.75,29031
29,34,104,48,46.15,11,10.58,42,40.38,3,2.88,29034
29,35,219,29,13.24,146,66.67,42,19.18,2,0.91,29035
29,37,153,44,28.76,51,33.33,45,29.41,13,8.5,29037
29,38,179,29,16.2,74,41.34,68,37.99,8,4.47,29038
29,40,289,89,30.8,109,37.72,82,28.37,9,3.11,29040
29,41,230,44,19.13,90,39.13,88,38.26,8,3.48,29041
29,43,210,47,22.38,64,30.48,89,42.38,10,4.76,29043
29,44,154,41,26.62,48,31.17,56,36.36,9,5.84,29044
29,45,171,39,22.81,70,40.94,57,33.33,5,2.92,29045
29,46,122,35,28.69,47,38.52,35,28.69,5,4.1,29046
29,50,235,68,28.94,100,42.55,55,23.4,12,5.11,29050
29,51,152,38,25.0,51,33.55,54,35.53,9,5.92,29051
29,55,39,10,25.64,11,28.21,13,33.33,5,12.82,29055
36,16,134,53,39.55,56,41.79,23,17.16,2,1.49,36016
36,22,191,45,23.56,83,43.46,47,24.61,16,8.38,36022
36,24,141,46,32.62,65,46.1,24,17.02,6,4.26,36024
36,33,121,38,31.4,51,42.15,23,19.01,9,7.44,36033
36,44,132,24,18.18,62,46.97,21,15.91,25,18.94,36044
36,45,105,36,34.29,39,37.14,16,15.24,14,13.33,36045
36,54,224,42,18.75,157,70.09,20,8.93,5,2.23,36054
36,55,163,45,27.61,77,47.24,31,19.02,10,6.13,36055
37,1,122,16,13.11,79,64.75,22,18.03,5,4.1,37001
37,4,103,20,19.42,64,62.14,17,16.5,2,1.94,37004
37,5,149,42,28.19,80,53.69,19,12.75,8,5.37,37005
37,7,154,31,20.13,104,67.53,11,7.14,8,5.19,37007
37,9,123,30,24.39,71,57.72,20,16.26,2,1.63,37009
37,15,220,67,30.45,114,51.82,30,13.64,9,4.09,37015
37,18,186,64,34.41,97,52.15,21,11.29,4,2.15,37018
37,20,210,118,56.19,58,27.62,18,8.57,16,7.62,37020
37,21,180,46,25.56,98,54.44,26,14.44,10,5.56,37021
37,22,122,55,45.08,48,39.34,13,10.66,6,4.92,37022
37,23,166,68,40.96,65,39.16,23,13.86,10,6.02,37023
37,25,177,70,39.55,81,45.76,16,9.04,10,5.65,37025
37,26,124,67,54.03,37,29.84,15,12.1,5,4.03,37026
37,27,97,47,48.45,42,43.3,3,3.09,5,5.15,37027
37,29,165,55,33.33,81,49.09,18,10.91,11,6.67,37029
37,32,145,53,36.55,69,47.59,17,11.72,6,4.14,37032
37,33,163,68,41.72,81,49.69,7,4.29,7,4.29,37033
37,36,107,30,28.04,58,54.21,13,12.15,6,5.61,37036
37,37,167,48,28.74,93,55.69,22,13.17,4,2.4,37037
37,45,188,40,21.28,125,66.49,15,7.98,8,4.26,37045
37,46,114,30,26.32,66,57.89,12,10.53,6,5.26,37046
37,48,146,62,42.47,68,46.58,15,10.27,1,0.68,37048
