ward,precinct,total,MATTHEW WILLIAM BEAUDET,MATTHEW WILLIAM BEAUDET Percent,COLLEEN F. SHEEHAN,COLLEEN F. SHEEHAN Percent,precinct_id
1,1,78,23,29.49,55,70.51,01001
1,2,115,28,24.35,87,75.65,01002
1,3,68,13,19.12,55,80.88,01003
1,4,92,17,18.48,75,81.52,01004
1,5,87,17,19.54,70,80.46,01005
1,6,73,13,17.81,60,82.19,01006
1,7,114,22,19.3,92,80.7,01007
1,8,62,23,37.1,39,62.9,01008
1,9,124,33,26.61,91,73.39,01009
1,10,111,28,25.23,83,74.77,01010
1,11,64,15,23.44,49,76.56,01011
1,12,161,57,35.4,104,64.6,01012
1,13,63,21,33.33,42,66.67,01013
1,14,74,24,32.43,50,67.57,01014
1,15,93,26,27.96,67,72.04,01015
1,16,89,26,29.21,63,70.79,01016
1,17,87,18,20.69,69,79.31,01017
1,18,113,41,36.28,72,63.72,01018
1,19,91,36,39.56,55,60.44,01019
1,20,66,21,31.82,45,68.18,01020
1,21,129,31,24.03,98,75.97,01021
1,22,53,20,37.74,33,62.26,01022
1,23,164,51,31.1,113,68.9,01023
1,24,105,27,25.71,78,74.29,01024
1,25,132,23,17.42,109,82.58,01025
1,26,206,41,19.9,165,80.1,01026
1,27,81,30,37.04,51,62.96,01027
1,28,21,5,23.81,16,76.19,01028
1,29,148,49,33.11,99,66.89,01029
1,30,93,34,36.56,59,63.44,01030
1,31,27,10,37.04,17,62.96,01031
1,32,91,22,24.18,69,75.82,01032
1,33,142,46,32.39,96,67.61,01033
1,34,12,3,25.0,9,75.0,01034
1,35,29,9,31.03,20,68.97,01035
1,36,101,26,25.74,75,74.26,01036
2,1,84,22,26.19,62,73.81,02001
2,2,197,65,32.99,132,67.01,02002
2,3,86,37,43.02,49,56.98,02003
2,4,18,9,50.0,9,50.0,02004
2,5,46,13,28.26,33,71.74,02005
2,6,57,21,36.84,36,63.16,02006
2,7,156,52,33.33,104,66.67,02007
2,8,129,28,21.71,101,78.29,02008
2,9,53,18,33.96,35,66.04,02009
2,10,56,17,30.36,39,69.64,02010
2,11,179,37,20.67,142,79.33,02011
2,12,113,31,27.43,82,72.57,02012
2,13,186,64,34.41,122,65.59,02013
2,14,105,28,26.67,77,73.33,02014
2,15,35,14,40.0,21,60.0,02015
2,16,61,19,31.15,42,68.85,02016
2,17,98,39,39.8,59,60.2,02017
2,18,173,48,27.75,125,72.25,02018
2,19,53,18,33.96,35,66.04,02019
2,20,134,28,20.9,106,79.1,02020
2,21,123,29,23.58,94,76.42,02021
2,22,159,36,22.64,123,77.36,02022
2,23,54,12,22.22,42,77.78,02023
2,24,63,16,25.4,47,74.6,02024
2,25,30,6,20.0,24,80.0,02025
2,26,66,20,30.3,46,69.7,02026
2,27,17,6,35.29,11,64.71,02027
2,28,128,38,29.69,90,70.31,02028
2,29,56,20,35.71,36,64.29,02029
2,30,74,26,35.14,48,64.86,02030
2,31,137,44,32.12,93,67.88,02031
2,32,65,20,30.77,45,69.23,02032
2,33,166,59,35.54,107,64.46,02033
2,34,80,33,41.25,47,58.75,02034
2,35,23,10,43.48,13,56.52,02035
