ward,precinct,total,PATRICK J. LEVAR,PATRICK J. LEVAR Percent,PATRICIA YOUNG,PATRICIA YOUNG Percent,JOE MOORE,JOE MOORE Percent,DOROTHY A. BROWN,DOROTHY A. BROWN Percent,precinct_id
1,1,123,83,67.48,13,10.57,11,8.94,16,13.01,01001
1,2,136,56,41.18,22,16.18,16,11.76,42,30.88,01002
1,3,80,21,26.25,13,16.25,17,21.25,29,36.25,01003
1,4,117,40,34.19,21,17.95,19,16.24,37,31.62,01004
1,5,98,23,23.47,20,20.41,23,23.47,32,32.65,01005
1,6,100,60,60.0,16,16.0,12,12.0,12,12.0,01006
1,7,147,40,27.21,30,20.41,34,23.13,43,29.25,01007
1,8,90,15,16.67,16,17.78,13,14.44,46,51.11,01008
1,9,188,60,31.91,19,10.11,28,14.89,81,43.09,01009
1,10,140,29,20.71,28,20.0,22,15.71,61,43.57,01010
1,11,80,36,45.0,12,15.0,12,15.0,20,25.0,01011
1,12,186,50,26.88,45,24.19,29,15.59,62,33.33,01012
1,13,143,79,55.24,13,9.09,23,16.08,28,19.58,01013
1,14,107,24,22.43,14,13.08,15,14.02,54,50.47,01014
1,15,141,48,34.04,18,12.77,39,27.66,36,25.53,01015
1,16,126,46,36.51,6,4.76,10,7.94,64,50.79,01016
1,17,124,29,23.39,24,19.35,26,20.97,45,36.29,01017
1,18,151,39,25.83,22,14.57,29,19.21,61,40.4,01018
1,19,121,35,28.93,25,20.66,21,17.36,40,33.06,01019
1,20,97,14,14.43,18,18.56,24,24.74,41,42.27,01020
1,21,167,60,35.93,29,17.37,27,16.17,51,30.54,01021
1,22,77,16,20.78,12,15.58,14,18.18,35,45.45,01022
1,23,227,63,27.75,54,23.79,42,18.5,68,29.96,01023
1,24,131,61,46.56,21,16.03,19,14.5,30,22.9,01024
1,25,175,66,37.71,23,13.14,41,23.43,45,25.71,01025
1,26,269,121,44.98,36,13.38,59,21.93,53,19.7,01026
1,27,108,32,29.63,12,11.11,16,14.81,48,44.44,01027
1,28,25,6,24.0,5,20.0,3,12.0,11,44.0,01028
1,29,200,56,28.0,33,16.5,41,20.5,70,35.0,01029
1,30,118,41,34.75,18,15.25,19,16.1,40,33.9,01030
1,31,41,3,7.32,9,21.95,2,4.88,27,65.85,01031
1,32,131,19,14.5,28,21.37,14,10.69,70,53.44,01032
1,33,180,57,31.67,43,23.89,30,16.67,50,27.78,01033
1,34,18,11,61.11,3,16.67,3,16.67,1,5.56,01034
1,35,34,13,38.24,6,17.65,9,26.47,6,17.65,01035
1,36,123,28,22.76,20,16.26,28,22.76,47,38.21,01036
2,1,99,16,16.16,18,18.18,10,10.1,55,55.56,02001
2,2,270,8,2.96,19,7.04,12,4.44,231,85.56,02002
2,3,96,7,7.29,12,12.5,9,9.38,68,70.83,02003
2,4,36,2,5.56,1,2.78,5,13.89,28,77.78,02004
2,5,69,6,8.7,7,10.14,5,7.25,51,73.91,02005
2,6,89,7,7.87,10,11.24,12,13.48,60,67.42,02006
2,7,208,12,5.77,23,11.06,13,6.25,160,76.92,02007
2,8,174,19,10.92,14,8.05,22,12.64,119,68.39,02008
2,9,76,7,9.21,10,13.16,7,9.21,52,68.42,02009
2,10,79,3,3.8,9,11.39,5,6.33,62,78.48,02010
2,11,273,31,11.36,25,9.16,52,19.05,165,60.44,02011
2,12,214,10,4.67,16,7.48,21,9.81,167,78.04,02012
2,13,270,4,1.48,22,8.15,13,4.81,231,85.56,02013
2,14,149,6,4.03,11,7.38,8,5.37,124,83.22,02014
2,15,40,0,0.0,9,22.5,5,12.5,26,65.0,02015
2,16,90,3,3.33,10,11.11,6,6.67,71,78.89,02016
2,17,127,2,1.57,17,13.39,9,7.09,99,77.95,02017
2,18,274,6,2.19,19,6.93,6,2.19,243,88.69,02018
2,19,75,3,4.0,9,12.0,8,10.67,55,73.33,02019
2,20,202,7,3.47,5,2.48,18,8.91,172,85.15,02020
2,21,175,1,0.57,12,6.86,7,4.0,155,88.57,02021
2,22,227,36,15.86,20,8.81,19,8.37,152,66.96,02022
2,23,106,4,3.77,12,11.32,4,3.77,86,81.13,02023
2,24,112,6,5.36,11,9.82,7,6.25,88,78.57,02024
2,25,43,11,25.58,3,6.98,3,6.98,26,60.47,02025
2,26,103,5,4.85,1,0.97,7,6.8,90,87.38,02026
2,27,35,2,5.71,2,5.71,2,5.71,29,82.86,02027
2,28,168,5,2.98,10,5.95,14,8.33,139,82.74,02028
2,29,88,4,4.55,15,17.05,6,6.82,63,71.59,02029
2,30,111,4,3.6,9,8.11,6,5.41,92,82.88,02030
2,31,193,5,2.59,12,6.22,10,5.18,166,86.01,02031
2,32,88,8,9.09,4,4.55,7,7.95,69,78.41,02032
2,33,254,9,3.54,13,5.12,11,4.33,221,87.01,02033
2,34,167,9,5.39,5,2.99,4,2.4,149,89.22,02034
2,35,27,6,22.22,4,14.81,1,3.7,16,59.26,02035
2,36,93,11,11.83,9,9.68,0,0.0,73,78.49,02036
2,37,95,6,6.32,12,12.63,13,13.68,64,67.37,02037
2,38,132,7,5.3,7,5.3,8,6.06,110,83.33,02038
2,39,136,4,2.94,12,8.82,6,4.41,114,83.82,02039
2,40,134,14,10.45,13,9.7,13,9.7,94,70.15,02040
2,41,64,7,10.94,4,6.25,2,3.13,51,79.69,02041
2,42,39,2,5.13,1,2.56,4,10.26,32,82.05,02042
2,43,190,16,8.42,18,9.47,25,13.16,131,68.95,02043
2,44,165,3,1.82,11,6.67,6,3.64,145,87.88,02044
2,45,77,1,1.3,8,10.39,7,9.09,61,79.22,02045
2,46,299,16,5.35,17,5.69,11,3.68,255,85.28,02046
2,47,107,6,5.61,15,14.02,10,9.35,76,71.03,02047
2,48,187,6,3.21,13,6.95,12,6.42,156,83.42,02048
2,49,53,9,16.98,10,18.87,9,16.98,25,47.17,02049
2,50,69,6,8.7,9,13.04,5,7.25,49,71.01,02050
2,51,112,6,5.36,10,8.93,2,1.79,94,83.93,02051
2,52,109,6,5.5,11,10.09,10,9.17,82,75.23,02052
2,53,71,2,2.82,2,2.82,7,9.86,60,84.51,02053
2,54,145,10,6.9,22,15.17,23,15.86,90,62.07,02054
3,1,182,10,5.49,17,9.34,13,7.14,142,78.02,03001
3,2,241,6,2.49,26,10.79,5,2.07,204,84.65,03002
3,3,49,2,4.08,7,14.29,3,6.12,37,75.51,03003
3,4,56,2,3.57,13,23.21,3,5.36,38,67.86,03004
3,5,62,3,4.84,9,14.52,6,9.68,44,70.97,03005
3,6,37,2,5.41,15,40.54,2,5.41,18,48.65,03006
3,7,15,1,6.67,2,13.33,3,20.0,9,60.0,03007
3,8,65,4,6.15,14,21.54,6,9.23,41,63.08,03008
3,9,113,2,1.77,9,7.96,5,4.42,97,85.84,03009
3,10,141,8,5.67,11,7.8,8,5.67,114,80.85,03010
3,11,81,1,1.23,4,4.94,4,4.94,72,88.89,03011
3,12,106,6,5.66,14,13.21,9,8.49,77,72.64,03012
3,13,26,2,7.69,7,26.92,0,0.0,17,65.38,03013
3,14,67,8,11.94,10,14.93,3,4.48,46,68.66,03014
3,15,113,4,3.54,10,8.85,3,2.65,96,84.96,03015
3,16,189,6,3.17,12,6.35,10,5.29,161,85.19,03016
3,17,100,2,2.0,10,10.0,7,7.0,81,81.0,03017
3,18,92,2,2.17,8,8.7,9,9.78,73,79.35,03018
3,19,55,3,5.45,10,18.18,2,3.64,40,72.73,03019
3,20,37,3,8.11,4,10.81,5,13.51,25,67.57,03020
3,21,77,3,3.9,10,12.99,5,6.49,59,76.62,03021
3,22,101,3,2.97,14,13.86,4,3.96,80,79.21,03022
3,23,41,4,9.76,8,19.51,3,7.32,26,63.41,03023
3,24,150,3,2.0,16,10.67,3,2.0,128,85.33,03024
3,25,26,1,3.85,5,19.23,2,7.69,18,69.23,03025
3,26,79,6,7.59,5,6.33,4,5.06,64,81.01,03026
3,27,18,1,5.56,4,22.22,0,0.0,13,72.22,03027
3,28,149,1,0.67,13,8.72,7,4.7,128,85.91,03028
3,29,15,0,0.0,2,13.33,1,6.67,12,80.0,03029
3,30,140,4,2.86,8,5.71,7,5.0,121,86.43,03030
3,31,134,5,3.73,9,6.72,4,2.99,116,86.57,03031
3,32,154,4,2.6,13,8.44,7,4.55,130,84.42,03032
3,33,106,1,0.94,11,10.38,7,6.6,87,82.08,03033
3,34,34,0,0.0,3,8.82,1,2.94,30,88.24,03034
3,35,111,3,2.7,8,7.21,4,3.6,96,86.49,03035
3,36,43,1,2.33,11,25.58,2,4.65,29,67.44,03036
3,37,106,6,5.66,7,6.6,4,3.77,89,83.96,03037
3,38,199,7,3.52,8,4.02,13,6.53,171,85.93,03038
3,39,282,5,1.77,4,1.42,8,2.84,265,93.97,03039
3,40,122,6,4.92,6,4.92,7,5.74,103,84.43,03040
3,41,87,6,6.9,7,8.05,6,6.9,68,78.16,03041
3,42,52,2,3.85,3,5.77,3,5.77,44,84.62,03042
3,43,21,1,4.76,2,9.52,0,0.0,18,85.71,03043
3,44,79,3,3.8,4,5.06,1,1.27,71,89.87,03044
3,45,43,1,2.33,4,9.3,1,2.33,37,86.05,03045
3,46,13,2,15.38,2,15.38,0,0.0,9,69.23,03046
3,47,93,0,0.0,10,10.75,4,4.3,79,84.95,03047
3,48,96,2,2.08,1,1.04,5,5.21,88,91.67,03048
3,49,76,1,1.32,2,2.63,6,7.89,67,88.16,03049
3,50,109,5,4.59,5,4.59,10,9.17,89,81.65,03050
3,51,56,7,12.5,11,19.64,4,7.14,34,60.71,03051
3,52,131,1,0.76,6,4.58,0,0.0,124,94.66,03052
4,1,154,3,1.95,18,11.69,33,21.43,100,64.94,04001
4,2,38,1,2.63,8,21.05,3,7.89,26,68.42,04002
4,3,217,4,1.84,17,7.83,20,9.22,176,81.11,04003
4,4,173,7,4.05,17,9.83,27,15.61,122,70.52,04004
4,5,177,4,2.26,11,6.21,20,11.3,142,80.23,04005
4,6,5,0,0.0,0,0.0,0,0.0,5,100.0,04006
4,7,129,3,2.33,14,10.85,19,14.73,93,72.09,04007
4,8,228,4,1.75,16,7.02,17,7.46,191,83.77,04008
4,9,378,11,2.91,17,4.5,39,10.32,311,82.28,04009
4,10,225,2,0.89,14,6.22,31,13.78,178,79.11,04010
4,11,134,8,5.97,8,5.97,19,14.18,99,73.88,04011
4,12,128,5,3.91,16,12.5,10,7.81,97,75.78,04012
4,13,203,9,4.43,18,8.87,34,16.75,142,69.95,04013
4,14,115,4,3.48,15,13.04,20,17.39,76,66.09,04014
4,15,100,9,9.0,14,14.0,13,13.0,64,64.0,04015
4,16,183,13,7.1,16,8.74,18,9.84,136,74.32,04016
