ward,precinct,total,"JESSE L. JACKSON, JR.","JESSE L. JACKSON, JR. Percent",precinct_id
6,18,69,69,100.0,06018
7,2,188,188,100.0,07002
7,3,152,152,100.0,07003
7,4,136,136,100.0,07004
7,5,128,128,100.0,07005
7,6,171,171,100.0,07006
7,7,136,136,100.0,07007
7,8,119,119,100.0,07008
7,10,208,208,100.0,07010
7,11,212,212,100.0,07011
7,12,176,176,100.0,07012
7,14,162,162,100.0,07014
7,15,253,253,100.0,07015
7,16,177,177,100.0,07016
7,17,180,180,100.0,07017
7,18,156,156,100.0,07018
7,19,245,245,100.0,07019
7,20,44,44,100.0,07020
7,21,189,189,100.0,07021
7,23,169,169,100.0,07023
7,24,231,231,100.0,07024
7,26,191,191,100.0,07026
7,27,191,191,100.0,07027
7,28,161,161,100.0,07028
7,29,99,99,100.0,07029
7,31,224,224,100.0,07031
7,32,154,154,100.0,07032
7,33,189,189,100.0,07033
7,35,228,228,100.0,07035
7,39,164,164,100.0,07039
7,40,139,139,100.0,07040
7,42,182,182,100.0,07042
7,44,250,250,100.0,07044
7,45,253,253,100.0,07045
7,46,89,89,100.0,07046
9,1,249,249,100.0,09001
9,3,108,108,100.0,09003
9,4,253,253,100.0,09004
9,5,208,208,100.0,09005
9,6,175,175,100.0,09006
9,7,192,192,100.0,09007
9,8,190,190,100.0,09008
9,9,235,235,100.0,09009
9,11,125,125,100.0,09011
9,15,78,78,100.0,09015
9,16,206,206,100.0,09016
9,18,178,178,100.0,09018
9,19,223,223,100.0,09019
9,22,243,243,100.0,09022
9,23,140,140,100.0,09023
9,24,79,79,100.0,09024
9,25,108,108,100.0,09025
9,26,131,131,100.0,09026
9,28,119,119,100.0,09028
9,29,171,171,100.0,09029
9,30,196,196,100.0,09030
9,31,119,119,100.0,09031
9,32,209,209,100.0,09032
9,33,160,160,100.0,09033
9,34,150,150,100.0,09034
9,36,81,81,100.0,09036
9,37,168,168,100.0,09037
9,38,167,167,100.0,09038
9,39,174,174,100.0,09039
9,40,215,215,100.0,09040
9,41,240,240,100.0,09041
9,42,135,135,100.0,09042
9,43,122,122,100.0,09043
9,44,180,180,100.0,09044
9,45,215,215,100.0,09045
9,46,162,162,100.0,09046
9,47,125,125,100.0,09047
9,48,223,223,100.0,09048
9,49,87,87,100.0,09049
9,50,227,227,100.0,09050
10,1,114,114,100.0,10001
10,4,143,143,100.0,10004
10,7,42,42,100.0,10007
10,10,159,159,100.0,10010
10,14,31,31,100.0,10014
10,18,108,108,100.0,10018
10,25,179,179,100.0,10025
10,28,160,160,100.0,10028
10,29,174,174,100.0,10029
10,36,161,161,100.0,10036
10,37,138,138,100.0,10037
10,40,107,107,100.0,10040
10,43,149,149,100.0,10043
15,7,143,143,100.0,15007
15,13,94,94,100.0,15013
15,15,86,86,100.0,15015
15,18,156,156,100.0,15018
15,19,125,125,100.0,15019
15,21,177,177,100.0,15021
15,31,152,152,100.0,15031
15,34,96,96,100.0,15034
15,39,124,124,100.0,15039
15,40,154,154,100.0,15040
15,44,111,111,100.0,15044
15,46,123,123,100.0,15046
15,47,143,143,100.0,15047
16,10,133,133,100.0,16010
16,28,134,134,100.0,16028
17,1,88,88,100.0,17001
17,3,163,163,100.0,17003
17,4,257,257,100.0,17004
17,5,178,178,100.0,17005
17,6,161,161,100.0,17006
17,7,198,198,100.0,17007
17,8,127,127,100.0,17008
17,9,131,131,100.0,17009
17,10,192,192,100.0,17010
17,11,150,150,100.0,17011
17,12,181,181,100.0,17012
17,13,151,151,100.0,17013
17,14,148,148,100.0,17014
17,16,183,183,100.0,17016
17,17,152,152,100.0,17017
17,18,171,171,100.0,17018
17,19,101,101,100.0,17019
17,20,174,174,100.0,17020
17,22,175,175,100.0,17022
17,23,142,142,100.0,17023
17,24,166,166,100.0,17024
17,26,208,208,100.0,17026
17,27,202,202,100.0,17027
17,28,169,169,100.0,17028
17,29,193,193,100.0,17029
17,30,189,189,100.0,17030
17,31,113,113,100.0,17031
17,32,157,157,100.0,17032
17,33,168,168,100.0,17033
17,34,155,155,100.0,17034
17,36,128,128,100.0,17036
17,37,167,167,100.0,17037
17,39,176,176,100.0,17039
17,40,137,137,100.0,17040
17,41,144,144,100.0,17041
17,42,102,102,100.0,17042
17,43,117,117,100.0,17043
17,45,291,291,100.0,17045
17,46,161,161,100.0,17046
17,47,115,115,100.0,17047
17,49,125,125,100.0,17049
17,51,172,172,100.0,17051
17,52,252,252,100.0,17052
17,55,133,133,100.0,17055
18,3,180,180,100.0,18003
18,6,193,193,100.0,18006
18,15,131,131,100.0,18015
18,19,116,116,100.0,18019
18,20,195,195,100.0,18020
18,24,200,200,100.0,18024
18,25,190,190,100.0,18025
18,26,224,224,100.0,18026
18,27,158,158,100.0,18027
18,28,137,137,100.0,18028
18,30,242,242,100.0,18030
18,32,224,224,100.0,18032
18,38,208,208,100.0,18038
18,39,178,178,100.0,18039
18,41,171,171,100.0,18041
18,42,149,149,100.0,18042
18,43,140,140,100.0,18043
18,44,212,212,100.0,18044
18,45,207,207,100.0,18045
18,46,159,159,100.0,18046
18,47,237,237,100.0,18047
18,48,114,114,100.0,18048
18,50,163,163,100.0,18050
18,51,178,178,100.0,18051
18,52,167,167,100.0,18052
18,53,167,167,100.0,18053
18,55,199,199,100.0,18055
18,56,185,185,100.0,18056
18,57,238,238,100.0,18057
18,58,118,118,100.0,18058
18,59,192,192,100.0,18059
18,60,142,142,100.0,18060
18,61,174,174,100.0,18061
18,62,152,152,100.0,18062
18,63,64,64,100.0,18063
19,43,187,187,100.0,19043
19,48,196,196,100.0,19048
19,49,16,16,100.0,19049
19,50,177,177,100.0,19050
