ward,precinct,total,MARVIN A. MCNEIL,MARVIN A. MCNEIL Percent,precinct_id
6,1,199,199,100.0,06001
6,2,187,187,100.0,06002
6,3,166,166,100.0,06003
6,4,104,104,100.0,06004
6,5,71,71,100.0,06005
6,6,178,178,100.0,06006
6,7,114,114,100.0,06007
6,8,174,174,100.0,06008
6,9,172,172,100.0,06009
6,10,222,222,100.0,06010
6,11,144,144,100.0,06011
6,12,105,105,100.0,06012
6,13,147,147,100.0,06013
6,14,146,146,100.0,06014
6,15,87,87,100.0,06015
6,16,176,176,100.0,06016
6,17,224,224,100.0,06017
6,18,51,51,100.0,06018
6,19,140,140,100.0,06019
6,20,47,47,100.0,06020
6,21,161,161,100.0,06021
6,22,149,149,100.0,06022
6,23,111,111,100.0,06023
6,24,142,142,100.0,06024
6,25,141,141,100.0,06025
6,26,158,158,100.0,06026
6,27,201,201,100.0,06027
6,28,190,190,100.0,06028
6,29,181,181,100.0,06029
6,30,128,128,100.0,06030
6,31,208,208,100.0,06031
6,32,168,168,100.0,06032
6,33,162,162,100.0,06033
6,34,130,130,100.0,06034
6,35,212,212,100.0,06035
6,36,79,79,100.0,06036
6,37,203,203,100.0,06037
6,38,201,201,100.0,06038
6,39,79,79,100.0,06039
6,40,71,71,100.0,06040
6,41,180,180,100.0,06041
6,42,92,92,100.0,06042
6,43,197,197,100.0,06043
6,44,151,151,100.0,06044
6,45,93,93,100.0,06045
6,46,125,125,100.0,06046
6,47,193,193,100.0,06047
6,48,170,170,100.0,06048
6,49,129,129,100.0,06049
6,50,177,177,100.0,06050
6,51,113,113,100.0,06051
6,52,130,130,100.0,06052
6,53,123,123,100.0,06053
6,54,128,128,100.0,06054
6,55,120,120,100.0,06055
6,56,113,113,100.0,06056
6,57,83,83,100.0,06057
6,58,178,178,100.0,06058
6,59,155,155,100.0,06059
6,60,104,104,100.0,06060
6,61,99,99,100.0,06061
6,62,174,174,100.0,06062
6,63,124,124,100.0,06063
6,64,178,178,100.0,06064
