ward,precinct,total,SANDRA M. REED,SANDRA M. REED Percent,JAMES E. SNYDER,JAMES E. SNYDER Percent,precinct_id
46,1,292,138,47.26,154,52.74,46001
46,2,116,37,31.9,79,68.1,46002
46,3,143,87,60.84,56,39.16,46003
46,4,124,67,54.03,57,45.97,46004
46,5,71,30,42.25,41,57.75,46005
46,6,100,59,59.0,41,41.0,46006
46,7,154,88,57.14,66,42.86,46007
46,8,176,81,46.02,95,53.98,46008
46,9,146,62,42.47,84,57.53,46009
46,10,117,63,53.85,54,46.15,46010
46,11,149,87,58.39,62,41.61,46011
46,12,163,57,34.97,106,65.03,46012
46,13,117,50,42.74,67,57.26,46013
46,14,91,30,32.97,61,67.03,46014
46,15,140,81,57.86,59,42.14,46015
46,16,239,120,50.21,119,49.79,46016
46,17,152,82,53.95,70,46.05,46017
46,18,137,74,54.01,63,45.99,46018
46,19,169,66,39.05,103,60.95,46019
46,20,148,76,51.35,72,48.65,46020
46,21,31,15,48.39,16,51.61,46021
46,22,160,50,31.25,110,68.75,46022
46,23,123,82,66.67,41,33.33,46023
46,24,98,36,36.73,62,63.27,46024
46,25,203,45,22.17,158,77.83,46025
46,26,183,109,59.56,74,40.44,46026
46,27,167,82,49.1,85,50.9,46027
46,28,144,100,69.44,44,30.56,46028
46,29,155,91,58.71,64,41.29,46029
46,30,162,88,54.32,74,45.68,46030
46,31,127,68,53.54,59,46.46,46031
46,32,243,80,32.92,163,67.08,46032
46,33,147,100,68.03,47,31.97,46033
46,34,147,108,73.47,39,26.53,46034
46,35,202,113,55.94,89,44.06,46035
46,36,148,91,61.49,57,38.51,46036
46,37,150,81,54.0,69,46.0,46037
46,38,140,66,47.14,74,52.86,46038
46,39,101,62,61.39,39,38.61,46039
