ward,precinct,total,THOMAS J. DART,THOMAS J. DART Percent,precinct_id
9,1,175,175,100.0,09001
9,5,140,140,100.0,09005
9,8,89,89,100.0,09008
9,9,162,162,100.0,09009
9,22,179,179,100.0,09022
9,23,102,102,100.0,09023
9,25,76,76,100.0,09025
9,29,118,118,100.0,09029
9,31,86,86,100.0,09031
9,32,144,144,100.0,09032
9,34,99,99,100.0,09034
9,36,61,61,100.0,09036
9,37,178,178,100.0,09037
9,38,110,110,100.0,09038
9,40,161,161,100.0,09040
9,43,82,82,100.0,09043
9,46,125,125,100.0,09046
9,48,171,171,100.0,09048
10,14,30,30,100.0,10014
19,3,218,218,100.0,19003
19,4,214,214,100.0,19004
19,6,245,245,100.0,19006
19,7,255,255,100.0,19007
19,8,162,162,100.0,19008
19,11,238,238,100.0,19011
19,12,207,207,100.0,19012
19,16,288,288,100.0,19016
19,17,245,245,100.0,19017
19,21,197,197,100.0,19021
19,24,218,218,100.0,19024
19,29,209,209,100.0,19029
19,30,224,224,100.0,19030
19,32,288,288,100.0,19032
19,33,270,270,100.0,19033
19,41,226,226,100.0,19041
19,44,203,203,100.0,19044
19,47,132,132,100.0,19047
19,48,168,168,100.0,19048
19,49,240,240,100.0,19049
19,50,144,144,100.0,19050
19,51,226,226,100.0,19051
19,52,176,176,100.0,19052
19,54,167,167,100.0,19054
19,55,217,217,100.0,19055
19,58,221,221,100.0,19058
19,59,265,265,100.0,19059
19,62,261,261,100.0,19062
19,63,142,142,100.0,19063
19,64,296,296,100.0,19064
19,65,231,231,100.0,19065
21,15,71,71,100.0,21015
21,16,39,39,100.0,21016
21,29,77,77,100.0,21029
21,30,63,63,100.0,21030
21,35,94,94,100.0,21035
21,39,90,90,100.0,21039
21,56,58,58,100.0,21056
21,57,67,67,100.0,21057
21,67,83,83,100.0,21067
21,68,57,57,100.0,21068
21,69,82,82,100.0,21069
34,1,204,204,100.0,34001
34,2,166,166,100.0,34002
34,4,127,127,100.0,34004
34,7,187,187,100.0,34007
34,8,167,167,100.0,34008
34,10,177,177,100.0,34010
34,12,151,151,100.0,34012
34,18,105,105,100.0,34018
34,19,145,145,100.0,34019
34,20,174,174,100.0,34020
34,21,161,161,100.0,34021
34,22,197,197,100.0,34022
34,23,97,97,100.0,34023
34,24,118,118,100.0,34024
34,26,85,85,100.0,34026
34,27,95,95,100.0,34027
34,28,65,65,100.0,34028
34,29,153,153,100.0,34029
34,30,167,167,100.0,34030
34,32,157,157,100.0,34032
34,33,118,118,100.0,34033
34,36,168,168,100.0,34036
34,37,72,72,100.0,34037
34,38,96,96,100.0,34038
34,39,86,86,100.0,34039
34,41,114,114,100.0,34041
34,42,160,160,100.0,34042
34,43,152,152,100.0,34043
34,44,189,189,100.0,34044
34,47,72,72,100.0,34047
34,48,153,153,100.0,34048
34,49,175,175,100.0,34049
34,51,165,165,100.0,34051
34,52,86,86,100.0,34052
34,53,82,82,100.0,34053
34,56,93,93,100.0,34056
34,58,106,106,100.0,34058
34,61,111,111,100.0,34061
