ward,precinct,total,GENE SCHULTER,GENE SCHULTER Percent,EDMUND L. KELLY,EDMUND L. KELLY Percent,precinct_id
47,1,93,48,51.61,45,48.39,47001
47,2,347,102,29.39,245,70.61,47002
47,3,235,83,35.32,152,64.68,47003
47,4,323,135,41.8,188,58.2,47004
47,5,131,95,72.52,36,27.48,47005
47,6,273,160,58.61,113,41.39,47006
47,7,231,97,41.99,134,58.01,47007
47,8,336,184,54.76,152,45.24,47008
47,9,245,121,49.39,124,50.61,47009
47,10,192,100,52.08,92,47.92,47010
47,11,366,262,71.58,104,28.42,47011
47,12,239,108,45.19,131,54.81,47012
47,13,284,104,36.62,180,63.38,47013
47,14,302,88,29.14,214,70.86,47014
47,15,142,79,55.63,63,44.37,47015
47,16,170,63,37.06,107,62.94,47016
47,17,245,109,44.49,136,55.51,47017
47,18,207,111,53.62,96,46.38,47018
47,19,239,133,55.65,106,44.35,47019
47,20,250,119,47.6,131,52.4,47020
47,21,133,74,55.64,59,44.36,47021
47,22,182,90,49.45,92,50.55,47022
47,23,68,31,45.59,37,54.41,47023
47,24,117,64,54.7,53,45.3,47024
47,25,185,122,65.95,63,34.05,47025
47,26,210,117,55.71,93,44.29,47026
47,27,180,85,47.22,95,52.78,47027
47,28,321,151,47.04,170,52.96,47028
47,29,202,74,36.63,128,63.37,47029
47,30,113,77,68.14,36,31.86,47030
47,31,214,93,43.46,121,56.54,47031
47,32,265,157,59.25,108,40.75,47032
47,33,204,93,45.59,111,54.41,47033
47,34,209,131,62.68,78,37.32,47034
47,35,292,138,47.26,154,52.74,47035
47,36,206,98,47.57,108,52.43,47036
47,37,227,128,56.39,99,43.61,47037
47,38,219,90,41.1,129,58.9,47038
47,39,150,78,52.0,72,48.0,47039
47,40,192,98,51.04,94,48.96,47040
47,41,110,64,58.18,46,41.82,47041
47,42,241,89,36.93,152,63.07,47042
47,43,262,98,37.4,164,62.6,47043
47,44,185,149,80.54,36,19.46,47044
47,45,214,109,50.93,105,49.07,47045
