ward,precinct,total,CARRIE M. AUSTIN,CARRIE M. AUSTIN Percent,precinct_id
34,1,261,261,100.0,34001
34,2,223,223,100.0,34002
34,3,113,113,100.0,34003
34,4,147,147,100.0,34004
34,5,75,75,100.0,34005
34,6,146,146,100.0,34006
34,7,236,236,100.0,34007
34,8,213,213,100.0,34008
34,9,107,107,100.0,34009
34,10,230,230,100.0,34010
34,11,105,105,100.0,34011
34,12,161,161,100.0,34012
34,13,93,93,100.0,34013
34,14,112,112,100.0,34014
34,15,94,94,100.0,34015
34,16,104,104,100.0,34016
34,17,146,146,100.0,34017
34,18,114,114,100.0,34018
34,19,159,159,100.0,34019
34,20,209,209,100.0,34020
34,21,197,197,100.0,34021
34,22,227,227,100.0,34022
34,23,113,113,100.0,34023
34,24,146,146,100.0,34024
34,25,119,119,100.0,34025
34,26,116,116,100.0,34026
34,27,106,106,100.0,34027
34,28,91,91,100.0,34028
34,29,192,192,100.0,34029
34,30,222,222,100.0,34030
34,31,119,119,100.0,34031
34,32,179,179,100.0,34032
34,33,132,132,100.0,34033
34,34,191,191,100.0,34034
34,35,199,199,100.0,34035
34,36,183,183,100.0,34036
34,37,84,84,100.0,34037
34,38,121,121,100.0,34038
34,39,107,107,100.0,34039
34,40,178,178,100.0,34040
34,41,140,140,100.0,34041
34,42,184,184,100.0,34042
34,43,186,186,100.0,34043
34,44,214,214,100.0,34044
34,45,175,175,100.0,34045
34,46,136,136,100.0,34046
34,47,88,88,100.0,34047
34,48,181,181,100.0,34048
34,49,235,235,100.0,34049
34,50,149,149,100.0,34050
34,51,210,210,100.0,34051
34,52,120,120,100.0,34052
34,53,91,91,100.0,34053
34,54,129,129,100.0,34054
34,55,139,139,100.0,34055
34,56,99,99,100.0,34056
34,57,74,74,100.0,34057
34,58,131,131,100.0,34058
34,59,140,140,100.0,34059
34,60,125,125,100.0,34060
34,61,113,113,100.0,34061
