ward,precinct,total,MARY F. MORTEN (GORE),MARY F. MORTEN (GORE) Percent,SELMA C. D'SOUZA (BRADLEY),SELMA C. D'SOUZA (BRADLEY) Percent,DOUGLAS HEITZ (LaROUCHE),DOUGLAS HEITZ (LaROUCHE) Percent,precinct_id
39,1,68,47,69.12,17,25.0,4,5.88,39001
39,3,110,70,63.64,27,24.55,13,11.82,39003
39,15,57,30,52.63,20,35.09,7,12.28,39015
39,20,71,47,66.2,22,30.99,2,2.82,39020
39,23,53,40,75.47,11,20.75,2,3.77,39023
39,26,119,85,71.43,27,22.69,7,5.88,39026
39,28,46,32,69.57,12,26.09,2,4.35,39028
39,32,289,269,93.08,13,4.5,7,2.42,39032
39,34,53,45,84.91,6,11.32,2,3.77,39034
39,36,266,233,87.59,23,8.65,10,3.76,39036
39,37,97,74,76.29,18,18.56,5,5.15,39037
39,38,149,112,75.17,26,17.45,11,7.38,39038
39,40,50,27,54.0,14,28.0,9,18.0,39040
39,42,77,48,62.34,26,33.77,3,3.9,39042
39,47,56,41,73.21,7,12.5,8,14.29,39047
40,3,73,50,68.49,16,21.92,7,9.59,40003
40,4,117,78,66.67,35,29.91,4,3.42,40004
40,7,72,46,63.89,22,30.56,4,5.56,40007
40,8,128,98,76.56,28,21.88,2,1.56,40008
40,9,47,30,63.83,9,19.15,8,17.02,40009
40,11,64,44,68.75,18,28.13,2,3.13,40011
40,12,68,57,83.82,10,14.71,1,1.47,40012
40,13,75,46,61.33,23,30.67,6,8.0,40013
40,15,85,61,71.76,16,18.82,8,9.41,40015
40,16,144,120,83.33,21,14.58,3,2.08,40016
40,18,81,70,86.42,9,11.11,2,2.47,40018
40,22,56,43,76.79,8,14.29,5,8.93,40022
40,26,85,60,70.59,23,27.06,2,2.35,40026
40,27,129,96,74.42,32,24.81,1,0.78,40027
40,28,59,48,81.36,9,15.25,2,3.39,40028
40,33,74,58,78.38,14,18.92,2,2.7,40033
40,35,79,55,69.62,20,25.32,4,5.06,40035
40,37,73,54,73.97,16,21.92,3,4.11,40037
40,39,72,53,73.61,13,18.06,6,8.33,40039
40,41,110,82,74.55,25,22.73,3,2.73,40041
40,42,109,78,71.56,28,25.69,3,2.75,40042
40,43,77,54,70.13,21,27.27,2,2.6,40043
40,45,121,70,57.85,31,25.62,20,16.53,40045
40,46,78,58,74.36,12,15.38,8,10.26,40046
40,47,80,57,71.25,21,26.25,2,2.5,40047
41,1,68,48,70.59,15,22.06,5,7.35,41001
41,2,108,72,66.67,27,25.0,9,8.33,41002
41,3,100,75,75.0,16,16.0,9,9.0,41003
41,4,86,56,65.12,24,27.91,6,6.98,41004
41,5,78,62,79.49,12,15.38,4,5.13,41005
41,6,59,42,71.19,12,20.34,5,8.47,41006
41,7,144,97,67.36,34,23.61,13,9.03,41007
41,8,87,54,62.07,25,28.74,8,9.2,41008
41,9,64,49,76.56,11,17.19,4,6.25,41009
41,10,83,48,57.83,23,27.71,12,14.46,41010
41,11,67,52,77.61,6,8.96,9,13.43,41011
41,12,82,62,75.61,14,17.07,6,7.32,41012
41,14,117,84,71.79,24,20.51,9,7.69,41014
41,15,45,34,75.56,8,17.78,3,6.67,41015
41,16,95,72,75.79,15,15.79,8,8.42,41016
41,17,89,55,61.8,28,31.46,6,6.74,41017
41,18,79,57,72.15,14,17.72,8,10.13,41018
41,19,104,82,78.85,20,19.23,2,1.92,41019
41,20,98,76,77.55,13,13.27,9,9.18,41020
41,21,70,46,65.71,17,24.29,7,10.0,41021
41,22,83,59,71.08,20,24.1,4,4.82,41022
41,23,78,53,67.95,17,21.79,8,10.26,41023
41,24,64,46,71.88,14,21.88,4,6.25,41024
41,30,79,60,75.95,14,17.72,5,6.33,41030
41,31,90,71,78.89,12,13.33,7,7.78,41031
41,34,63,44,69.84,14,22.22,5,7.94,41034
41,35,69,50,72.46,11,15.94,8,11.59,41035
41,36,80,51,63.75,23,28.75,6,7.5,41036
41,37,92,59,64.13,30,32.61,3,3.26,41037
41,39,87,58,66.67,22,25.29,7,8.05,41039
41,40,72,54,75.0,12,16.67,6,8.33,41040
41,41,79,48,60.76,20,25.32,11,13.92,41041
41,42,91,63,69.23,18,19.78,10,10.99,41042
41,43,67,54,80.6,10,14.93,3,4.48,41043
41,44,78,57,73.08,13,16.67,8,10.26,41044
41,45,67,51,76.12,11,16.42,5,7.46,41045
41,46,64,43,67.19,17,26.56,4,6.25,41046
41,47,96,62,64.58,28,29.17,6,6.25,41047
41,49,69,47,68.12,19,27.54,3,4.35,41049
41,50,84,65,77.38,12,14.29,7,8.33,41050
41,51,39,22,56.41,9,23.08,8,20.51,41051
41,52,101,64,63.37,32,31.68,5,4.95,41052
41,53,78,53,67.95,17,21.79,8,10.26,41053
41,54,84,51,60.71,27,32.14,6,7.14,41054
41,56,91,61,67.03,24,26.37,6,6.59,41056
41,57,80,59,73.75,18,22.5,3,3.75,41057
41,58,55,38,69.09,13,23.64,4,7.27,41058
41,59,72,45,62.5,19,26.39,8,11.11,41059
41,60,51,35,68.63,12,23.53,4,7.84,41060
41,61,120,80,66.67,32,26.67,8,6.67,41061
41,62,78,57,73.08,11,14.1,10,12.82,41062
41,63,62,46,74.19,9,14.52,7,11.29,41063
41,64,90,60,66.67,24,26.67,6,6.67,41064
41,65,63,47,74.6,7,11.11,9,14.29,41065
41,66,94,61,64.89,28,29.79,5,5.32,41066
44,1,101,78,77.23,19,18.81,4,3.96,44001
44,2,67,55,82.09,11,16.42,1,1.49,44002
44,3,91,75,82.42,15,16.48,1,1.1,44003
44,4,142,121,85.21,18,12.68,3,2.11,44004
44,5,77,62,80.52,14,18.18,1,1.3,44005
44,6,53,39,73.58,14,26.42,0,0.0,44006
44,7,102,84,82.35,16,15.69,2,1.96,44007
44,8,106,79,74.53,23,21.7,4,3.77,44008
44,10,120,87,72.5,29,24.17,4,3.33,44010
44,12,55,51,92.73,4,7.27,0,0.0,44012
44,15,72,50,69.44,21,29.17,1,1.39,44015
44,17,86,61,70.93,24,27.91,1,1.16,44017
44,18,27,14,51.85,11,40.74,2,7.41,44018
44,19,37,30,81.08,6,16.22,1,2.7,44019
44,21,61,42,68.85,19,31.15,0,0.0,44021
44,22,49,42,85.71,7,14.29,0,0.0,44022
44,23,58,41,70.69,17,29.31,0,0.0,44023
44,24,69,52,75.36,15,21.74,2,2.9,44024
44,26,67,41,61.19,24,35.82,2,2.99,44026
44,28,58,39,67.24,18,31.03,1,1.72,44028
44,30,65,33,50.77,31,47.69,1,1.54,44030
44,31,82,58,70.73,20,24.39,4,4.88,44031
44,32,37,30,81.08,6,16.22,1,2.7,44032
44,33,96,73,76.04,23,23.96,0,0.0,44033
44,34,60,44,73.33,12,20.0,4,6.67,44034
44,35,74,57,77.03,15,20.27,2,2.7,44035
44,36,66,55,83.33,10,15.15,1,1.52,44036
44,37,110,86,78.18,22,20.0,2,1.82,44037
44,41,87,62,71.26,16,18.39,9,10.34,44041
44,42,88,67,76.14,16,18.18,5,5.68,44042
44,44,119,95,79.83,19,15.97,5,4.2,44044
44,45,80,62,77.5,17,21.25,1,1.25,44045
44,46,49,38,77.55,11,22.45,0,0.0,44046
44,48,61,42,68.85,17,27.87,2,3.28,44048
44,49,68,50,73.53,12,17.65,6,8.82,44049
45,1,73,62,84.93,4,5.48,7,9.59,45001
45,2,95,77,81.05,13,13.68,5,5.26,45002
45,3,219,196,89.5,17,7.76,6,2.74,45003
45,4,104,69,66.35,32,30.77,3,2.88,45004
45,5,65,46,70.77,13,20.0,6,9.23,45005
45,6,109,85,77.98,17,15.6,7,6.42,45006
45,9,129,109,84.5,11,8.53,9,6.98,45009
45,11,99,85,85.86,8,8.08,6,6.06,45011
45,13,185,155,83.78,21,11.35,9,4.86,45013
45,15,168,139,82.74,21,12.5,8,4.76,45015
45,17,122,93,76.23,23,18.85,6,4.92,45017
45,19,209,163,77.99,33,15.79,13,6.22,45019
45,21,128,108,84.38,13,10.16,7,5.47,45021
45,22,100,72,72.0,21,21.0,7,7.0,45022
45,23,84,70,83.33,9,10.71,5,5.95,45023
45,27,118,98,83.05,16,13.56,4,3.39,45027
45,30,118,94,79.66,17,14.41,7,5.93,45030
45,32,96,79,82.29,14,14.58,3,3.13,45032
45,33,134,95,70.9,27,20.15,12,8.96,45033
45,34,107,86,80.37,15,14.02,6,5.61,45034
45,36,120,85,70.83,29,24.17,6,5.0,45036
45,44,119,97,81.51,14,11.76,8,6.72,45044
45,49,109,85,77.98,16,14.68,8,7.34,45049
45,51,134,108,80.6,19,14.18,7,5.22,45051
45,52,94,71,75.53,16,17.02,7,7.45,45052
45,54,115,78,67.83,29,25.22,8,6.96,45054
45,57,134,104,77.61,20,14.93,10,7.46,45057
45,58,59,41,69.49,18,30.51,0,0.0,45058
46,1,172,129,75.0,35,20.35,8,4.65,46001
46,2,75,54,72.0,17,22.67,4,5.33,46002
46,3,103,78,75.73,22,21.36,3,2.91,46003
46,4,74,52,70.27,15,20.27,7,9.46,46004
46,5,53,38,71.7,15,28.3,0,0.0,46005
46,6,67,55,82.09,7,10.45,5,7.46,46006
46,7,116,93,80.17,22,18.97,1,0.86,46007
46,8,73,62,84.93,8,10.96,3,4.11,46008
46,9,91,72,79.12,15,16.48,4,4.4,46009
46,10,83,62,74.7,20,24.1,1,1.2,46010
46,11,104,85,81.73,16,15.38,3,2.88,46011
46,12,109,72,66.06,29,26.61,8,7.34,46012
46,13,93,55,59.14,32,34.41,6,6.45,46013
46,14,70,48,68.57,21,30.0,1,1.43,46014
46,15,114,90,78.95,21,18.42,3,2.63,46015
46,16,156,105,67.31,41,26.28,10,6.41,46016
46,17,125,96,76.8,23,18.4,6,4.8,46017
46,18,96,61,63.54,27,28.13,8,8.33,46018
46,19,129,94,72.87,27,20.93,8,6.2,46019
46,20,79,62,78.48,15,18.99,2,2.53,46020
46,21,27,22,81.48,4,14.81,1,3.7,46021
46,22,71,39,54.93,26,36.62,6,8.45,46022
46,23,76,71,93.42,5,6.58,0,0.0,46023
46,24,76,53,69.74,22,28.95,1,1.32,46024
46,25,73,55,75.34,11,15.07,7,9.59,46025
