ward,precinct,total,ARTHUR L. TURNER,ARTHUR L. TURNER Percent,CHARLIE ALLEN,CHARLIE ALLEN Percent,precinct_id
1,1,127,48,37.8,79,62.2,01001
1,6,91,39,42.86,52,57.14,01006
1,11,118,44,37.29,74,62.71,01011
1,16,130,68,52.31,62,47.69,01016
1,24,24,11,45.83,13,54.17,01024
1,28,4,3,75.0,1,25.0,01028
1,34,17,10,58.82,7,41.18,01034
1,35,29,19,65.52,10,34.48,01035
2,15,40,31,77.5,9,22.5,02015
2,17,128,89,69.53,39,30.47,02017
2,19,70,50,71.43,20,28.57,02019
2,23,104,68,65.38,36,34.62,02023
2,27,31,19,61.29,12,38.71,02027
2,34,151,113,74.83,38,25.17,02034
2,39,122,91,74.59,31,25.41,02039
2,50,78,43,55.13,35,44.87,02050
2,51,120,71,59.17,49,40.83,02051
2,53,70,45,64.29,25,35.71,02053
12,19,54,54,100.0,0,0.0,12019
22,7,154,124,80.52,30,19.48,22007
22,8,184,156,84.78,28,15.22,22008
22,12,127,99,77.95,28,22.05,22012
22,19,116,94,81.03,22,18.97,22019
22,20,119,96,80.67,23,19.33,22020
22,21,210,170,80.95,40,19.05,22021
22,28,178,150,84.27,28,15.73,22028
24,1,148,73,49.32,75,50.68,24001
24,2,131,81,61.83,50,38.17,24002
24,3,118,66,55.93,52,44.07,24003
24,5,130,75,57.69,55,42.31,24005
24,6,180,98,54.44,82,45.56,24006
24,8,154,81,52.6,73,47.4,24008
24,9,164,107,65.24,57,34.76,24009
24,10,145,74,51.03,71,48.97,24010
24,11,87,49,56.32,38,43.68,24011
24,12,103,78,75.73,25,24.27,24012
24,13,112,75,66.96,37,33.04,24013
24,14,153,68,44.44,85,55.56,24014
24,15,127,101,79.53,26,20.47,24015
24,21,101,72,71.29,29,28.71,24021
24,22,161,83,51.55,78,48.45,24022
24,23,117,67,57.26,50,42.74,24023
24,24,92,76,82.61,16,17.39,24024
24,25,124,67,54.03,57,45.97,24025
24,26,146,115,78.77,31,21.23,24026
24,27,87,45,51.72,42,48.28,24027
24,28,141,68,48.23,73,51.77,24028
24,30,132,104,78.79,28,21.21,24030
24,31,128,93,72.66,35,27.34,24031
24,34,120,78,65.0,42,35.0,24034
24,35,157,90,57.32,67,42.68,24035
24,36,139,71,51.08,68,48.92,24036
24,37,165,117,70.91,48,29.09,24037
24,38,146,95,65.07,51,34.93,24038
24,40,243,207,85.19,36,14.81,24040
24,43,128,86,67.19,42,32.81,24043
24,44,55,44,80.0,11,20.0,24044
24,45,148,101,68.24,47,31.76,24045
24,47,127,82,64.57,45,35.43,24047
24,49,124,74,59.68,50,40.32,24049
24,51,179,98,54.75,81,45.25,24051
25,4,127,89,70.08,38,29.92,25004
26,6,10,5,50.0,5,50.0,26006
26,31,36,19,52.78,17,47.22,26031
27,8,69,66,95.65,3,4.35,27008
27,11,78,56,71.79,22,28.21,27011
27,18,5,4,80.0,1,20.0,27018
27,23,35,30,85.71,5,14.29,27023
27,26,204,133,65.2,71,34.8,27026
27,27,72,52,72.22,20,27.78,27027
27,30,61,41,67.21,20,32.79,27030
27,32,70,38,54.29,32,45.71,27032
27,35,12,3,25.0,9,75.0,27035
27,36,132,86,65.15,46,34.85,27036
27,41,51,42,82.35,9,17.65,27041
27,49,79,49,62.03,30,37.97,27049
28,2,69,48,69.57,21,30.43,28002
28,3,126,80,63.49,46,36.51,28003
28,5,115,77,66.96,38,33.04,28005
28,10,131,107,81.68,24,18.32,28010
28,14,38,18,47.37,20,52.63,28014
28,15,57,46,80.7,11,19.3,28015
28,17,72,43,59.72,29,40.28,28017
28,20,121,84,69.42,37,30.58,28020
28,29,126,88,69.84,38,30.16,28029
28,32,105,76,72.38,29,27.62,28032
28,34,108,59,54.63,49,45.37,28034
28,35,82,45,54.88,37,45.12,28035
28,36,96,56,58.33,40,41.67,28036
28,39,83,68,81.93,15,18.07,28039
28,48,22,13,59.09,9,40.91,28048
28,49,78,59,75.64,19,24.36,28049
28,50,53,34,64.15,19,35.85,28050
28,52,97,69,71.13,28,28.87,28052
28,53,39,25,64.1,14,35.9,28053
28,54,70,44,62.86,26,37.14,28054
32,1,99,59,59.6,40,40.4,32001
32,6,91,53,58.24,38,41.76,32006
32,12,64,38,59.38,26,40.63,32012
32,17,70,47,67.14,23,32.86,32017
32,26,102,65,63.73,37,36.27,32026
