ward,precinct,total,LESLIE A. HAIRSTON,LESLIE A. HAIRSTON Percent,precinct_id
5,1,163,163,100.0,05001
5,2,139,139,100.0,05002
5,3,179,179,100.0,05003
5,4,222,222,100.0,05004
5,5,127,127,100.0,05005
5,6,190,190,100.0,05006
5,7,156,156,100.0,05007
5,8,203,203,100.0,05008
5,9,152,152,100.0,05009
5,10,97,97,100.0,05010
5,11,58,58,100.0,05011
5,12,172,172,100.0,05012
5,13,163,163,100.0,05013
5,14,144,144,100.0,05014
5,15,106,106,100.0,05015
5,16,104,104,100.0,05016
5,17,108,108,100.0,05017
5,18,108,108,100.0,05018
5,19,108,108,100.0,05019
5,20,100,100,100.0,05020
5,21,209,209,100.0,05021
5,22,163,163,100.0,05022
5,23,127,127,100.0,05023
5,24,168,168,100.0,05024
5,25,108,108,100.0,05025
5,26,97,97,100.0,05026
5,27,51,51,100.0,05027
5,28,214,214,100.0,05028
5,29,121,121,100.0,05029
5,30,150,150,100.0,05030
5,31,111,111,100.0,05031
5,32,232,232,100.0,05032
5,33,152,152,100.0,05033
5,34,107,107,100.0,05034
5,35,97,97,100.0,05035
5,36,167,167,100.0,05036
5,37,112,112,100.0,05037
5,38,205,205,100.0,05038
5,39,161,161,100.0,05039
5,40,114,114,100.0,05040
5,41,130,130,100.0,05041
5,42,168,168,100.0,05042
5,43,168,168,100.0,05043
5,44,142,142,100.0,05044
5,45,101,101,100.0,05045
5,46,176,176,100.0,05046
5,47,105,105,100.0,05047
5,48,149,149,100.0,05048
5,49,170,170,100.0,05049
5,50,106,106,100.0,05050
5,51,107,107,100.0,05051
5,52,102,102,100.0,05052
5,53,117,117,100.0,05053
5,54,94,94,100.0,05054
5,55,155,155,100.0,05055
5,56,94,94,100.0,05056
5,57,161,161,100.0,05057
5,58,97,97,100.0,05058
5,59,87,87,100.0,05059
