ward,precinct,total,"HOWARD B. BROOKINS,JR. (BRADLEY)","HOWARD B. BROOKINS,JR. (BRADLEY) Percent",ALICE J. PALMER (BRADLEY),ALICE J. PALMER (BRADLEY) Percent,CHRISTOPHER A. BULLOCK (BRADLEY),CHRISTOPHER A. BULLOCK (BRADLEY) Percent,RHONDALYN MOORE (BRADLEY),RHONDALYN MOORE (BRADLEY) Percent,THADDEUS M. JONES (BRADLEY),THADDEUS M. JONES (BRADLEY) Percent,DEBRA L. HARRIS (BRADLEY),DEBRA L. HARRIS (BRADLEY) Percent,"CHARLES S. BLACK, JR. (BRADLEY)","CHARLES S. BLACK, JR. (BRADLEY) Percent",MILLICENT FOEMAN (BRADLEY),MILLICENT FOEMAN (BRADLEY) Percent,WILLIAM M. BEAVERS (GORE),WILLIAM M. BEAVERS (GORE) Percent,BERTHA M. SCOTT (GORE),BERTHA M. SCOTT (GORE) Percent,ALBERT BLANCHARD (GORE),ALBERT BLANCHARD (GORE) Percent,DEBORAH SIMS (GORE),DEBORAH SIMS (GORE) Percent,J.C. SMITH (GORE),J.C. SMITH (GORE) Percent,CAROLYN A. BALL (GORE),CAROLYN A. BALL (GORE) Percent,KEVIN J. CONLON (GORE),KEVIN J. CONLON (GORE) Percent,MARIA GONZALEZ (GORE),MARIA GONZALEZ (GORE) Percent,CHRIS PROVANCAL (LaROUCHE),CHRIS PROVANCAL (LaROUCHE) Percent,LUCRETIA SUANKS (LaROUCHE),LUCRETIA SUANKS (LaROUCHE) Percent,ERNEST WASHINGTON (LaROUCHE),ERNEST WASHINGTON (LaROUCHE) Percent,precinct_id
6,18,358,25,6.98,18,5.03,14,3.91,12,3.35,12,3.35,13,3.63,12,3.35,6,1.68,37,10.34,30,8.38,28,7.82,35,9.78,27,7.54,27,7.54,25,6.98,28,7.82,1,0.28,1,0.28,7,1.96,06018
7,2,966,49,5.07,52,5.38,15,1.55,24,2.48,24,2.48,29,3.0,18,1.86,15,1.55,130,13.46,83,8.59,83,8.59,85,8.8,78,8.07,83,8.59,73,7.56,78,8.07,10,1.04,10,1.04,27,2.8,07002
7,3,816,34,4.17,38,4.66,18,2.21,26,3.19,19,2.33,22,2.7,17,2.08,11,1.35,100,12.25,67,8.21,72,8.82,78,9.56,68,8.33,74,9.07,68,8.33,69,8.46,5,0.61,7,0.86,23,2.82,07003
7,4,814,34,4.18,35,4.3,20,2.46,25,3.07,20,2.46,21,2.58,24,2.95,16,1.97,92,11.3,66,8.11,67,8.23,76,9.34,66,8.11,69,8.48,62,7.62,80,9.83,10,1.23,9,1.11,22,2.7,07004
7,5,642,18,2.8,23,3.58,6,0.93,10,1.56,10,1.56,12,1.87,12,1.87,8,1.25,82,12.77,63,9.81,55,8.57,64,9.97,60,9.35,60,9.35,51,7.94,71,11.06,10,1.56,10,1.56,17,2.65,07005
7,6,834,27,3.24,30,3.6,9,1.08,29,3.48,16,1.92,24,2.88,15,1.8,10,1.2,115,13.79,76,9.11,65,7.79,83,9.95,72,8.63,77,9.23,67,8.03,75,8.99,14,1.68,9,1.08,21,2.52,07006
7,7,728,26,3.57,34,4.67,10,1.37,18,2.47,15,2.06,21,2.88,15,2.06,14,1.92,87,11.95,68,9.34,58,7.97,67,9.2,67,9.2,73,10.03,59,8.1,64,8.79,8,1.1,7,0.96,17,2.34,07007
7,8,646,27,4.18,19,2.94,16,2.48,18,2.79,13,2.01,16,2.48,13,2.01,10,1.55,83,12.85,52,8.05,54,8.36,60,9.29,48,7.43,59,9.13,53,8.2,66,10.22,14,2.17,5,0.77,20,3.1,07008
7,10,1035,47,4.54,49,4.73,23,2.22,25,2.42,32,3.09,37,3.57,25,2.42,27,2.61,123,11.88,92,8.89,83,8.02,97,9.37,86,8.31,92,8.89,69,6.67,79,7.63,7,0.68,9,0.87,33,3.19,07010
7,11,1102,67,6.08,59,5.35,20,1.81,22,2.0,26,2.36,31,2.81,25,2.27,19,1.72,133,12.07,100,9.07,88,7.99,116,10.53,84,7.62,101,9.17,80,7.26,85,7.71,8,0.73,4,0.36,34,3.09,07011
