ward,precinct,total,JAMES D. BROSNAHAN,JAMES D. BROSNAHAN Percent,precinct_id
19,9,173,173,100.0,19009
19,15,110,110,100.0,19015
19,39,71,71,100.0,19039
19,47,24,24,100.0,19047
