ward,precinct,total,JOHN A. POPE,JOHN A. POPE Percent,PETER C. SANDOVAL,PETER C. SANDOVAL Percent,precinct_id
10,1,156,90,57.69,66,42.31,10001
10,2,148,124,83.78,24,16.22,10002
10,3,232,208,89.66,24,10.34,10003
10,4,220,109,49.55,111,50.45,10004
10,5,170,138,81.18,32,18.82,10005
10,6,199,150,75.38,49,24.62,10006
10,7,70,53,75.71,17,24.29,10007
10,8,213,189,88.73,24,11.27,10008
10,9,185,165,89.19,20,10.81,10009
10,10,149,118,79.19,31,20.81,10010
10,11,207,153,73.91,54,26.09,10011
10,12,177,130,73.45,47,26.55,10012
10,13,272,183,67.28,89,32.72,10013
10,14,42,35,83.33,7,16.67,10014
10,15,104,88,84.62,16,15.38,10015
10,16,206,192,93.2,14,6.8,10016
10,17,196,187,95.41,9,4.59,10017
10,18,167,77,46.11,90,53.89,10018
10,19,285,194,68.07,91,31.93,10019
10,20,353,260,73.65,93,26.35,10020
10,21,148,129,87.16,19,12.84,10021
10,22,75,63,84.0,12,16.0,10022
10,23,217,150,69.12,67,30.88,10023
10,24,196,182,92.86,14,7.14,10024
10,25,239,131,54.81,108,45.19,10025
10,26,130,82,63.08,48,36.92,10026
10,27,239,182,76.15,57,23.85,10027
10,28,167,132,79.04,35,20.96,10028
10,29,177,137,77.4,40,22.6,10029
10,30,239,139,58.16,100,41.84,10030
10,31,222,158,71.17,64,28.83,10031
10,32,220,158,71.82,62,28.18,10032
10,33,189,133,70.37,56,29.63,10033
10,34,164,119,72.56,45,27.44,10034
10,35,190,130,68.42,60,31.58,10035
10,36,228,109,47.81,119,52.19,10036
10,37,181,80,44.2,101,55.8,10037
10,38,272,201,73.9,71,26.1,10038
10,39,216,148,68.52,68,31.48,10039
10,40,190,103,54.21,87,45.79,10040
10,41,286,208,72.73,78,27.27,10041
10,42,189,158,83.6,31,16.4,10042
10,43,194,155,79.9,39,20.1,10043
10,44,213,133,62.44,80,37.56,10044
10,45,246,151,61.38,95,38.62,10045
10,46,166,106,63.86,60,36.14,10046
