ward,precinct,total,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,R. BENEDICT MAYERS,R. BENEDICT MAYERS Percent,precinct_id
13,1,154,140,90.91,14,9.09,13001
13,2,151,136,90.07,15,9.93,13002
13,3,297,288,96.97,9,3.03,13003
13,4,234,198,84.62,36,15.38,13004
13,5,176,164,93.18,12,6.82,13005
13,6,154,144,93.51,10,6.49,13006
13,7,279,273,97.85,6,2.15,13007
13,8,209,191,91.39,18,8.61,13008
13,9,240,229,95.42,11,4.58,13009
13,10,198,186,93.94,12,6.06,13010
13,11,127,120,94.49,7,5.51,13011
13,12,257,245,95.33,12,4.67,13012
13,13,300,288,96.0,12,4.0,13013
13,14,165,155,93.94,10,6.06,13014
13,15,276,261,94.57,15,5.43,13015
13,16,197,190,96.45,7,3.55,13016
13,17,136,128,94.12,8,5.88,13017
13,18,156,140,89.74,16,10.26,13018
13,19,168,152,90.48,16,9.52,13019
13,20,186,171,91.94,15,8.06,13020
13,21,201,187,93.03,14,6.97,13021
13,22,304,298,98.03,6,1.97,13022
13,23,238,231,97.06,7,2.94,13023
13,24,250,236,94.4,14,5.6,13024
13,25,164,146,89.02,18,10.98,13025
13,26,158,150,94.94,8,5.06,13026
13,27,203,191,94.09,12,5.91,13027
13,28,156,150,96.15,6,3.85,13028
13,29,206,193,93.69,13,6.31,13029
13,30,182,175,96.15,7,3.85,13030
13,31,184,171,92.93,13,7.07,13031
13,32,115,101,87.83,14,12.17,13032
13,33,186,167,89.78,19,10.22,13033
13,34,228,224,98.25,4,1.75,13034
13,35,262,243,92.75,19,7.25,13035
13,36,135,122,90.37,13,9.63,13036
13,37,139,134,96.4,5,3.6,13037
13,38,120,113,94.17,7,5.83,13038
13,39,180,171,95.0,9,5.0,13039
13,40,163,153,93.87,10,6.13,13040
13,41,149,140,93.96,9,6.04,13041
13,42,335,321,95.82,14,4.18,13042
13,43,218,206,94.5,12,5.5,13043
13,44,105,93,88.57,12,11.43,13044
13,45,95,81,85.26,14,14.74,13045
13,46,227,212,93.39,15,6.61,13046
13,47,179,169,94.41,10,5.59,13047
13,48,166,147,88.55,19,11.45,13048
13,49,99,95,95.96,4,4.04,13049
13,50,299,288,96.32,11,3.68,13050
13,51,199,191,95.98,8,4.02,13051
13,52,257,248,96.5,9,3.5,13052
13,53,229,209,91.27,20,8.73,13053
13,54,280,267,95.36,13,4.64,13054
13,55,225,213,94.67,12,5.33,13055
13,56,323,301,93.19,22,6.81,13056
13,57,219,195,89.04,24,10.96,13057
13,58,337,323,95.85,14,4.15,13058
13,59,159,150,94.34,9,5.66,13059
13,60,330,325,98.48,5,1.52,13060
13,61,307,292,95.11,15,4.89,13061
13,62,266,258,96.99,8,3.01,13062
13,63,248,230,92.74,18,7.26,13063
14,1,83,78,93.98,5,6.02,14001
14,2,118,103,87.29,15,12.71,14002
14,3,180,165,91.67,15,8.33,14003
14,4,98,90,91.84,8,8.16,14004
14,9,140,135,96.43,5,3.57,14009
14,11,139,123,88.49,16,11.51,14011
14,13,110,105,95.45,5,4.55,14013
14,16,128,123,96.09,5,3.91,14016
14,27,220,198,90.0,22,10.0,14027
14,28,113,100,88.5,13,11.5,14028
14,34,136,122,89.71,14,10.29,14034
14,35,67,63,94.03,4,5.97,14035
14,39,128,121,94.53,7,5.47,14039
14,40,116,102,87.93,14,12.07,14040
14,43,160,143,89.38,17,10.63,14043
14,44,141,124,87.94,17,12.06,14044
14,45,118,102,86.44,16,13.56,14045
14,47,262,259,98.85,3,1.15,14047
15,12,123,108,87.8,15,12.2,15012
15,45,132,105,79.55,27,20.45,15045
18,1,139,127,91.37,12,8.63,18001
18,2,159,138,86.79,21,13.21,18002
18,7,100,84,84.0,16,16.0,18007
18,10,240,191,79.58,49,20.42,18010
18,11,130,112,86.15,18,13.85,18011
18,13,197,170,86.29,27,13.71,18013
18,17,194,178,91.75,16,8.25,18017
18,21,189,167,88.36,22,11.64,18021
18,23,132,108,81.82,24,18.18,18023
18,29,108,89,82.41,19,17.59,18029
18,31,97,78,80.41,19,19.59,18031
18,36,103,91,88.35,12,11.65,18036
18,49,107,90,84.11,17,15.89,18049
22,1,63,48,76.19,15,23.81,22001
22,15,144,108,75.0,36,25.0,22015
22,22,56,39,69.64,17,30.36,22022
23,1,191,167,87.43,24,12.57,23001
23,2,266,235,88.35,31,11.65,23002
23,3,192,168,87.5,24,12.5,23003
23,4,165,143,86.67,22,13.33,23004
23,5,145,134,92.41,11,7.59,23005
23,6,206,195,94.66,11,5.34,23006
23,7,91,85,93.41,6,6.59,23007
23,8,169,156,92.31,13,7.69,23008
23,9,89,77,86.52,12,13.48,23009
23,10,335,320,95.52,15,4.48,23010
23,11,207,186,89.86,21,10.14,23011
23,12,121,108,89.26,13,10.74,23012
23,13,280,259,92.5,21,7.5,23013
23,14,179,160,89.39,19,10.61,23014
23,15,188,162,86.17,26,13.83,23015
23,16,197,176,89.34,21,10.66,23016
23,17,222,197,88.74,25,11.26,23017
23,18,166,148,89.16,18,10.84,23018
23,19,225,214,95.11,11,4.89,23019
23,20,194,174,89.69,20,10.31,23020
23,21,151,137,90.73,14,9.27,23021
23,22,115,101,87.83,14,12.17,23022
23,23,127,111,87.4,16,12.6,23023
