ward,precinct,total,RICHARD T. BRADLEY,RICHARD T. BRADLEY Percent,CHESTER R. HORNOWSKI,CHESTER R. HORNOWSKI Percent,precinct_id
30,1,178,140,78.65,38,21.35,30001
30,2,107,74,69.16,33,30.84,30002
30,3,138,92,66.67,46,33.33,30003
30,4,183,131,71.58,52,28.42,30004
30,6,123,94,76.42,29,23.58,30006
30,7,117,85,72.65,32,27.35,30007
30,8,119,80,67.23,39,32.77,30008
30,12,113,73,64.6,40,35.4,30012
30,13,75,58,77.33,17,22.67,30013
30,14,92,67,72.83,25,27.17,30014
30,15,145,89,61.38,56,38.62,30015
30,16,77,42,54.55,35,45.45,30016
30,22,131,88,67.18,43,32.82,30022
30,23,54,43,79.63,11,20.37,30023
30,24,50,33,66.0,17,34.0,30024
30,25,118,74,62.71,44,37.29,30025
30,28,98,64,65.31,34,34.69,30028
30,29,135,94,69.63,41,30.37,30029
30,30,105,84,80.0,21,20.0,30030
30,32,114,77,67.54,37,32.46,30032
30,36,75,42,56.0,33,44.0,30036
30,38,122,92,75.41,30,24.59,30038
30,39,119,92,77.31,27,22.69,30039
30,40,91,57,62.64,34,37.36,30040
30,44,150,90,60.0,60,40.0,30044
31,5,52,35,67.31,17,32.69,31005
31,6,23,14,60.87,9,39.13,31006
31,18,21,18,85.71,3,14.29,31018
31,30,46,29,63.04,17,36.96,31030
31,31,110,71,64.55,39,35.45,31031
31,32,62,52,83.87,10,16.13,31032
31,33,33,23,69.7,10,30.3,31033
33,5,82,51,62.2,31,37.8,33005
33,10,163,125,76.69,38,23.31,33010
33,12,157,119,75.8,38,24.2,33012
33,15,26,20,76.92,6,23.08,33015
33,16,144,84,58.33,60,41.67,33016
33,17,136,108,79.41,28,20.59,33017
33,19,105,77,73.33,28,26.67,33019
33,29,163,128,78.53,35,21.47,33029
33,30,128,92,71.88,36,28.13,33030
33,31,107,92,85.98,15,14.02,33031
33,34,122,103,84.43,19,15.57,33034
33,37,92,71,77.17,21,22.83,33037
35,4,55,31,56.36,24,43.64,35004
35,6,136,96,70.59,40,29.41,35006
35,8,37,25,67.57,12,32.43,35008
35,11,91,56,61.54,35,38.46,35011
38,4,51,37,72.55,14,27.45,38004
38,5,148,106,71.62,42,28.38,38005
38,9,101,70,69.31,31,30.69,38009
38,13,86,66,76.74,20,23.26,38013
38,20,100,80,80.0,20,20.0,38020
38,24,72,55,76.39,17,23.61,38024
38,25,147,107,72.79,40,27.21,38025
38,31,121,78,64.46,43,35.54,38031
38,34,95,70,73.68,25,26.32,38034
38,39,110,83,75.45,27,24.55,38039
39,13,40,35,87.5,5,12.5,39013
39,19,93,71,76.34,22,23.66,39019
39,21,83,59,71.08,24,28.92,39021
39,24,53,42,79.25,11,20.75,39024
39,25,36,30,83.33,6,16.67,39025
39,29,44,27,61.36,17,38.64,39029
39,30,83,67,80.72,16,19.28,39030
39,31,53,35,66.04,18,33.96,39031
39,46,80,54,67.5,26,32.5,39046
45,7,96,62,64.58,34,35.42,45007
45,10,201,166,82.59,35,17.41,45010
45,12,149,117,78.52,32,21.48,45012
45,14,142,92,64.79,50,35.21,45014
45,16,206,165,80.1,41,19.9,45016
45,18,150,110,73.33,40,26.67,45018
45,25,159,112,70.44,47,29.56,45025
45,26,174,133,76.44,41,23.56,45026
45,28,241,196,81.33,45,18.67,45028
45,31,124,91,73.39,33,26.61,45031
45,40,209,164,78.47,45,21.53,45040
45,48,101,72,71.29,29,28.71,45048
45,56,102,64,62.75,38,37.25,45056
