ward,precinct,total,SARA FEIGENHOLTZ,SARA FEIGENHOLTZ Percent,precinct_id
32,7,33,33,100.0,32007
32,8,61,61,100.0,32008
32,18,60,60,100.0,32018
32,23,69,69,100.0,32023
32,32,68,68,100.0,32032
32,39,75,75,100.0,32039
32,48,60,60,100.0,32048
43,2,30,30,100.0,43002
43,6,52,52,100.0,43006
43,22,34,34,100.0,43022
43,39,30,30,100.0,43039
43,45,32,32,100.0,43045
43,48,33,33,100.0,43048
43,50,42,42,100.0,43050
43,54,19,19,100.0,43054
43,60,60,60,100.0,43060
44,1,121,121,100.0,44001
44,2,68,68,100.0,44002
44,3,117,117,100.0,44003
44,4,167,167,100.0,44004
44,5,75,75,100.0,44005
44,6,59,59,100.0,44006
44,7,114,114,100.0,44007
44,8,115,115,100.0,44008
44,9,97,97,100.0,44009
44,10,132,132,100.0,44010
44,11,79,79,100.0,44011
44,12,66,66,100.0,44012
44,14,89,89,100.0,44014
44,15,76,76,100.0,44015
44,17,89,89,100.0,44017
44,19,51,51,100.0,44019
44,20,75,75,100.0,44020
44,21,70,70,100.0,44021
44,22,64,64,100.0,44022
44,23,66,66,100.0,44023
44,24,65,65,100.0,44024
44,26,70,70,100.0,44026
44,27,84,84,100.0,44027
44,28,60,60,100.0,44028
44,29,53,53,100.0,44029
44,30,67,67,100.0,44030
44,31,85,85,100.0,44031
44,32,44,44,100.0,44032
44,33,104,104,100.0,44033
44,34,65,65,100.0,44034
44,35,91,91,100.0,44035
44,36,70,70,100.0,44036
44,37,125,125,100.0,44037
44,38,79,79,100.0,44038
44,39,67,67,100.0,44039
44,40,75,75,100.0,44040
44,41,97,97,100.0,44041
44,42,81,81,100.0,44042
44,44,121,121,100.0,44044
44,45,79,79,100.0,44045
44,46,52,52,100.0,44046
44,48,67,67,100.0,44048
44,49,73,73,100.0,44049
46,1,223,223,100.0,46001
46,3,96,96,100.0,46003
46,5,60,60,100.0,46005
46,7,127,127,100.0,46007
46,9,94,94,100.0,46009
46,10,86,86,100.0,46010
46,11,113,113,100.0,46011
46,13,99,99,100.0,46013
46,15,123,123,100.0,46015
46,17,138,138,100.0,46017
46,18,121,121,100.0,46018
46,20,62,62,100.0,46020
46,23,70,70,100.0,46023
46,24,75,75,100.0,46024
46,25,93,93,100.0,46025
46,26,102,102,100.0,46026
46,28,122,122,100.0,46028
46,29,128,128,100.0,46029
46,30,117,117,100.0,46030
46,31,115,115,100.0,46031
46,33,89,89,100.0,46033
46,34,89,89,100.0,46034
46,36,135,135,100.0,46036
46,37,98,98,100.0,46037
46,39,87,87,100.0,46039
