ward,precinct,total,MATTHEW E. COGHLAN,MATTHEW E. COGHLAN Percent,THOMAS MORE DONNELLY,THOMAS MORE DONNELLY Percent,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,BEVERLY SUSLER PARKHURST,BEVERLY SUSLER PARKHURST Percent,precinct_id
3,3,37,7,18.92,13,35.14,7,18.92,10,27.03,03003
3,4,58,18,31.03,19,32.76,14,24.14,7,12.07,03004
3,5,45,7,15.56,15,33.33,16,35.56,7,15.56,03005
3,6,34,7,20.59,13,38.24,10,29.41,4,11.76,03006
3,7,15,4,26.67,6,40.0,4,26.67,1,6.67,03007
3,8,58,12,20.69,21,36.21,20,34.48,5,8.62,03008
3,9,75,21,28.0,18,24.0,24,32.0,12,16.0,03009
3,10,124,45,36.29,34,27.42,33,26.61,12,9.68,03010
3,11,59,28,47.46,11,18.64,14,23.73,6,10.17,03011
3,12,88,29,32.95,29,32.95,25,28.41,5,5.68,03012
3,13,23,7,30.43,11,47.83,3,13.04,2,8.7,03013
3,14,52,13,25.0,13,25.0,14,26.92,12,23.08,03014
3,15,70,23,32.86,17,24.29,18,25.71,12,17.14,03015
3,16,150,71,47.33,26,17.33,31,20.67,22,14.67,03016
3,17,81,32,39.51,26,32.1,17,20.99,6,7.41,03017
3,18,77,32,41.56,22,28.57,18,23.38,5,6.49,03018
3,19,44,11,25.0,18,40.91,10,22.73,5,11.36,03019
3,20,36,12,33.33,15,41.67,6,16.67,3,8.33,03020
3,21,61,28,45.9,15,24.59,13,21.31,5,8.2,03021
3,22,80,24,30.0,23,28.75,22,27.5,11,13.75,03022
3,23,25,4,16.0,9,36.0,12,48.0,0,0.0,03023
3,24,108,40,37.04,28,25.93,31,28.7,9,8.33,03024
3,25,22,6,27.27,6,27.27,7,31.82,3,13.64,03025
3,26,70,21,30.0,17,24.29,25,35.71,7,10.0,03026
3,27,19,5,26.32,11,57.89,2,10.53,1,5.26,03027
