ward,precinct,total,FRANCIS JOSEPH DOLAN,FRANCIS JOSEPH DOLAN Percent,EILEEN MARIE GEARY,EILEEN MARIE GEARY Percent,BONNIE CAROL MCGRATH,BONNIE CAROL MCGRATH Percent,JANICE L. BERMAN,JANICE L. BERMAN Percent,precinct_id
1,1,74,28,37.84,14,18.92,24,32.43,8,10.81,01001
1,2,112,39,34.82,25,22.32,30,26.79,18,16.07,01002
1,3,62,20,32.26,13,20.97,16,25.81,13,20.97,01003
1,4,92,17,18.48,23,25.0,31,33.7,21,22.83,01004
1,5,82,15,18.29,20,24.39,31,37.8,16,19.51,01005
1,6,63,18,28.57,9,14.29,22,34.92,14,22.22,01006
1,7,115,30,26.09,38,33.04,29,25.22,18,15.65,01007
1,8,70,25,35.71,12,17.14,18,25.71,15,21.43,01008
1,9,121,47,38.84,25,20.66,27,22.31,22,18.18,01009
1,10,114,35,30.7,32,28.07,26,22.81,21,18.42,01010
1,11,62,21,33.87,15,24.19,17,27.42,9,14.52,01011
1,12,169,42,24.85,47,27.81,45,26.63,35,20.71,01012
1,13,71,22,30.99,14,19.72,16,22.54,19,26.76,01013
1,14,78,21,26.92,13,16.67,28,35.9,16,20.51,01014
1,15,94,28,29.79,27,28.72,23,24.47,16,17.02,01015
1,16,80,32,40.0,14,17.5,19,23.75,15,18.75,01016
1,17,94,32,34.04,19,20.21,29,30.85,14,14.89,01017
1,18,108,27,25.0,25,23.15,33,30.56,23,21.3,01018
1,19,89,29,32.58,16,17.98,22,24.72,22,24.72,01019
1,20,71,18,25.35,12,16.9,21,29.58,20,28.17,01020
1,21,123,37,30.08,27,21.95,36,29.27,23,18.7,01021
1,22,53,16,30.19,8,15.09,8,15.09,21,39.62,01022
1,23,174,48,27.59,44,25.29,53,30.46,29,16.67,01023
1,24,93,34,36.56,15,16.13,25,26.88,19,20.43,01024
1,25,118,26,22.03,31,26.27,35,29.66,26,22.03,01025
1,26,169,45,26.63,44,26.04,48,28.4,32,18.93,01026
1,27,79,28,35.44,15,18.99,22,27.85,14,17.72,01027
1,28,19,5,26.32,8,42.11,4,21.05,2,10.53,01028
1,29,151,37,24.5,32,21.19,54,35.76,28,18.54,01029
1,30,94,40,42.55,17,18.09,20,21.28,17,18.09,01030
1,31,25,3,12.0,9,36.0,6,24.0,7,28.0,01031
1,32,99,36,36.36,23,23.23,24,24.24,16,16.16,01032
1,33,147,46,31.29,32,21.77,41,27.89,28,19.05,01033
1,34,15,5,33.33,7,46.67,0,0.0,3,20.0,01034
1,35,29,8,27.59,10,34.48,7,24.14,4,13.79,01035
1,36,102,32,31.37,20,19.61,32,31.37,18,17.65,01036
2,1,86,28,32.56,29,33.72,13,15.12,16,18.6,02001
