ward,precinct,total,ROBERT D. QUINLIVAN,ROBERT D. QUINLIVAN Percent,RICHARD ANTHONY STEVENS,RICHARD ANTHONY STEVENS Percent,MARJORIE E. MCCOLLOM,MARJORIE E. MCCOLLOM Percent,JOAN MARGARET O'BRIEN,JOAN MARGARET O'BRIEN Percent,precinct_id
1,1,73,19,26.03,15,20.55,11,15.07,28,38.36,01001
1,2,126,26,20.63,26,20.63,38,30.16,36,28.57,01002
1,3,72,15,20.83,14,19.44,24,33.33,19,26.39,01003
1,4,101,12,11.88,21,20.79,37,36.63,31,30.69,01004
1,5,85,10,11.76,22,25.88,20,23.53,33,38.82,01005
1,6,78,10,12.82,13,16.67,31,39.74,24,30.77,01006
1,7,124,27,21.77,23,18.55,22,17.74,52,41.94,01007
1,8,65,15,23.08,15,23.08,10,15.38,25,38.46,01008
1,9,123,17,13.82,43,34.96,23,18.7,40,32.52,01009
1,10,113,15,13.27,29,25.66,29,25.66,40,35.4,01010
1,11,66,13,19.7,7,10.61,23,34.85,23,34.85,01011
1,12,170,33,19.41,34,20.0,35,20.59,68,40.0,01012
1,13,78,15,19.23,27,34.62,15,19.23,21,26.92,01013
1,14,92,11,11.96,33,35.87,19,20.65,29,31.52,01014
1,15,123,20,16.26,45,36.59,31,25.2,27,21.95,01015
1,16,91,17,18.68,15,16.48,39,42.86,20,21.98,01016
1,17,96,11,11.46,29,30.21,23,23.96,33,34.38,01017
1,18,132,23,17.42,39,29.55,30,22.73,40,30.3,01018
1,19,106,16,15.09,30,28.3,31,29.25,29,27.36,01019
1,20,76,13,17.11,27,35.53,25,32.89,11,14.47,01020
1,21,132,24,18.18,35,26.52,29,21.97,44,33.33,01021
1,22,67,10,14.93,25,37.31,17,25.37,15,22.39,01022
1,23,177,47,26.55,36,20.34,32,18.08,62,35.03,01023
1,24,106,12,11.32,14,13.21,46,43.4,34,32.08,01024
1,25,143,19,13.29,28,19.58,47,32.87,49,34.27,01025
1,26,219,18,8.22,50,22.83,93,42.47,58,26.48,01026
1,27,86,16,18.6,21,24.42,17,19.77,32,37.21,01027
1,28,19,3,15.79,2,10.53,6,31.58,8,42.11,01028
1,29,165,14,8.48,58,35.15,33,20.0,60,36.36,01029
1,30,110,20,18.18,34,30.91,36,32.73,20,18.18,01030
1,31,26,1,3.85,5,19.23,11,42.31,9,34.62,01031
1,32,101,28,27.72,23,22.77,17,16.83,33,32.67,01032
1,33,165,35,21.21,43,26.06,32,19.39,55,33.33,01033
1,34,13,3,23.08,3,23.08,5,38.46,2,15.38,01034
1,35,32,9,28.13,11,34.38,2,6.25,10,31.25,01035
1,36,109,12,11.01,31,28.44,33,30.28,33,30.28,01036
2,1,87,15,17.24,25,28.74,12,13.79,35,40.23,02001
2,2,206,43,20.87,74,35.92,41,19.9,48,23.3,02002
2,3,81,10,12.35,21,25.93,19,23.46,31,38.27,02003
2,4,23,5,21.74,7,30.43,5,21.74,6,26.09,02004
2,5,52,14,26.92,11,21.15,9,17.31,18,34.62,02005
2,6,58,8,13.79,18,31.03,15,25.86,17,29.31,02006
2,7,150,20,13.33,45,30.0,37,24.67,48,32.0,02007
2,8,124,20,16.13,38,30.65,27,21.77,39,31.45,02008
2,9,55,7,12.73,19,34.55,10,18.18,19,34.55,02009
2,10,60,12,20.0,12,20.0,9,15.0,27,45.0,02010
2,11,199,31,15.58,75,37.69,36,18.09,57,28.64,02011
2,12,127,19,14.96,46,36.22,32,25.2,30,23.62,02012
2,13,187,42,22.46,60,32.09,45,24.06,40,21.39,02013
2,14,106,24,22.64,26,24.53,29,27.36,27,25.47,02014
2,15,34,5,14.71,7,20.59,7,20.59,15,44.12,02015
2,16,72,6,8.33,27,37.5,15,20.83,24,33.33,02016
2,17,94,14,14.89,34,36.17,20,21.28,26,27.66,02017
2,18,179,54,30.17,44,24.58,32,17.88,49,27.37,02018
2,19,54,7,12.96,18,33.33,15,27.78,14,25.93,02019
2,20,131,50,38.17,32,24.43,23,17.56,26,19.85,02020
2,21,132,50,37.88,33,25.0,22,16.67,27,20.45,02021
2,22,197,19,9.64,123,62.44,22,11.17,33,16.75,02022
2,23,67,31,46.27,15,22.39,10,14.93,11,16.42,02023
2,24,60,18,30.0,16,26.67,11,18.33,15,25.0,02024
2,25,30,9,30.0,9,30.0,4,13.33,8,26.67,02025
2,26,68,10,14.71,19,27.94,14,20.59,25,36.76,02026
2,27,20,4,20.0,5,25.0,6,30.0,5,25.0,02027
2,28,124,28,22.58,32,25.81,32,25.81,32,25.81,02028
2,29,59,12,20.34,7,11.86,10,16.95,30,50.85,02029
2,30,82,19,23.17,24,29.27,12,14.63,27,32.93,02030
2,31,148,30,20.27,56,37.84,29,19.59,33,22.3,02031
2,32,65,18,27.69,15,23.08,12,18.46,20,30.77,02032
2,33,189,39,20.63,80,42.33,32,16.93,38,20.11,02033
2,34,74,16,21.62,23,31.08,13,17.57,22,29.73,02034
2,35,23,9,39.13,4,17.39,2,8.7,8,34.78,02035
2,36,54,13,24.07,19,35.19,4,7.41,18,33.33,02036
2,37,69,11,15.94,19,27.54,18,26.09,21,30.43,02037
2,38,90,16,17.78,26,28.89,23,25.56,25,27.78,02038
2,39,83,14,16.87,21,25.3,19,22.89,29,34.94,02039
2,40,106,18,16.98,27,25.47,34,32.08,27,25.47,02040
2,41,41,6,14.63,11,26.83,5,12.2,19,46.34,02041
2,42,29,2,6.9,8,27.59,8,27.59,11,37.93,02042
2,43,148,24,16.22,43,29.05,32,21.62,49,33.11,02043
2,44,128,42,32.81,32,25.0,26,20.31,28,21.88,02044
2,45,47,4,8.51,21,44.68,11,23.4,11,23.4,02045
2,46,217,40,18.43,74,34.1,63,29.03,40,18.43,02046
2,47,84,17,20.24,32,38.1,18,21.43,17,20.24,02047
2,48,152,30,19.74,56,36.84,40,26.32,26,17.11,02048
2,49,47,7,14.89,15,31.91,10,21.28,15,31.91,02049
2,50,59,11,18.64,8,13.56,10,16.95,30,50.85,02050
2,51,83,12,14.46,29,34.94,17,20.48,25,30.12,02051
