ward,precinct,total,TODD H. STROGER,TODD H. STROGER Percent,precinct_id
5,2,46,46,100.0,05002
5,12,162,162,100.0,05012
5,22,149,149,100.0,05022
5,50,0,0,0.0,05050
6,3,186,186,100.0,06003
6,10,252,252,100.0,06010
6,29,219,219,100.0,06029
6,31,238,238,100.0,06031
6,34,151,151,100.0,06034
6,37,224,224,100.0,06037
6,46,155,155,100.0,06046
6,47,219,219,100.0,06047
6,52,135,135,100.0,06052
6,54,144,144,100.0,06054
6,58,205,205,100.0,06058
6,59,184,184,100.0,06059
6,63,150,150,100.0,06063
7,2,183,183,100.0,07002
7,4,133,133,100.0,07004
7,5,111,111,100.0,07005
7,6,155,155,100.0,07006
7,8,108,108,100.0,07008
7,13,84,84,100.0,07013
7,19,241,241,100.0,07019
7,20,39,39,100.0,07020
7,21,172,172,100.0,07021
7,26,180,180,100.0,07026
7,27,175,175,100.0,07027
7,29,98,98,100.0,07029
7,32,137,137,100.0,07032
7,42,172,172,100.0,07042
7,46,82,82,100.0,07046
8,2,139,139,100.0,08002
8,4,200,200,100.0,08004
8,6,222,222,100.0,08006
8,7,108,108,100.0,08007
8,10,249,249,100.0,08010
8,11,136,136,100.0,08011
8,13,129,129,100.0,08013
8,14,147,147,100.0,08014
8,15,159,159,100.0,08015
8,16,227,227,100.0,08016
8,17,162,162,100.0,08017
8,18,123,123,100.0,08018
8,20,156,156,100.0,08020
8,21,155,155,100.0,08021
8,22,187,187,100.0,08022
8,23,156,156,100.0,08023
8,24,201,201,100.0,08024
8,25,180,180,100.0,08025
8,26,101,101,100.0,08026
8,28,180,180,100.0,08028
8,29,187,187,100.0,08029
8,30,184,184,100.0,08030
8,36,186,186,100.0,08036
8,40,191,191,100.0,08040
8,41,195,195,100.0,08041
8,42,175,175,100.0,08042
8,43,117,117,100.0,08043
8,45,174,174,100.0,08045
8,46,156,156,100.0,08046
8,48,217,217,100.0,08048
8,49,222,222,100.0,08049
8,50,197,197,100.0,08050
8,51,193,193,100.0,08051
8,52,216,216,100.0,08052
8,53,222,222,100.0,08053
8,54,212,212,100.0,08054
8,55,157,157,100.0,08055
8,56,151,151,100.0,08056
8,57,196,196,100.0,08057
8,61,151,151,100.0,08061
8,63,230,230,100.0,08063
8,65,173,173,100.0,08065
10,1,109,109,100.0,10001
10,4,143,143,100.0,10004
10,11,128,128,100.0,10011
10,12,125,125,100.0,10012
10,18,107,107,100.0,10018
10,20,228,228,100.0,10020
10,23,139,139,100.0,10023
10,25,174,174,100.0,10025
10,26,94,94,100.0,10026
10,27,160,160,100.0,10027
10,31,134,134,100.0,10031
10,32,140,140,100.0,10032
10,33,135,135,100.0,10033
10,34,128,128,100.0,10034
10,35,118,118,100.0,10035
10,37,137,137,100.0,10037
10,38,167,167,100.0,10038
10,39,138,138,100.0,10039
10,43,138,138,100.0,10043
10,44,136,136,100.0,10044
