ward,precinct,total,MICHAEL J. MADIGAN,MICHAEL J. MADIGAN Percent,precinct_id
13,1,121,121,100.0,13001
13,2,120,120,100.0,13002
13,3,209,209,100.0,13003
13,4,188,188,100.0,13004
13,5,152,152,100.0,13005
13,6,127,127,100.0,13006
13,7,184,184,100.0,13007
13,8,162,162,100.0,13008
13,9,197,197,100.0,13009
13,10,168,168,100.0,13010
13,11,103,103,100.0,13011
13,12,186,186,100.0,13012
13,13,177,177,100.0,13013
13,14,129,129,100.0,13014
13,15,186,186,100.0,13015
13,16,148,148,100.0,13016
13,17,109,109,100.0,13017
13,18,135,135,100.0,13018
13,19,127,127,100.0,13019
13,20,169,169,100.0,13020
13,21,152,152,100.0,13021
13,22,177,177,100.0,13022
13,23,155,155,100.0,13023
13,24,222,222,100.0,13024
13,25,134,134,100.0,13025
13,26,141,141,100.0,13026
13,27,147,147,100.0,13027
13,28,131,131,100.0,13028
13,29,167,167,100.0,13029
13,30,152,152,100.0,13030
13,31,141,141,100.0,13031
13,32,113,113,100.0,13032
13,33,154,154,100.0,13033
13,34,158,158,100.0,13034
13,35,210,210,100.0,13035
13,36,116,116,100.0,13036
13,37,110,110,100.0,13037
13,38,92,92,100.0,13038
13,39,155,155,100.0,13039
13,40,143,143,100.0,13040
13,41,121,121,100.0,13041
13,42,192,192,100.0,13042
13,43,156,156,100.0,13043
13,44,95,95,100.0,13044
13,45,84,84,100.0,13045
13,46,170,170,100.0,13046
13,47,136,136,100.0,13047
13,48,129,129,100.0,13048
13,49,80,80,100.0,13049
13,50,155,155,100.0,13050
13,51,168,168,100.0,13051
13,52,188,188,100.0,13052
13,53,181,181,100.0,13053
13,54,210,210,100.0,13054
13,55,179,179,100.0,13055
13,56,201,201,100.0,13056
13,57,176,176,100.0,13057
13,58,202,202,100.0,13058
13,59,133,133,100.0,13059
13,60,152,152,100.0,13060
13,61,253,253,100.0,13061
13,62,189,189,100.0,13062
13,63,208,208,100.0,13063
