ward,precinct,total,LOVANA S. JONES (GORE),LOVANA S. JONES (GORE) Percent,TODD H. STROGER (GORE),TODD H. STROGER (GORE) Percent,VIRGINIA A. RUGAI (GORE),VIRGINIA A. RUGAI (GORE) Percent,JERRY BUTLER (GORE),JERRY BUTLER (GORE) Percent,NORMA J. WHITE (GORE),NORMA J. WHITE (GORE) Percent,HENRY M. WILLIAMSON (GORE),HENRY M. WILLIAMSON (GORE) Percent,ROSEMARY M. BILECKI (GORE),ROSEMARY M. BILECKI (GORE) Percent,"SPENCER LEAK, JR. (GORE)","SPENCER LEAK, JR. (GORE) Percent","JOSEPH G. BERTRAND,JR. (BRADLEY)","JOSEPH G. BERTRAND,JR. (BRADLEY) Percent",DELMARIE L. COBB (BRADLEY),DELMARIE L. COBB (BRADLEY) Percent,HOWARD KENNER (BRADLEY),HOWARD KENNER (BRADLEY) Percent,DORIS DAVENPORT (BRADLEY),DORIS DAVENPORT (BRADLEY) Percent,CARLTON E. HULL (BRADLEY),CARLTON E. HULL (BRADLEY) Percent,DENISE ELIGAN (BRADLEY),DENISE ELIGAN (BRADLEY) Percent,MYRON F. MCCOY (BRADLEY),MYRON F. MCCOY (BRADLEY) Percent,CELESTINE M. FULCHON (BRADLEY),CELESTINE M. FULCHON (BRADLEY) Percent,precinct_id
8,64,587,69,11.75,93,15.84,56,9.54,77,13.12,66,11.24,63,10.73,57,9.71,61,10.39,5,0.85,7,1.19,4,0.68,10,1.7,3,0.51,5,0.85,4,0.68,7,1.19,08064
8,65,1140,125,10.96,163,14.3,92,8.07,153,13.42,117,10.26,95,8.33,82,7.19,130,11.4,39,3.42,20,1.75,19,1.67,37,3.25,11,0.96,16,1.4,21,1.84,20,1.75,08065
8,66,1459,153,10.49,207,14.19,126,8.64,195,13.37,151,10.35,133,9.12,120,8.22,159,10.9,19,1.3,28,1.92,25,1.71,40,2.74,25,1.71,25,1.71,27,1.85,26,1.78,08066
9,2,986,105,10.65,123,12.47,73,7.4,149,15.11,93,9.43,78,7.91,69,7.0,105,10.65,14,1.42,19,1.93,21,2.13,39,3.96,13,1.32,18,1.83,46,4.67,21,2.13,09002
9,10,980,110,11.22,122,12.45,76,7.76,138,14.08,93,9.49,78,7.96,72,7.35,113,11.53,22,2.24,28,2.86,18,1.84,29,2.96,16,1.63,15,1.53,27,2.76,23,2.35,09010
9,12,855,98,11.46,121,14.15,75,8.77,124,14.5,88,10.29,75,8.77,66,7.72,98,11.46,15,1.75,11,1.29,15,1.75,16,1.87,11,1.29,9,1.05,18,2.11,15,1.75,09012
9,13,1413,158,11.18,189,13.38,102,7.22,200,14.15,137,9.7,125,8.85,101,7.15,161,11.39,33,2.34,26,1.84,30,2.12,33,2.34,20,1.42,21,1.49,48,3.4,29,2.05,09013
9,14,1692,189,11.17,215,12.71,140,8.27,238,14.07,171,10.11,148,8.75,145,8.57,180,10.64,41,2.42,32,1.89,33,1.95,45,2.66,16,0.95,33,1.95,38,2.25,28,1.65,09014
9,17,972,113,11.63,115,11.83,79,8.13,137,14.09,95,9.77,84,8.64,80,8.23,112,11.52,19,1.95,19,1.95,24,2.47,24,2.47,14,1.44,17,1.75,24,2.47,16,1.65,09017
9,20,1141,133,11.66,146,12.8,95,8.33,162,14.2,120,10.52,99,8.68,91,7.98,122,10.69,14,1.23,23,2.02,19,1.67,31,2.72,12,1.05,18,1.58,33,2.89,23,2.02,09020
9,21,814,87,10.69,101,12.41,76,9.34,111,13.64,86,10.57,83,10.2,74,9.09,91,11.18,13,1.6,11,1.35,10,1.23,20,2.46,6,0.74,10,1.23,21,2.58,14,1.72,09021
9,27,753,83,11.02,100,13.28,66,8.76,110,14.61,74,9.83,63,8.37,62,8.23,77,10.23,12,1.59,17,2.26,15,1.99,23,3.05,10,1.33,11,1.46,14,1.86,16,2.12,09027
9,35,1196,120,10.03,152,12.71,99,8.28,175,14.63,122,10.2,105,8.78,91,7.61,146,12.21,27,2.26,25,2.09,24,2.01,33,2.76,14,1.17,17,1.42,20,1.67,26,2.17,09035
9,51,623,66,10.59,84,13.48,54,8.67,97,15.57,60,9.63,49,7.87,50,8.03,70,11.24,12,1.93,12,1.93,7,1.12,16,2.57,5,0.8,15,2.41,13,2.09,13,2.09,09051
9,52,1150,134,11.65,149,12.96,93,8.09,164,14.26,127,11.04,102,8.87,96,8.35,135,11.74,20,1.74,18,1.57,23,2.0,24,2.09,12,1.04,13,1.13,25,2.17,15,1.3,09052
10,6,863,87,10.08,98,11.36,69,8.0,123,14.25,83,9.62,68,7.88,73,8.46,82,9.5,20,2.32,16,1.85,25,2.9,26,3.01,16,1.85,25,2.9,36,4.17,16,1.85,10006
10,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10040
11,22,426,40,9.39,41,9.62,43,10.09,40,9.39,45,10.56,38,8.92,43,10.09,35,8.22,14,3.29,13,3.05,13,3.05,11,2.58,11,2.58,13,3.05,12,2.82,14,3.29,11022
11,27,304,31,10.2,24,7.89,34,11.18,26,8.55,32,10.53,22,7.24,28,9.21,24,7.89,10,3.29,12,3.95,10,3.29,12,3.95,8,2.63,11,3.62,8,2.63,12,3.95,11027
11,31,297,28,9.43,31,10.44,21,7.07,25,8.42,27,9.09,19,6.4,27,9.09,19,6.4,13,4.38,8,2.69,11,3.7,15,5.05,11,3.7,12,4.04,15,5.05,15,5.05,11031
11,33,452,55,12.17,56,12.39,38,8.41,62,13.72,47,10.4,39,8.63,40,8.85,41,9.07,7,1.55,8,1.77,10,2.21,14,3.1,7,1.55,12,2.65,5,1.11,11,2.43,11033
11,36,371,35,9.43,36,9.7,35,9.43,31,8.36,42,11.32,27,7.28,36,9.7,30,8.09,16,4.31,15,4.04,12,3.23,12,3.23,9,2.43,12,3.23,11,2.96,12,3.23,11036
11,54,492,33,6.71,63,12.8,25,5.08,57,11.59,32,6.5,49,9.96,35,7.11,52,10.57,15,3.05,26,5.28,16,3.25,23,4.67,14,2.85,25,5.08,13,2.64,14,2.85,11054
12,5,215,21,9.77,25,11.63,18,8.37,18,8.37,22,10.23,14,6.51,21,9.77,17,7.91,9,4.19,6,2.79,5,2.33,12,5.58,4,1.86,6,2.79,8,3.72,9,4.19,12005
12,10,365,30,8.22,30,8.22,33,9.04,28,7.67,31,8.49,31,8.49,35,9.59,27,7.4,15,4.11,11,3.01,13,3.56,17,4.66,11,3.01,19,5.21,18,4.93,16,4.38,12010
12,17,201,21,10.45,20,9.95,21,10.45,16,7.96,19,9.45,15,7.46,19,9.45,15,7.46,6,2.99,6,2.99,6,2.99,9,4.48,3,1.49,13,6.47,6,2.99,6,2.99,12017
12,24,256,21,8.2,21,8.2,25,9.77,18,7.03,20,7.81,14,5.47,32,12.5,16,6.25,7,2.73,12,4.69,9,3.52,18,7.03,5,1.95,10,3.91,11,4.3,17,6.64,12024
12,27,294,29,9.86,26,8.84,25,8.5,24,8.16,29,9.86,21,7.14,37,12.59,19,6.46,10,3.4,9,3.06,12,4.08,9,3.06,11,3.74,11,3.74,10,3.4,12,4.08,12027
14,5,539,47,8.72,52,9.65,51,9.46,45,8.35,50,9.28,39,7.24,56,10.39,39,7.24,15,2.78,16,2.97,15,2.78,17,3.15,15,2.78,21,3.9,45,8.35,16,2.97,14005
14,8,529,43,8.13,43,8.13,42,7.94,46,8.7,48,9.07,43,8.13,55,10.4,40,7.56,24,4.54,13,2.46,23,4.35,20,3.78,20,3.78,18,3.4,33,6.24,18,3.4,14008
14,10,333,41,12.31,40,12.01,29,8.71,42,12.61,35,10.51,33,9.91,31,9.31,33,9.91,4,1.2,7,2.1,2,0.6,11,3.3,6,1.8,7,2.1,7,2.1,5,1.5,14010
14,15,330,32,9.7,38,11.52,29,8.79,36,10.91,34,10.3,29,8.79,34,10.3,30,9.09,8,2.42,4,1.21,12,3.64,11,3.33,7,2.12,9,2.73,8,2.42,9,2.73,14015
14,18,605,66,10.91,57,9.42,67,11.07,57,9.42,61,10.08,56,9.26,71,11.74,57,9.42,17,2.81,11,1.82,12,1.98,17,2.81,12,1.98,16,2.64,14,2.31,14,2.31,14018
14,19,1313,152,11.58,145,11.04,155,11.81,146,11.12,142,10.81,137,10.43,156,11.88,137,10.43,15,1.14,15,1.14,15,1.14,20,1.52,13,0.99,22,1.68,21,1.6,22,1.68,14019
14,23,683,68,9.96,64,9.37,69,10.1,61,8.93,70,10.25,57,8.35,74,10.83,56,8.2,20,2.93,14,2.05,23,3.37,21,3.07,19,2.78,26,3.81,21,3.07,20,2.93,14023
14,30,762,75,9.84,76,9.97,74,9.71,71,9.32,75,9.84,67,8.79,93,12.2,58,7.61,17,2.23,21,2.76,24,3.15,21,2.76,14,1.84,27,3.54,23,3.02,26,3.41,14030
14,31,786,88,11.2,92,11.7,94,11.96,90,11.45,99,12.6,82,10.43,98,12.47,80,10.18,6,0.76,7,0.89,7,0.89,12,1.53,5,0.64,8,1.02,6,0.76,12,1.53,14031
14,33,875,94,10.74,95,10.86,102,11.66,96,10.97,99,11.31,93,10.63,102,11.66,83,9.49,14,1.6,11,1.26,12,1.37,16,1.83,8,0.91,15,1.71,18,2.06,17,1.94,14033
14,36,946,85,8.99,83,8.77,91,9.62,80,8.46,91,9.62,73,7.72,103,10.89,69,7.29,38,4.02,28,2.96,30,3.17,41,4.33,30,3.17,33,3.49,35,3.7,36,3.81,14036
14,37,706,78,11.05,85,12.04,87,12.32,82,11.61,86,12.18,79,11.19,86,12.18,76,10.76,5,0.71,5,0.71,5,0.71,7,0.99,5,0.71,6,0.85,9,1.27,5,0.71,14037
14,41,1098,119,10.84,125,11.38,128,11.66,119,10.84,129,11.75,108,9.84,132,12.02,105,9.56,22,2.0,11,1.0,19,1.73,15,1.37,13,1.18,18,1.64,17,1.55,18,1.64,14041
14,48,480,49,10.21,54,11.25,46,9.58,56,11.67,49,10.21,38,7.92,37,7.71,51,10.63,11,2.29,10,2.08,13,2.71,11,2.29,14,2.92,14,2.92,13,2.71,14,2.92,14048
15,1,698,78,11.17,90,12.89,58,8.31,101,14.47,71,10.17,57,8.17,51,7.31,72,10.32,10,1.43,7,1.0,18,2.58,19,2.72,15,2.15,11,1.58,26,3.72,14,2.01,15001
15,2,599,70,11.69,77,12.85,49,8.18,97,16.19,58,9.68,46,7.68,41,6.84,65,10.85,10,1.67,11,1.84,9,1.5,19,3.17,8,1.34,15,2.5,10,1.67,14,2.34,15002
15,3,836,101,12.08,107,12.8,77,9.21,123,14.71,83,9.93,76,9.09,74,8.85,84,10.05,12,1.44,12,1.44,12,1.44,20,2.39,11,1.32,12,1.44,18,2.15,14,1.67,15003
15,4,570,60,10.53,82,14.39,50,8.77,82,14.39,55,9.65,43,7.54,43,7.54,56,9.82,14,2.46,10,1.75,14,2.46,15,2.63,9,1.58,11,1.93,14,2.46,12,2.11,15004
15,5,615,70,11.38,69,11.22,45,7.32,83,13.5,60,9.76,45,7.32,47,7.64,62,10.08,13,2.11,22,3.58,17,2.76,18,2.93,8,1.3,15,2.44,23,3.74,18,2.93,15005
15,8,573,75,13.09,75,13.09,50,8.73,84,14.66,62,10.82,55,9.6,52,9.08,64,11.17,5,0.87,7,1.22,6,1.05,6,1.05,8,1.4,7,1.22,9,1.57,8,1.4,15008
15,9,601,67,11.15,72,11.98,56,9.32,77,12.81,55,9.15,56,9.32,45,7.49,61,10.15,17,2.83,21,3.49,16,2.66,11,1.83,10,1.66,11,1.83,12,2.0,14,2.33,15009
15,10,830,90,10.84,95,11.45,71,8.55,115,13.86,86,10.36,77,9.28,72,8.67,87,10.48,18,2.17,13,1.57,17,2.05,22,2.65,13,1.57,15,1.81,22,2.65,17,2.05,15010
15,11,580,63,10.86,70,12.07,56,9.66,83,14.31,56,9.66,55,9.48,53,9.14,60,10.34,7,1.21,10,1.72,7,1.21,16,2.76,9,1.55,14,2.41,11,1.9,10,1.72,15011
15,14,270,30,11.11,38,14.07,24,8.89,34,12.59,30,11.11,23,8.52,24,8.89,26,9.63,6,2.22,6,2.22,6,2.22,5,1.85,4,1.48,4,1.48,5,1.85,5,1.85,15014
15,16,996,98,9.84,114,11.45,75,7.53,135,13.55,99,9.94,75,7.53,71,7.13,94,9.44,30,3.01,30,3.01,28,2.81,41,4.12,22,2.21,19,1.91,35,3.51,30,3.01,15016
15,17,519,61,11.75,61,11.75,44,8.48,76,14.64,56,10.79,43,8.29,43,8.29,53,10.21,12,2.31,4,0.77,11,2.12,16,3.08,8,1.54,8,1.54,16,3.08,7,1.35,15017
15,20,436,52,11.93,51,11.7,40,9.17,77,17.66,46,10.55,37,8.49,38,8.72,43,9.86,4,0.92,7,1.61,5,1.15,11,2.52,5,1.15,11,2.52,6,1.38,3,0.69,15020
15,23,448,53,11.83,57,12.72,38,8.48,63,14.06,38,8.48,34,7.59,40,8.93,47,10.49,10,2.23,6,1.34,6,1.34,13,2.9,5,1.12,14,3.13,11,2.46,13,2.9,15023
15,25,694,75,10.81,78,11.24,68,9.8,84,12.1,68,9.8,60,8.65,67,9.65,64,9.22,12,1.73,17,2.45,15,2.16,21,3.03,13,1.87,19,2.74,17,2.45,16,2.31,15025
15,26,711,82,11.53,86,12.1,66,9.28,101,14.21,67,9.42,61,8.58,58,8.16,82,11.53,13,1.83,12,1.69,11,1.55,26,3.66,8,1.13,10,1.41,14,1.97,14,1.97,15026
15,27,716,72,10.06,90,12.57,64,8.94,91,12.71,70,9.78,60,8.38,70,9.78,66,9.22,18,2.51,18,2.51,13,1.82,18,2.51,13,1.82,18,2.51,17,2.37,18,2.51,15027
15,28,1069,111,10.38,132,12.35,84,7.86,153,14.31,92,8.61,88,8.23,78,7.3,109,10.2,20,1.87,27,2.53,35,3.27,29,2.71,29,2.71,25,2.34,33,3.09,24,2.25,15028
15,29,662,79,11.93,82,12.39,51,7.7,92,13.9,59,8.91,53,8.01,55,8.31,62,9.37,16,2.42,18,2.72,17,2.57,20,3.02,14,2.11,15,2.27,13,1.96,16,2.42,15029
15,30,525,63,12.0,61,11.62,46,8.76,80,15.24,55,10.48,44,8.38,48,9.14,52,9.9,6,1.14,7,1.33,10,1.9,13,2.48,7,1.33,10,1.9,13,2.48,10,1.9,15030
15,32,562,58,10.32,71,12.63,41,7.3,78,13.88,53,9.43,41,7.3,43,7.65,59,10.5,16,2.85,13,2.31,13,2.31,17,3.02,11,1.96,15,2.67,18,3.2,15,2.67,15032
15,33,581,62,10.67,75,12.91,45,7.75,79,13.6,51,8.78,45,7.75,41,7.06,62,10.67,11,1.89,17,2.93,11,1.89,18,3.1,13,2.24,19,3.27,13,2.24,19,3.27,15033
15,35,722,72,9.97,85,11.77,64,8.86,100,13.85,68,9.42,63,8.73,56,7.76,78,10.8,13,1.8,17,2.35,18,2.49,23,3.19,13,1.8,15,2.08,23,3.19,14,1.94,15035
15,36,597,67,11.22,72,12.06,50,8.38,90,15.08,61,10.22,48,8.04,54,9.05,63,10.55,9,1.51,12,2.01,9,1.51,17,2.85,8,1.34,12,2.01,13,2.18,12,2.01,15036
15,37,696,83,11.93,82,11.78,58,8.33,110,15.8,73,10.49,64,9.2,54,7.76,75,10.78,12,1.72,12,1.72,11,1.58,22,3.16,7,1.01,10,1.44,14,2.01,9,1.29,15037
15,38,406,47,11.58,48,11.82,38,9.36,50,12.32,43,10.59,33,8.13,36,8.87,36,8.87,9,2.22,10,2.46,8,1.97,11,2.71,9,2.22,7,1.72,14,3.45,7,1.72,15038
15,41,812,86,10.59,99,12.19,72,8.87,104,12.81,79,9.73,71,8.74,75,9.24,80,9.85,16,1.97,18,2.22,19,2.34,20,2.46,16,1.97,20,2.46,21,2.59,16,1.97,15041
15,42,520,57,10.96,66,12.69,49,9.42,74,14.23,54,10.38,50,9.62,51,9.81,54,10.38,8,1.54,7,1.35,6,1.15,12,2.31,7,1.35,5,0.96,17,3.27,3,0.58,15042
15,43,369,41,11.11,47,12.74,29,7.86,64,17.34,35,9.49,31,8.4,30,8.13,40,10.84,6,1.63,5,1.36,7,1.9,8,2.17,2,0.54,9,2.44,9,2.44,6,1.63,15043
15,48,475,51,10.74,50,10.53,40,8.42,69,14.53,43,9.05,42,8.84,40,8.42,49,10.32,6,1.26,10,2.11,11,2.32,21,4.42,9,1.89,11,2.32,11,2.32,12,2.53,15048
16,2,254,23,9.06,28,11.02,22,8.66,38,14.96,23,9.06,20,7.87,19,7.48,19,7.48,9,3.54,4,1.57,12,4.72,8,3.15,6,2.36,4,1.57,10,3.94,9,3.54,16002
16,3,498,52,10.44,60,12.05,44,8.84,81,16.27,48,9.64,43,8.63,43,8.63,54,10.84,8,1.61,11,2.21,7,1.41,17,3.41,7,1.41,3,0.6,10,2.01,10,2.01,16003
16,4,74,7,9.46,12,16.22,6,8.11,11,14.86,6,8.11,7,9.46,7,9.46,7,9.46,1,1.35,2,2.7,1,1.35,1,1.35,2,2.7,0,0.0,2,2.7,2,2.7,16004
16,5,565,64,11.33,74,13.1,44,7.79,89,15.75,56,9.91,39,6.9,37,6.55,57,10.09,6,1.06,11,1.95,25,4.42,20,3.54,6,1.06,8,1.42,15,2.65,14,2.48,16005
16,6,484,60,12.4,58,11.98,39,8.06,71,14.67,47,9.71,40,8.26,40,8.26,51,10.54,7,1.45,12,2.48,9,1.86,11,2.27,6,1.24,13,2.69,11,2.27,9,1.86,16006
16,7,413,42,10.17,49,11.86,33,7.99,59,14.29,42,10.17,34,8.23,33,7.99,39,9.44,9,2.18,8,1.94,18,4.36,14,3.39,8,1.94,7,1.69,10,2.42,8,1.94,16007
16,8,410,41,10.0,48,11.71,35,8.54,54,13.17,39,9.51,29,7.07,34,8.29,33,8.05,10,2.44,9,2.2,18,4.39,14,3.41,7,1.71,15,3.66,13,3.17,11,2.68,16008
16,9,926,99,10.69,113,12.2,76,8.21,142,15.33,87,9.4,79,8.53,71,7.67,101,10.91,23,2.48,18,1.94,20,2.16,29,3.13,13,1.4,17,1.84,22,2.38,16,1.73,16009
16,11,45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43,95.56,2,4.44,16011
16,12,358,39,10.89,48,13.41,37,10.34,51,14.25,41,11.45,35,9.78,34,9.5,40,11.17,2,0.56,3,0.84,12,3.35,6,1.68,3,0.84,3,0.84,3,0.84,1,0.28,16012
16,14,411,44,10.71,51,12.41,34,8.27,57,13.87,44,10.71,36,8.76,37,9.0,40,9.73,7,1.7,9,2.19,15,3.65,9,2.19,6,1.46,9,2.19,7,1.7,6,1.46,16014
16,15,493,48,9.74,60,12.17,40,8.11,79,16.02,45,9.13,39,7.91,35,7.1,52,10.55,8,1.62,9,1.83,22,4.46,15,3.04,8,1.62,10,2.03,11,2.23,12,2.43,16015
16,19,506,53,10.47,62,12.25,41,8.1,75,14.82,55,10.87,43,8.5,42,8.3,50,9.88,8,1.58,8,1.58,16,3.16,14,2.77,8,1.58,5,0.99,17,3.36,9,1.78,16019
16,20,601,68,11.31,83,13.81,55,9.15,84,13.98,60,9.98,53,8.82,49,8.15,65,10.82,7,1.16,6,1.0,19,3.16,15,2.5,6,1.0,10,1.66,12,2.0,9,1.5,16020
16,21,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,50.0,4,50.0,16021
16,22,464,50,10.78,56,12.07,35,7.54,64,13.79,45,9.7,38,8.19,33,7.11,46,9.91,8,1.72,11,2.37,16,3.45,13,2.8,10,2.16,12,2.59,13,2.8,14,3.02,16022
16,24,321,36,11.21,31,9.66,24,7.48,51,15.89,32,9.97,23,7.17,25,7.79,32,9.97,2,0.62,7,2.18,14,4.36,16,4.98,6,1.87,5,1.56,8,2.49,9,2.8,16024
16,25,221,24,10.86,26,11.76,17,7.69,39,17.65,19,8.6,18,8.14,19,8.6,25,11.31,4,1.81,1,0.45,4,1.81,6,2.71,4,1.81,4,1.81,3,1.36,8,3.62,16025
16,26,453,52,11.48,51,11.26,36,7.95,71,15.67,40,8.83,33,7.28,30,6.62,47,10.38,13,2.87,12,2.65,20,4.42,10,2.21,9,1.99,8,1.77,10,2.21,11,2.43,16026
16,27,421,46,10.93,49,11.64,39,9.26,69,16.39,47,11.16,38,9.03,40,9.5,49,11.64,5,1.19,6,1.43,4,0.95,5,1.19,6,1.43,6,1.43,7,1.66,5,1.19,16027
16,29,426,42,9.86,54,12.68,36,8.45,61,14.32,45,10.56,38,8.92,41,9.62,46,10.8,11,2.58,10,2.35,15,3.52,6,1.41,1,0.23,7,1.64,6,1.41,7,1.64,16029
16,30,721,79,10.96,91,12.62,53,7.35,111,15.4,65,9.02,65,9.02,62,8.6,74,10.26,15,2.08,13,1.8,23,3.19,19,2.64,11,1.53,15,2.08,9,1.25,16,2.22,16030
16,31,562,60,10.68,70,12.46,49,8.72,89,15.84,59,10.5,47,8.36,42,7.47,70,12.46,7,1.25,11,1.96,11,1.96,12,2.14,7,1.25,7,1.25,8,1.42,13,2.31,16031
16,33,446,48,10.76,54,12.11,41,9.19,66,14.8,44,9.87,39,8.74,40,8.97,43,9.64,6,1.35,10,2.24,16,3.59,10,2.24,5,1.12,8,1.79,8,1.79,8,1.79,16033
16,34,439,50,11.39,51,11.62,40,9.11,58,13.21,46,10.48,36,8.2,37,8.43,47,10.71,8,1.82,10,2.28,10,2.28,11,2.51,7,1.59,12,2.73,7,1.59,9,2.05,16034
16,35,268,24,8.96,34,12.69,21,7.84,32,11.94,26,9.7,19,7.09,23,8.58,29,10.82,7,2.61,7,2.61,5,1.87,11,4.1,6,2.24,10,3.73,6,2.24,8,2.99,16035
16,36,461,45,9.76,65,14.1,36,7.81,65,14.1,46,9.98,40,8.68,33,7.16,53,11.5,9,1.95,11,2.39,6,1.3,14,3.04,7,1.52,11,2.39,8,1.74,12,2.6,16036
16,37,294,31,10.54,39,13.27,24,8.16,41,13.95,27,9.18,25,8.5,23,7.82,32,10.88,4,1.36,5,1.7,11,3.74,7,2.38,9,3.06,4,1.36,6,2.04,6,2.04,16037
16,38,780,88,11.28,99,12.69,68,8.72,114,14.62,75,9.62,68,8.72,62,7.95,84,10.77,11,1.41,15,1.92,29,3.72,11,1.41,11,1.41,15,1.92,13,1.67,17,2.18,16038
16,39,445,49,11.01,57,12.81,39,8.76,72,16.18,46,10.34,38,8.54,39,8.76,42,9.44,5,1.12,5,1.12,6,1.35,11,2.47,7,1.57,7,1.57,11,2.47,11,2.47,16039
16,40,715,75,10.49,96,13.43,59,8.25,91,12.73,68,9.51,51,7.13,57,7.97,77,10.77,20,2.8,17,2.38,19,2.66,22,3.08,11,1.54,16,2.24,17,2.38,19,2.66,16040
17,2,755,81,10.73,100,13.25,64,8.48,115,15.23,73,9.67,65,8.61,61,8.08,89,11.79,7,0.93,15,1.99,9,1.19,25,3.31,10,1.32,14,1.85,11,1.46,16,2.12,17002
17,15,741,76,10.26,86,11.61,59,7.96,112,15.11,73,9.85,61,8.23,54,7.29,83,11.2,16,2.16,14,1.89,15,2.02,30,4.05,12,1.62,16,2.16,22,2.97,12,1.62,17015
17,21,1268,135,10.65,165,13.01,96,7.57,187,14.75,126,9.94,104,8.2,89,7.02,146,11.51,25,1.97,40,3.15,25,1.97,22,1.74,31,2.44,24,1.89,30,2.37,23,1.81,17021
17,25,372,42,11.29,51,13.71,37,9.95,60,16.13,37,9.95,37,9.95,30,8.06,47,12.63,6,1.61,2,0.54,4,1.08,4,1.08,2,0.54,1,0.27,4,1.08,8,2.15,17025
17,35,555,60,10.81,76,13.69,43,7.75,84,15.14,63,11.35,48,8.65,44,7.93,63,11.35,10,1.8,9,1.62,8,1.44,16,2.88,7,1.26,8,1.44,9,1.62,7,1.26,17035
17,38,741,83,11.2,98,13.23,62,8.37,111,14.98,71,9.58,66,8.91,59,7.96,78,10.53,13,1.75,12,1.62,13,1.75,16,2.16,8,1.08,19,2.56,18,2.43,14,1.89,17038
17,44,791,87,11.0,104,13.15,61,7.71,119,15.04,79,9.99,66,8.34,66,8.34,91,11.5,13,1.64,12,1.52,19,2.4,20,2.53,11,1.39,8,1.01,23,2.91,12,1.52,17044
17,48,616,66,10.71,78,12.66,49,7.95,98,15.91,56,9.09,57,9.25,48,7.79,68,11.04,14,2.27,14,2.27,11,1.79,16,2.6,10,1.62,9,1.46,13,2.11,9,1.46,17048
17,50,664,71,10.69,84,12.65,50,7.53,102,15.36,65,9.79,55,8.28,54,8.13,72,10.84,9,1.36,12,1.81,17,2.56,20,3.01,16,2.41,7,1.05,18,2.71,12,1.81,17050
17,53,805,94,11.68,95,11.8,66,8.2,124,15.4,81,10.06,71,8.82,63,7.83,91,11.3,12,1.49,16,1.99,15,1.86,12,1.49,22,2.73,11,1.37,21,2.61,11,1.37,17053
17,54,1129,116,10.27,146,12.93,85,7.53,165,14.61,104,9.21,98,8.68,79,7.0,129,11.43,26,2.3,26,2.3,22,1.95,34,3.01,48,4.25,14,1.24,22,1.95,15,1.33,17054
18,4,1293,137,10.6,145,11.21,108,8.35,184,14.23,119,9.2,96,7.42,92,7.12,129,9.98,44,3.4,27,2.09,26,2.01,46,3.56,21,1.62,41,3.17,40,3.09,38,2.94,18004
18,5,533,57,10.69,67,12.57,39,7.32,79,14.82,53,9.94,43,8.07,36,6.75,48,9.01,9,1.69,14,2.63,16,3.0,24,4.5,9,1.69,13,2.44,16,3.0,10,1.88,18005
18,8,592,62,10.47,68,11.49,59,9.97,68,11.49,55,9.29,43,7.26,61,10.3,53,8.95,20,3.38,10,1.69,18,3.04,16,2.7,15,2.53,15,2.53,13,2.2,16,2.7,18008
18,9,1091,115,10.54,127,11.64,90,8.25,139,12.74,101,9.26,81,7.42,87,7.97,113,10.36,34,3.12,28,2.57,41,3.76,26,2.38,27,2.47,26,2.38,29,2.66,27,2.47,18009
18,12,954,102,10.69,112,11.74,88,9.22,121,12.68,95,9.96,77,8.07,86,9.01,86,9.01,25,2.62,25,2.62,25,2.62,26,2.73,18,1.89,24,2.52,22,2.31,22,2.31,18012
18,14,1227,121,9.86,140,11.41,103,8.39,168,13.69,110,8.96,100,8.15,93,7.58,124,10.11,34,2.77,33,2.69,34,2.77,48,3.91,21,1.71,30,2.44,36,2.93,32,2.61,18014
18,16,1004,97,9.66,122,12.15,79,7.87,130,12.95,95,9.46,80,7.97,83,8.27,99,9.86,21,2.09,32,3.19,28,2.79,33,3.29,27,2.69,25,2.49,32,3.19,21,2.09,18016
18,18,1277,143,11.2,170,13.31,91,7.13,187,14.64,114,8.93,92,7.2,82,6.42,147,11.51,29,2.27,38,2.98,35,2.74,48,3.76,21,1.64,21,1.64,39,3.05,20,1.57,18018
18,22,908,95,10.46,116,12.78,82,9.03,119,13.11,94,10.35,75,8.26,71,7.82,89,9.8,21,2.31,17,1.87,24,2.64,26,2.86,17,1.87,20,2.2,22,2.42,20,2.2,18022
18,33,693,78,11.26,88,12.7,57,8.23,100,14.43,69,9.96,59,8.51,52,7.5,74,10.68,13,1.88,17,2.45,12,1.73,22,3.17,12,1.73,13,1.88,14,2.02,13,1.88,18033
18,34,1621,168,10.36,189,11.66,115,7.09,207,12.77,152,9.38,117,7.22,110,6.79,170,10.49,47,2.9,53,3.27,49,3.02,67,4.13,33,2.04,40,2.47,63,3.89,41,2.53,18034
18,35,1158,116,10.02,122,10.54,100,8.64,150,12.95,109,9.41,94,8.12,99,8.55,114,9.84,30,2.59,27,2.33,29,2.5,39,3.37,18,1.55,35,3.02,35,3.02,41,3.54,18035
