ward,precinct,total,LOVANA S. JONES (GORE),LOVANA S. JONES (GORE) Percent,TODD H. STROGER (GORE),TODD H. STROGER (GORE) Percent,VIRGINIA A. RUGAI (GORE),VIRGINIA A. RUGAI (GORE) Percent,JERRY BUTLER (GORE),JERRY BUTLER (GORE) Percent,NORMA J. WHITE (GORE),NORMA J. WHITE (GORE) Percent,HENRY M. WILLIAMSON (GORE),HENRY M. WILLIAMSON (GORE) Percent,ROSEMARY M. BILECKI (GORE),ROSEMARY M. BILECKI (GORE) Percent,"SPENCER LEAK, JR. (GORE)","SPENCER LEAK, JR. (GORE) Percent","JOSEPH G. BERTRAND,JR. (BRADLEY)","JOSEPH G. BERTRAND,JR. (BRADLEY) Percent",DELMARIE L. COBB (BRADLEY),DELMARIE L. COBB (BRADLEY) Percent,HOWARD KENNER (BRADLEY),HOWARD KENNER (BRADLEY) Percent,DORIS DAVENPORT (BRADLEY),DORIS DAVENPORT (BRADLEY) Percent,CARLTON E. HULL (BRADLEY),CARLTON E. HULL (BRADLEY) Percent,DENISE ELIGAN (BRADLEY),DENISE ELIGAN (BRADLEY) Percent,MYRON F. MCCOY (BRADLEY),MYRON F. MCCOY (BRADLEY) Percent,CELESTINE M. FULCHON (BRADLEY),CELESTINE M. FULCHON (BRADLEY) Percent,precinct_id
7,9,917,94,10.25,116,12.65,54,5.89,125,13.63,78,8.51,63,6.87,50,5.45,93,10.14,49,5.34,30,3.27,32,3.49,37,4.03,17,1.85,21,2.29,37,4.03,21,2.29,07009
7,13,463,50,10.8,63,13.61,31,6.7,62,13.39,39,8.42,28,6.05,28,6.05,51,11.02,16,3.46,12,2.59,16,3.46,15,3.24,9,1.94,13,2.81,10,2.16,20,4.32,07013
7,22,933,95,10.18,112,12.0,70,7.5,131,14.04,84,9.0,63,6.75,58,6.22,101,10.83,44,4.72,33,3.54,26,2.79,30,3.22,14,1.5,19,2.04,26,2.79,27,2.89,07022
7,25,817,86,10.53,109,13.34,62,7.59,115,14.08,83,10.16,69,8.45,68,8.32,86,10.53,20,2.45,10,1.22,16,1.96,19,2.33,11,1.35,16,1.96,25,3.06,22,2.69,07025
7,30,1349,148,10.97,178,13.19,92,6.82,194,14.38,129,9.56,104,7.71,86,6.38,162,12.01,43,3.19,29,2.15,29,2.15,41,3.04,22,1.63,23,1.7,42,3.11,27,2.0,07030
7,34,581,66,11.36,79,13.6,46,7.92,82,14.11,56,9.64,45,7.75,47,8.09,58,9.98,18,3.1,10,1.72,9,1.55,17,2.93,9,1.55,13,2.24,15,2.58,11,1.89,07034
7,36,1339,143,10.68,180,13.44,101,7.54,196,14.64,138,10.31,96,7.17,92,6.87,145,10.83,36,2.69,30,2.24,23,1.72,38,2.84,15,1.12,30,2.24,46,3.44,30,2.24,07036
7,37,1035,114,11.01,131,12.66,73,7.05,141,13.62,94,9.08,75,7.25,73,7.05,109,10.53,35,3.38,24,2.32,23,2.22,36,3.48,21,2.03,28,2.71,32,3.09,26,2.51,07037
7,38,1074,113,10.52,132,12.29,78,7.26,153,14.25,98,9.12,77,7.17,77,7.17,121,11.27,31,2.89,27,2.51,24,2.23,33,3.07,18,1.68,28,2.61,36,3.35,28,2.61,07038
7,41,1150,121,10.52,135,11.74,82,7.13,168,14.61,106,9.22,91,7.91,87,7.57,115,10.0,29,2.52,26,2.26,25,2.17,47,4.09,26,2.26,26,2.26,36,3.13,30,2.61,07041
