ward,precinct,total,JOANNE GUILLEMETTE,JOANNE GUILLEMETTE Percent,MICHAEL T. HEALY,MICHAEL T. HEALY Percent,MICHAEL L. MCGRATH,MICHAEL L. MCGRATH Percent,precinct_id
1,1,73,19,26.03,28,38.36,26,35.62,01001
1,2,104,42,40.38,42,40.38,20,19.23,01002
1,3,62,17,27.42,28,45.16,17,27.42,01003
1,4,85,34,40.0,27,31.76,24,28.24,01004
1,5,75,30,40.0,33,44.0,12,16.0,01005
1,6,61,26,42.62,20,32.79,15,24.59,01006
1,7,110,51,46.36,37,33.64,22,20.0,01007
1,8,63,18,28.57,28,44.44,17,26.98,01008
1,9,117,47,40.17,44,37.61,26,22.22,01009
1,10,107,52,48.6,36,33.64,19,17.76,01010
1,11,57,24,42.11,19,33.33,14,24.56,01011
1,12,157,68,43.31,54,34.39,35,22.29,01012
1,13,61,21,34.43,23,37.7,17,27.87,01013
1,14,73,30,41.1,21,28.77,22,30.14,01014
1,15,79,39,49.37,21,26.58,19,24.05,01015
1,16,74,37,50.0,18,24.32,19,25.68,01016
1,17,89,36,40.45,32,35.96,21,23.6,01017
1,18,107,56,52.34,29,27.1,22,20.56,01018
1,19,78,28,35.9,27,34.62,23,29.49,01019
1,20,61,35,57.38,10,16.39,16,26.23,01020
1,21,125,48,38.4,54,43.2,23,18.4,01021
1,22,50,20,40.0,19,38.0,11,22.0,01022
1,23,159,53,33.33,65,40.88,41,25.79,01023
1,24,86,39,45.35,25,29.07,22,25.58,01024
1,25,114,53,46.49,32,28.07,29,25.44,01025
1,26,161,83,51.55,33,20.5,45,27.95,01026
1,27,71,39,54.93,18,25.35,14,19.72,01027
1,28,18,9,50.0,4,22.22,5,27.78,01028
1,29,134,58,43.28,44,32.84,32,23.88,01029
1,30,86,40,46.51,30,34.88,16,18.6,01030
1,31,27,14,51.85,5,18.52,8,29.63,01031
1,32,96,41,42.71,31,32.29,24,25.0,01032
1,33,134,52,38.81,47,35.07,35,26.12,01033
1,34,12,5,41.67,5,41.67,2,16.67,01034
1,35,27,10,37.04,13,48.15,4,14.81,01035
1,36,93,39,41.94,33,35.48,21,22.58,01036
2,1,80,37,46.25,29,36.25,14,17.5,02001
2,2,204,97,47.55,75,36.76,32,15.69,02002
2,3,72,27,37.5,29,40.28,16,22.22,02003
2,4,12,3,25.0,5,41.67,4,33.33,02004
2,5,38,17,44.74,12,31.58,9,23.68,02005
2,6,56,19,33.93,23,41.07,14,25.0,02006
2,7,146,60,41.1,53,36.3,33,22.6,02007
2,8,77,54,70.13,0,0.0,23,29.87,02008
2,9,49,13,26.53,25,51.02,11,22.45,02009
2,10,55,14,25.45,20,36.36,21,38.18,02010
2,11,178,56,31.46,86,48.31,36,20.22,02011
2,12,115,50,43.48,37,32.17,28,24.35,02012
2,13,186,77,41.4,84,45.16,25,13.44,02013
2,14,100,49,49.0,36,36.0,15,15.0,02014
2,15,36,19,52.78,8,22.22,9,25.0,02015
2,16,61,29,47.54,18,29.51,14,22.95,02016
2,17,95,39,41.05,34,35.79,22,23.16,02017
2,18,167,63,37.72,78,46.71,26,15.57,02018
2,19,50,17,34.0,17,34.0,16,32.0,02019
2,20,119,39,32.77,61,51.26,19,15.97,02020
2,21,131,57,43.51,51,38.93,23,17.56,02021
2,22,170,55,32.35,80,47.06,35,20.59,02022
2,23,64,28,43.75,22,34.38,14,21.88,02023
2,24,60,19,31.67,30,50.0,11,18.33,02024
2,25,30,9,30.0,16,53.33,5,16.67,02025
2,26,64,23,35.94,27,42.19,14,21.88,02026
2,27,14,4,28.57,7,50.0,3,21.43,02027
2,28,125,47,37.6,48,38.4,30,24.0,02028
2,29,53,21,39.62,19,35.85,13,24.53,02029
2,30,69,23,33.33,27,39.13,19,27.54,02030
2,31,138,65,47.1,49,35.51,24,17.39,02031
2,32,61,19,31.15,32,52.46,10,16.39,02032
2,33,185,94,50.81,61,32.97,30,16.22,02033
2,34,84,35,41.67,28,33.33,21,25.0,02034
2,35,21,10,47.62,8,38.1,3,14.29,02035
2,36,54,18,33.33,21,38.89,15,27.78,02036
2,37,72,28,38.89,29,40.28,15,20.83,02037
2,38,90,34,37.78,31,34.44,25,27.78,02038
2,39,81,33,40.74,27,33.33,21,25.93,02039
2,40,102,40,39.22,45,44.12,17,16.67,02040
2,41,38,17,44.74,14,36.84,7,18.42,02041
2,42,32,11,34.38,11,34.38,10,31.25,02042
2,43,148,54,36.49,66,44.59,28,18.92,02043
2,44,120,53,44.17,48,40.0,19,15.83,02044
2,45,48,26,54.17,13,27.08,9,18.75,02045
2,46,205,110,53.66,52,25.37,43,20.98,02046
2,47,87,40,45.98,35,40.23,12,13.79,02047
2,48,150,72,48.0,50,33.33,28,18.67,02048
2,49,39,12,30.77,22,56.41,5,12.82,02049
2,50,52,23,44.23,16,30.77,13,25.0,02050
2,51,87,38,43.68,30,34.48,19,21.84,02051
2,52,79,35,44.3,25,31.65,19,24.05,02052
2,53,51,22,43.14,16,31.37,13,25.49,02053
2,54,113,50,44.25,53,46.9,10,8.85,02054
3,1,114,52,45.61,39,34.21,23,20.18,03001
3,2,120,57,47.5,40,33.33,23,19.17,03002
3,3,29,11,37.93,11,37.93,7,24.14,03003
3,4,49,21,42.86,16,32.65,12,24.49,03004
3,5,32,13,40.63,10,31.25,9,28.13,03005
3,6,28,11,39.29,12,42.86,5,17.86,03006
3,7,14,7,50.0,6,42.86,1,7.14,03007
3,8,43,16,37.21,16,37.21,11,25.58,03008
3,9,62,26,41.94,19,30.65,17,27.42,03009
3,10,99,46,46.46,38,38.38,15,15.15,03010
3,11,45,21,46.67,15,33.33,9,20.0,03011
3,12,67,31,46.27,23,34.33,13,19.4,03012
3,13,19,5,26.32,10,52.63,4,21.05,03013
3,14,36,16,44.44,14,38.89,6,16.67,03014
3,15,65,29,44.62,17,26.15,19,29.23,03015
3,16,95,41,43.16,39,41.05,15,15.79,03016
3,17,51,16,31.37,15,29.41,20,39.22,03017
3,18,60,30,50.0,19,31.67,11,18.33,03018
3,19,42,17,40.48,14,33.33,11,26.19,03019
3,20,31,11,35.48,14,45.16,6,19.35,03020
3,21,42,23,54.76,16,38.1,3,7.14,03021
3,22,67,32,47.76,24,35.82,11,16.42,03022
3,23,23,7,30.43,5,21.74,11,47.83,03023
3,24,78,31,39.74,28,35.9,19,24.36,03024
3,25,18,5,27.78,7,38.89,6,33.33,03025
3,26,53,27,50.94,16,30.19,10,18.87,03026
3,27,11,4,36.36,3,27.27,4,36.36,03027
3,28,85,48,56.47,21,24.71,16,18.82,03028
3,29,14,6,42.86,5,35.71,3,21.43,03029
3,30,69,26,37.68,26,37.68,17,24.64,03030
3,31,56,33,58.93,12,21.43,11,19.64,03031
3,32,88,30,34.09,39,44.32,19,21.59,03032
