ward,precinct,total,RICHARD F. MELL,RICHARD F. MELL Percent,precinct_id
33,1,127,127,100.0,33001
33,2,240,240,100.0,33002
33,3,95,95,100.0,33003
33,4,183,183,100.0,33004
33,5,84,84,100.0,33005
33,6,148,148,100.0,33006
33,7,198,198,100.0,33007
33,8,113,113,100.0,33008
33,9,124,124,100.0,33009
33,10,164,164,100.0,33010
33,11,123,123,100.0,33011
33,12,153,153,100.0,33012
33,13,161,161,100.0,33013
33,14,96,96,100.0,33014
33,15,23,23,100.0,33015
33,16,152,152,100.0,33016
33,17,127,127,100.0,33017
33,18,59,59,100.0,33018
33,19,96,96,100.0,33019
33,20,127,127,100.0,33020
33,21,114,114,100.0,33021
33,22,249,249,100.0,33022
33,23,185,185,100.0,33023
33,24,155,155,100.0,33024
33,25,264,264,100.0,33025
33,26,119,119,100.0,33026
33,27,278,278,100.0,33027
33,28,118,118,100.0,33028
33,29,161,161,100.0,33029
33,30,119,119,100.0,33030
33,31,101,101,100.0,33031
33,32,28,28,100.0,33032
33,33,108,108,100.0,33033
33,34,107,107,100.0,33034
33,35,151,151,100.0,33035
33,36,165,165,100.0,33036
33,37,86,86,100.0,33037
33,38,61,61,100.0,33038
