ward,precinct,total,TONY V. LU (BRADLEY),TONY V. LU (BRADLEY) Percent,CAROL RONEN (BRADLEY),CAROL RONEN (BRADLEY) Percent,JEFF SCHOENBERG (BRADLEY),JEFF SCHOENBERG (BRADLEY) Percent,BARBARA HILLMAN (BRADLEY),BARBARA HILLMAN (BRADLEY) Percent,JAMES B. BURNS (BRADLEY),JAMES B. BURNS (BRADLEY) Percent,HELEN SHILLER (BRADLEY),HELEN SHILLER (BRADLEY) Percent,HOWARD W. CARROLL (GORE),HOWARD W. CARROLL (GORE) Percent,CHRISTINA (TINA) M. TCHEN (GORE),CHRISTINA (TINA) M. TCHEN (GORE) Percent,THOMAS H. REECE (GORE),THOMAS H. REECE (GORE) Percent,ANTOINETTE M. MALATESTA (GORE),ANTOINETTE M. MALATESTA (GORE) Percent,JOHN F. NORWOOD (GORE),JOHN F. NORWOOD (GORE) Percent,SYLVIA M. PUENTE (GORE),SYLVIA M. PUENTE (GORE) Percent,DANIELLE ALEXANDER (LaROUCHE),DANIELLE ALEXANDER (LaROUCHE) Percent,DIANNE BETTAG (LaROUCHE),DIANNE BETTAG (LaROUCHE) Percent,PATRICK HOLZER (LaROUCHE),PATRICK HOLZER (LaROUCHE) Percent,GENE SCHENK (LaROUCHE),GENE SCHENK (LaROUCHE) Percent,SUSAN WAKEFIELD (LaROUCHE),SUSAN WAKEFIELD (LaROUCHE) Percent,VERN SHIPLEY (LaROUCHE),VERN SHIPLEY (LaROUCHE) Percent,precinct_id
39,1,522,31,5.94,37,7.09,30,5.75,31,5.94,31,5.94,33,6.32,55,10.54,47,9.0,39,7.47,49,9.39,42,8.05,41,7.85,11,2.11,10,1.92,7,1.34,10,1.92,11,2.11,7,1.34,39001
39,3,686,29,4.23,37,5.39,32,4.66,24,3.5,41,5.98,32,4.66,86,12.54,64,9.33,67,9.77,66,9.62,65,9.48,64,9.33,13,1.9,11,1.6,18,2.62,6,0.87,18,2.62,13,1.9,39003
39,15,352,22,6.25,26,7.39,23,6.53,21,5.97,26,7.39,22,6.25,43,12.22,25,7.1,22,6.25,26,7.39,27,7.67,26,7.39,10,2.84,5,1.42,9,2.56,7,1.99,9,2.56,3,0.85,39015
39,20,426,18,4.23,29,6.81,20,4.69,29,6.81,20,4.69,22,5.16,49,11.5,43,10.09,34,7.98,41,9.62,39,9.15,42,9.86,6,1.41,8,1.88,5,1.17,5,1.17,11,2.58,5,1.17,39020
39,23,362,19,5.25,27,7.46,23,6.35,25,6.91,22,6.08,27,7.46,41,11.33,34,9.39,29,8.01,32,8.84,27,7.46,32,8.84,3,0.83,3,0.83,2,0.55,2,0.55,9,2.49,5,1.38,39023
39,26,733,27,3.68,29,3.96,29,3.96,31,4.23,25,3.41,34,4.64,95,12.96,80,10.91,81,11.05,74,10.1,86,11.73,84,11.46,9,1.23,7,0.95,15,2.05,7,0.95,12,1.64,8,1.09,39026
39,28,281,18,6.41,20,7.12,19,6.76,19,6.76,20,7.12,20,7.12,27,9.61,25,8.9,22,7.83,20,7.12,23,8.19,22,7.83,4,1.42,1,0.36,5,1.78,5,1.78,8,2.85,3,1.07,39028
39,32,1788,22,1.23,25,1.4,25,1.4,24,1.34,16,0.89,25,1.4,280,15.66,273,15.27,255,14.26,264,14.77,258,14.43,264,14.77,14,0.78,2,0.11,7,0.39,11,0.62,12,0.67,11,0.62,39032
39,34,351,9,2.56,14,3.99,22,6.27,14,3.99,13,3.7,19,5.41,55,15.67,39,11.11,34,9.69,36,10.26,36,10.26,39,11.11,2,0.57,2,0.57,5,1.42,5,1.42,6,1.71,1,0.28,39034
39,36,1605,34,2.12,42,2.62,29,1.81,34,2.12,29,1.81,32,1.99,244,15.2,227,14.14,215,13.4,221,13.77,218,13.58,223,13.89,8,0.5,9,0.56,10,0.62,7,0.44,13,0.81,10,0.62,39036
39,37,671,25,3.73,37,5.51,31,4.62,27,4.02,33,4.92,36,5.37,77,11.48,61,9.09,67,9.99,70,10.43,63,9.39,66,9.84,14,2.09,15,2.24,14,2.09,7,1.04,19,2.83,9,1.34,39037
39,38,948,43,4.54,49,5.17,41,4.32,43,4.54,39,4.11,46,4.85,117,12.34,94,9.92,94,9.92,106,11.18,94,9.92,93,9.81,13,1.37,6,0.63,21,2.22,14,1.48,22,2.32,13,1.37,39038
39,40,336,17,5.06,20,5.95,21,6.25,19,5.65,18,5.36,15,4.46,38,11.31,31,9.23,26,7.74,35,10.42,24,7.14,32,9.52,7,2.08,5,1.49,6,1.79,6,1.79,8,2.38,8,2.38,39040
39,42,479,33,6.89,36,7.52,27,5.64,29,6.05,29,6.05,30,6.26,50,10.44,40,8.35,41,8.56,52,10.86,37,7.72,35,7.31,5,1.04,6,1.25,6,1.25,8,1.67,9,1.88,6,1.25,39042
39,47,366,14,3.83,20,5.46,16,4.37,16,4.37,14,3.83,17,4.64,38,10.38,40,10.93,37,10.11,41,11.2,36,9.84,32,8.74,9,2.46,11,3.01,7,1.91,3,0.82,11,3.01,4,1.09,39047
40,3,442,23,5.2,48,10.86,17,3.85,25,5.66,19,4.3,35,7.92,45,10.18,43,9.73,32,7.24,38,8.6,33,7.47,44,9.95,10,2.26,7,1.58,2,0.45,3,0.68,12,2.71,6,1.36,40003
40,4,763,39,5.11,61,7.99,36,4.72,45,5.9,35,4.59,49,6.42,80,10.48,82,10.75,67,8.78,74,9.7,73,9.57,71,9.31,7,0.92,7,0.92,9,1.18,7,0.92,15,1.97,6,0.79,40004
40,7,469,18,3.84,34,7.25,22,4.69,24,5.12,22,4.69,29,6.18,55,11.73,49,10.45,46,9.81,43,9.17,46,9.81,47,10.02,7,1.49,6,1.28,7,1.49,6,1.28,4,0.85,4,0.85,40007
40,8,800,32,4.0,91,11.38,40,5.0,36,4.5,28,3.5,52,6.5,80,10.0,96,12.0,72,9.0,81,10.13,72,9.0,77,9.63,7,0.88,4,0.5,11,1.38,3,0.38,15,1.88,3,0.38,40008
40,9,280,13,4.64,19,6.79,16,5.71,19,6.79,13,4.64,26,9.29,28,10.0,26,9.29,19,6.79,20,7.14,20,7.14,29,10.36,7,2.5,6,2.14,2,0.71,3,1.07,8,2.86,6,2.14,40009
40,11,420,19,4.52,41,9.76,21,5.0,23,5.48,19,4.52,27,6.43,51,12.14,41,9.76,43,10.24,40,9.52,42,10.0,37,8.81,2,0.48,3,0.71,3,0.71,1,0.24,5,1.19,2,0.48,40011
40,12,413,14,3.39,33,7.99,14,3.39,19,4.6,13,3.15,26,6.3,50,12.11,40,9.69,40,9.69,45,10.9,40,9.69,44,10.65,7,1.69,4,0.97,8,1.94,2,0.48,12,2.91,2,0.48,40012
40,13,466,21,4.51,57,12.23,25,5.36,26,5.58,23,4.94,38,8.15,41,8.8,38,8.15,40,8.58,39,8.37,36,7.73,41,8.8,6,1.29,6,1.29,8,1.72,6,1.29,9,1.93,6,1.29,40013
40,15,480,16,3.33,26,5.42,20,4.17,17,3.54,13,2.71,21,4.38,66,13.75,58,12.08,54,11.25,53,11.04,52,10.83,56,11.67,6,1.25,6,1.25,2,0.42,2,0.42,8,1.67,4,0.83,40015
40,16,817,21,2.57,57,6.98,15,1.84,28,3.43,20,2.45,30,3.67,108,13.22,106,12.97,95,11.63,102,12.48,96,11.75,99,12.12,7,0.86,1,0.12,3,0.37,5,0.61,14,1.71,10,1.22,40016
40,18,456,11,2.41,21,4.61,15,3.29,14,3.07,11,2.41,16,3.51,68,14.91,60,13.16,52,11.4,56,12.28,55,12.06,52,11.4,5,1.1,3,0.66,3,0.66,3,0.66,9,1.97,2,0.44,40018
40,22,298,7,2.35,22,7.38,6,2.01,8,2.68,9,3.02,16,5.37,39,13.09,34,11.41,29,9.73,33,11.07,33,11.07,41,13.76,5,1.68,2,0.67,2,0.67,3,1.01,5,1.68,4,1.34,40022
40,26,484,24,4.96,52,10.74,26,5.37,26,5.37,22,4.55,40,8.26,48,9.92,46,9.5,39,8.06,44,9.09,40,8.26,40,8.26,5,1.03,7,1.45,3,0.62,3,0.62,10,2.07,9,1.86,40026
40,27,862,34,3.94,89,10.32,48,5.57,31,3.6,33,3.83,46,5.34,96,11.14,89,10.32,88,10.21,80,9.28,88,10.21,88,10.21,9,1.04,6,0.7,8,0.93,6,0.7,16,1.86,7,0.81,40027
40,28,390,12,3.08,24,6.15,11,2.82,15,3.85,14,3.59,26,6.67,44,11.28,46,11.79,36,9.23,40,10.26,37,9.49,49,12.56,8,2.05,6,1.54,7,1.79,4,1.03,9,2.31,2,0.51,40028
40,33,446,21,4.71,51,11.43,24,5.38,30,6.73,25,5.61,24,5.38,46,10.31,34,7.62,37,8.3,33,7.4,31,6.95,38,8.52,6,1.35,7,1.57,8,1.79,4,0.9,15,3.36,12,2.69,40033
40,35,451,17,3.77,35,7.76,19,4.21,20,4.43,21,4.66,29,6.43,56,12.42,52,11.53,38,8.43,39,8.65,44,9.76,40,8.87,9,2.0,4,0.89,9,2.0,5,1.11,9,2.0,5,1.11,40035
40,37,487,22,4.52,40,8.21,21,4.31,29,5.95,23,4.72,37,7.6,57,11.7,54,11.09,37,7.6,40,8.21,37,7.6,46,9.45,6,1.23,10,2.05,7,1.44,3,0.62,14,2.87,4,0.82,40037
40,39,430,13,3.02,27,6.28,17,3.95,15,3.49,16,3.72,26,6.05,58,13.49,43,10.0,43,10.0,44,10.23,37,8.6,47,10.93,5,1.16,8,1.86,6,1.4,4,0.93,14,3.26,7,1.63,40039
40,41,674,21,3.12,68,10.09,23,3.41,21,3.12,20,2.97,47,6.97,76,11.28,73,10.83,67,9.94,72,10.68,66,9.79,74,10.98,6,0.89,5,0.74,11,1.63,6,0.89,10,1.48,8,1.19,40041
40,42,622,28,4.5,64,10.29,33,5.31,36,5.79,25,4.02,51,8.2,61,9.81,62,9.97,50,8.04,53,8.52,47,7.56,60,9.65,7,1.13,5,0.8,10,1.61,8,1.29,12,1.93,10,1.61,40042
40,43,501,22,4.39,52,10.38,16,3.19,23,4.59,15,2.99,33,6.59,49,9.78,51,10.18,45,8.98,48,9.58,40,7.98,56,11.18,7,1.4,9,1.8,9,1.8,5,1.0,16,3.19,5,1.0,40043
40,45,644,40,6.21,65,10.09,29,4.5,37,5.75,33,5.12,46,7.14,61,9.47,51,7.92,38,5.9,52,8.07,42,6.52,49,7.61,16,2.48,15,2.33,21,3.26,17,2.64,17,2.64,15,2.33,40045
40,46,502,18,3.59,56,11.16,16,3.19,28,5.58,23,4.58,33,6.57,53,10.56,42,8.37,36,7.17,42,8.37,37,7.37,50,9.96,11,2.19,10,1.99,18,3.59,8,1.59,11,2.19,10,1.99,40046
40,47,478,19,3.97,44,9.21,23,4.81,25,5.23,17,3.56,30,6.28,46,9.62,56,11.72,43,9.0,50,10.46,48,10.04,55,11.51,2,0.42,1,0.21,4,0.84,1,0.21,8,1.67,6,1.26,40047
41,1,465,22,4.73,26,5.59,19,4.09,24,5.16,24,5.16,25,5.38,56,12.04,44,9.46,42,9.03,52,11.18,39,8.39,33,7.1,6,1.29,9,1.94,11,2.37,9,1.94,14,3.01,10,2.15,41001
41,2,637,21,3.3,36,5.65,29,4.55,30,4.71,35,5.49,30,4.71,70,10.99,66,10.36,54,8.48,86,13.5,60,9.42,45,7.06,12,1.88,12,1.88,18,2.83,11,1.73,17,2.67,5,0.78,41002
41,3,630,19,3.02,26,4.13,16,2.54,18,2.86,22,3.49,22,3.49,72,11.43,70,11.11,68,10.79,92,14.6,67,10.63,70,11.11,6,0.95,10,1.59,11,1.75,13,2.06,14,2.22,14,2.22,41003
41,4,541,21,3.88,27,4.99,21,3.88,26,4.81,23,4.25,29,5.36,54,9.98,55,10.17,50,9.24,65,12.01,52,9.61,54,9.98,10,1.85,10,1.85,8,1.48,10,1.85,17,3.14,9,1.66,41004
41,5,475,14,2.95,24,5.05,16,3.37,21,4.42,12,2.53,19,4.0,53,11.16,53,11.16,48,10.11,64,13.47,49,10.32,47,9.89,5,1.05,8,1.68,12,2.53,10,2.11,13,2.74,7,1.47,41005
41,6,411,16,3.89,21,5.11,21,5.11,14,3.41,23,5.6,20,4.87,42,10.22,40,9.73,36,8.76,54,13.14,43,10.46,39,9.49,5,1.22,6,1.46,13,3.16,5,1.22,9,2.19,4,0.97,41006
41,7,832,38,4.57,56,6.73,46,5.53,53,6.37,43,5.17,51,6.13,82,9.86,81,9.74,63,7.57,89,10.7,68,8.17,65,7.81,17,2.04,17,2.04,16,1.92,8,0.96,25,3.0,14,1.68,41007
41,8,530,27,5.09,37,6.98,28,5.28,26,4.91,32,6.04,31,5.85,50,9.43,47,8.87,43,8.11,58,10.94,48,9.06,44,8.3,12,2.26,10,1.89,9,1.7,9,1.7,14,2.64,5,0.94,41008
41,9,432,16,3.7,18,4.17,16,3.7,23,5.32,18,4.17,21,4.86,49,11.34,45,10.42,40,9.26,52,12.04,48,11.11,42,9.72,4,0.93,9,2.08,6,1.39,9,2.08,6,1.39,10,2.31,41009
