ward,precinct,total,RALPH C. CAPPARELLI,RALPH C. CAPPARELLI Percent,precinct_id
39,23,59,59,100.0,39023
39,28,53,53,100.0,39028
39,38,2,2,100.0,39038
41,1,88,88,100.0,41001
41,3,112,112,100.0,41003
41,9,83,83,100.0,41009
41,10,108,108,100.0,41010
41,11,86,86,100.0,41011
41,12,102,102,100.0,41012
41,14,105,105,100.0,41014
41,16,101,101,100.0,41016
41,17,100,100,100.0,41017
41,19,123,123,100.0,41019
41,21,77,77,100.0,41021
41,22,103,103,100.0,41022
41,23,103,103,100.0,41023
41,24,93,93,100.0,41024
41,30,92,92,100.0,41030
41,35,82,82,100.0,41035
41,40,83,83,100.0,41040
41,43,83,83,100.0,41043
41,46,85,85,100.0,41046
41,47,113,113,100.0,41047
41,49,102,102,100.0,41049
41,50,104,104,100.0,41050
41,51,58,58,100.0,41051
41,52,114,114,100.0,41052
41,54,88,88,100.0,41054
41,57,107,107,100.0,41057
41,59,97,97,100.0,41059
41,62,92,92,100.0,41062
41,63,89,89,100.0,41063
41,64,112,112,100.0,41064
41,65,88,88,100.0,41065
41,66,116,116,100.0,41066
45,1,85,85,100.0,45001
45,2,114,114,100.0,45002
45,4,118,118,100.0,45004
45,5,73,73,100.0,45005
45,22,117,117,100.0,45022
45,23,101,101,100.0,45023
45,33,161,161,100.0,45033
45,58,75,75,100.0,45058
