ward,precinct,total,RALPH C. CAPPARELLI,RALPH C. CAPPARELLI Percent,precinct_id
41,1,88,88,100.0,41001
41,2,134,134,100.0,41002
41,3,110,110,100.0,41003
41,4,100,100,100.0,41004
41,5,95,95,100.0,41005
41,6,79,79,100.0,41006
41,7,151,151,100.0,41007
41,8,96,96,100.0,41008
41,9,84,84,100.0,41009
41,10,114,114,100.0,41010
41,11,79,79,100.0,41011
41,12,112,112,100.0,41012
41,13,103,103,100.0,41013
41,14,123,123,100.0,41014
41,15,64,64,100.0,41015
41,16,109,109,100.0,41016
41,17,100,100,100.0,41017
41,18,104,104,100.0,41018
41,19,118,118,100.0,41019
41,20,144,144,100.0,41020
41,21,71,71,100.0,41021
41,22,104,104,100.0,41022
41,23,102,102,100.0,41023
41,24,89,89,100.0,41024
41,25,63,63,100.0,41025
41,26,52,52,100.0,41026
41,27,62,62,100.0,41027
41,28,52,52,100.0,41028
41,29,33,33,100.0,41029
41,30,91,91,100.0,41030
41,31,114,114,100.0,41031
41,32,89,89,100.0,41032
41,33,97,97,100.0,41033
41,34,84,84,100.0,41034
41,35,84,84,100.0,41035
41,36,104,104,100.0,41036
41,37,103,103,100.0,41037
41,38,49,49,100.0,41038
41,39,98,98,100.0,41039
41,40,83,83,100.0,41040
41,41,101,101,100.0,41041
41,42,102,102,100.0,41042
41,43,83,83,100.0,41043
41,44,102,102,100.0,41044
41,45,88,88,100.0,41045
41,46,85,85,100.0,41046
41,47,106,106,100.0,41047
41,48,54,54,100.0,41048
41,49,98,98,100.0,41049
41,50,101,101,100.0,41050
41,51,57,57,100.0,41051
41,52,116,116,100.0,41052
41,53,99,99,100.0,41053
41,54,85,85,100.0,41054
41,55,68,68,100.0,41055
41,56,107,107,100.0,41056
41,57,112,112,100.0,41057
41,58,68,68,100.0,41058
41,59,95,95,100.0,41059
41,60,71,71,100.0,41060
41,61,133,133,100.0,41061
41,62,90,90,100.0,41062
41,63,90,90,100.0,41063
41,64,117,117,100.0,41064
41,65,94,94,100.0,41065
41,66,114,114,100.0,41066
