ward,precinct,total,BESSIE DANIELS,BESSIE DANIELS Percent,THEODORE THOMAS,THEODORE THOMAS Percent,precinct_id
15,1,168,84,50.0,84,50.0,15001
15,2,154,57,37.01,97,62.99,15002
15,3,175,80,45.71,95,54.29,15003
15,4,156,68,43.59,88,56.41,15004
15,5,148,53,35.81,95,64.19,15005
15,6,90,21,23.33,69,76.67,15006
15,7,152,42,27.63,110,72.37,15007
15,8,127,63,49.61,64,50.39,15008
15,9,120,39,32.5,81,67.5,15009
15,10,167,106,63.47,61,36.53,15010
15,11,124,32,25.81,92,74.19,15011
15,12,129,34,26.36,95,73.64,15012
15,13,99,45,45.45,54,54.55,15013
15,14,54,9,16.67,45,83.33,15014
15,15,94,31,32.98,63,67.02,15015
15,16,220,115,52.27,105,47.73,15016
15,17,121,50,41.32,71,58.68,15017
15,18,159,60,37.74,99,62.26,15018
15,19,138,38,27.54,100,72.46,15019
15,20,117,53,45.3,64,54.7,15020
15,21,184,72,39.13,112,60.87,15021
15,22,204,72,35.29,132,64.71,15022
15,23,95,31,32.63,64,67.37,15023
15,24,142,45,31.69,97,68.31,15024
15,25,143,44,30.77,99,69.23,15025
15,26,159,58,36.48,101,63.52,15026
15,27,149,39,26.17,110,73.83,15027
15,28,215,64,29.77,151,70.23,15028
15,29,152,55,36.18,97,63.82,15029
15,30,118,58,49.15,60,50.85,15030
15,31,165,45,27.27,120,72.73,15031
15,32,117,47,40.17,70,59.83,15032
15,33,146,53,36.3,93,63.7,15033
15,34,105,24,22.86,81,77.14,15034
15,35,169,94,55.62,75,44.38,15035
15,36,128,54,42.19,74,57.81,15036
15,37,156,55,35.26,101,64.74,15037
15,38,119,44,36.97,75,63.03,15038
15,39,135,31,22.96,104,77.04,15039
15,40,153,37,24.18,116,75.82,15040
15,41,149,57,38.26,92,61.74,15041
15,42,118,40,33.9,78,66.1,15042
15,43,97,41,42.27,56,57.73,15043
15,44,119,58,48.74,61,51.26,15044
15,45,143,34,23.78,109,76.22,15045
15,46,132,33,25.0,99,75.0,15046
15,47,160,39,24.38,121,75.63,15047
15,48,112,38,33.93,74,66.07,15048
