ward,precinct,total,HARRY OSTERMAN,HARRY OSTERMAN Percent,CLAUDE WALKER,CLAUDE WALKER Percent,precinct_id
40,3,108,78,72.22,30,27.78,40003
40,8,181,137,75.69,44,24.31,40008
40,11,105,85,80.95,20,19.05,40011
40,13,97,59,60.82,38,39.18,40013
40,14,73,55,75.34,18,24.66,40014
40,16,211,173,81.99,38,18.01,40016
40,21,114,82,71.93,32,28.07,40021
40,22,72,56,77.78,16,22.22,40022
40,23,91,62,68.13,29,31.87,40023
40,26,116,76,65.52,40,34.48,40026
40,27,186,141,75.81,45,24.19,40027
40,33,96,78,81.25,18,18.75,40033
40,40,71,58,81.69,13,18.31,40040
40,41,152,113,74.34,39,25.66,40041
40,42,136,112,82.35,24,17.65,40042
40,43,105,72,68.57,33,31.43,40043
40,45,156,105,67.31,51,32.69,40045
40,46,123,92,74.8,31,25.2,40046
40,47,95,67,70.53,28,29.47,40047
46,21,9,9,100.0,0,0.0,46021
47,11,279,184,65.95,95,34.05,47011
47,23,60,42,70.0,18,30.0,47023
47,30,98,75,76.53,23,23.47,47030
48,1,180,145,80.56,35,19.44,48001
48,2,148,118,79.73,30,20.27,48002
48,3,124,96,77.42,28,22.58,48003
48,5,151,129,85.43,22,14.57,48005
48,6,158,130,82.28,28,17.72,48006
48,7,149,118,79.19,31,20.81,48007
48,8,119,101,84.87,18,15.13,48008
48,9,114,89,78.07,25,21.93,48009
48,10,79,60,75.95,19,24.05,48010
48,11,209,169,80.86,40,19.14,48011
48,12,88,62,70.45,26,29.55,48012
48,13,117,101,86.32,16,13.68,48013
48,14,151,109,72.19,42,27.81,48014
48,15,128,108,84.38,20,15.63,48015
48,16,134,113,84.33,21,15.67,48016
48,18,100,72,72.0,28,28.0,48018
48,19,147,112,76.19,35,23.81,48019
48,22,230,188,81.74,42,18.26,48022
48,26,145,102,70.34,43,29.66,48026
48,27,95,71,74.74,24,25.26,48027
48,28,134,98,73.13,36,26.87,48028
48,29,148,134,90.54,14,9.46,48029
48,30,108,72,66.67,36,33.33,48030
48,31,106,80,75.47,26,24.53,48031
48,32,103,69,66.99,34,33.01,48032
48,33,130,118,90.77,12,9.23,48033
48,36,114,94,82.46,20,17.54,48036
48,37,142,112,78.87,30,21.13,48037
48,39,109,90,82.57,19,17.43,48039
48,41,78,62,79.49,16,20.51,48041
48,42,149,101,67.79,48,32.21,48042
48,43,99,86,86.87,13,13.13,48043
48,44,103,78,75.73,25,24.27,48044
48,45,66,45,68.18,21,31.82,48045
48,46,78,59,75.64,19,24.36,48046
48,47,84,67,79.76,17,20.24,48047
48,48,105,88,83.81,17,16.19,48048
49,2,160,128,80.0,32,20.0,49002
49,3,127,74,58.27,53,41.73,49003
49,7,86,48,55.81,38,44.19,49007
49,9,108,55,50.93,53,49.07,49009
49,10,155,80,51.61,75,48.39,49010
49,12,86,62,72.09,24,27.91,49012
49,13,127,84,66.14,43,33.86,49013
49,17,29,14,48.28,15,51.72,49017
49,18,116,83,71.55,33,28.45,49018
49,21,79,49,62.03,30,37.97,49021
49,22,114,63,55.26,51,44.74,49022
49,23,103,54,52.43,49,47.57,49023
49,24,124,76,61.29,48,38.71,49024
49,25,87,35,40.23,52,59.77,49025
49,26,189,128,67.72,61,32.28,49026
49,27,124,60,48.39,64,51.61,49027
49,29,71,43,60.56,28,39.44,49029
49,31,97,38,39.18,59,60.82,49031
49,32,112,59,52.68,53,47.32,49032
49,36,83,45,54.22,38,45.78,49036
49,37,84,65,77.38,19,22.62,49037
