ward,precinct,total,CYNTHIA M. SANTOS (GORE),CYNTHIA M. SANTOS (GORE) Percent,MICHAEL BAUER (GORE),MICHAEL BAUER (GORE) Percent,GERALDINE M. MCPARTLIN (GORE),GERALDINE M. MCPARTLIN (GORE) Percent,JESSE H. RUIZ (GORE),JESSE H. RUIZ (GORE) Percent,MARY ANN LEVAR (GORE),MARY ANN LEVAR (GORE) Percent,JUDY ERWIN (BRADLEY),JUDY ERWIN (BRADLEY) Percent,JAMES E. GONZALES (BRADLEY),JAMES E. GONZALES (BRADLEY) Percent,LINDA J. TURNEY (BRADLEY),LINDA J. TURNEY (BRADLEY) Percent,MARTIN J. OBERMAN (BRADLEY),MARTIN J. OBERMAN (BRADLEY) Percent,ELLEN MEYERS (BRADLEY),ELLEN MEYERS (BRADLEY) Percent,MARSHA BOWEN (LaROUCHE),MARSHA BOWEN (LaROUCHE) Percent,DONALD CLARK (LaROUCHE),DONALD CLARK (LaROUCHE) Percent,SYLVIA ROSAS (LaROUCHE),SYLVIA ROSAS (LaROUCHE) Percent,GARY GENAZZIO (LaROUCHE),GARY GENAZZIO (LaROUCHE) Percent,MINDY PECHENUK (LaROUCHE),MINDY PECHENUK (LaROUCHE) Percent,precinct_id
26,30,71,0,0.0,1,1.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.41,0,0.0,69,97.18,26030
29,2,61,9,14.75,4,6.56,5,8.2,6,9.84,7,11.48,3,4.92,5,8.2,6,9.84,3,4.92,2,3.28,2,3.28,5,8.2,2,3.28,0,0.0,2,3.28,29002
29,6,136,29,21.32,11,8.09,13,9.56,18,13.24,21,15.44,4,2.94,3,2.21,4,2.94,2,1.47,3,2.21,3,2.21,1,0.74,9,6.62,3,2.21,12,8.82,29006
29,53,344,81,23.55,36,10.47,37,10.76,41,11.92,37,10.76,14,4.07,17,4.94,11,3.2,15,4.36,7,2.03,8,2.33,8,2.33,17,4.94,3,0.87,12,3.49,29053
29,54,401,80,19.95,55,13.72,63,15.71,56,13.97,67,16.71,11,2.74,12,2.99,7,1.75,11,2.74,6,1.5,7,1.75,3,0.75,9,2.24,2,0.5,12,2.99,29054
30,1,658,123,18.69,82,12.46,81,12.31,75,11.4,80,12.16,38,5.78,28,4.26,34,5.17,36,5.47,33,5.02,11,1.67,11,1.67,7,1.06,4,0.61,15,2.28,30001
30,2,403,66,16.38,50,12.41,55,13.65,52,12.9,56,13.9,20,4.96,27,6.7,18,4.47,17,4.22,13,3.23,4,0.99,4,0.99,12,2.98,3,0.74,6,1.49,30002
30,3,589,114,19.35,83,14.09,72,12.22,79,13.41,81,13.75,21,3.57,25,4.24,23,3.9,23,3.9,19,3.23,9,1.53,8,1.36,13,2.21,5,0.85,14,2.38,30003
30,4,587,140,23.85,72,12.27,62,10.56,83,14.14,72,12.27,23,3.92,28,4.77,19,3.24,17,2.9,13,2.21,1,0.17,9,1.53,22,3.75,9,1.53,17,2.9,30004
30,5,345,72,20.87,46,13.33,44,12.75,51,14.78,52,15.07,7,2.03,15,4.35,10,2.9,12,3.48,7,2.03,4,1.16,7,2.03,12,3.48,3,0.87,3,0.87,30005
