ward,precinct,total,THERIS M. GABINSKI,THERIS M. GABINSKI Percent,precinct_id
32,1,100,100,100.0,32001
32,2,77,77,100.0,32002
32,3,87,87,100.0,32003
32,4,147,147,100.0,32004
32,5,67,67,100.0,32005
32,6,111,111,100.0,32006
32,7,44,44,100.0,32007
32,8,55,55,100.0,32008
32,9,107,107,100.0,32009
32,10,32,32,100.0,32010
32,11,130,130,100.0,32011
32,12,65,65,100.0,32012
32,13,51,51,100.0,32013
32,14,58,58,100.0,32014
32,15,59,59,100.0,32015
32,16,106,106,100.0,32016
32,17,74,74,100.0,32017
32,18,49,49,100.0,32018
32,19,147,147,100.0,32019
32,20,63,63,100.0,32020
32,21,94,94,100.0,32021
32,22,69,69,100.0,32022
32,23,61,61,100.0,32023
32,24,73,73,100.0,32024
32,25,76,76,100.0,32025
32,26,116,116,100.0,32026
32,27,50,50,100.0,32027
32,28,57,57,100.0,32028
32,29,105,105,100.0,32029
32,30,98,98,100.0,32030
32,31,89,89,100.0,32031
32,32,58,58,100.0,32032
32,33,103,103,100.0,32033
32,34,120,120,100.0,32034
32,35,142,142,100.0,32035
32,36,96,96,100.0,32036
32,37,72,72,100.0,32037
32,38,93,93,100.0,32038
32,39,74,74,100.0,32039
32,40,60,60,100.0,32040
32,41,85,85,100.0,32041
32,42,105,105,100.0,32042
32,43,56,56,100.0,32043
32,44,71,71,100.0,32044
32,45,102,102,100.0,32045
32,46,22,22,100.0,32046
32,47,46,46,100.0,32047
32,48,52,52,100.0,32048
