ward,precinct,total,CHARLES G. MORROW III,CHARLES G. MORROW III Percent,precinct_id
5,2,63,63,100.0,05002
5,15,81,81,100.0,05015
5,20,75,75,100.0,05020
5,23,104,104,100.0,05023
5,45,74,74,100.0,05045
5,50,78,78,100.0,05050
5,51,96,96,100.0,05051
5,52,70,70,100.0,05052
6,4,100,100,100.0,06004
6,5,72,72,100.0,06005
6,6,164,164,100.0,06006
6,7,112,112,100.0,06007
6,11,149,149,100.0,06011
6,12,106,106,100.0,06012
6,14,154,154,100.0,06014
6,15,73,73,100.0,06015
6,18,52,52,100.0,06018
6,19,129,129,100.0,06019
6,30,115,115,100.0,06030
6,32,182,182,100.0,06032
6,33,190,190,100.0,06033
6,36,81,81,100.0,06036
6,38,177,177,100.0,06038
6,39,75,75,100.0,06039
6,40,63,63,100.0,06040
6,42,92,92,100.0,06042
6,43,196,196,100.0,06043
6,48,175,175,100.0,06048
6,49,132,132,100.0,06049
6,55,111,111,100.0,06055
6,56,114,114,100.0,06056
6,61,95,95,100.0,06061
13,11,67,67,100.0,13011
13,44,66,66,100.0,13044
14,1,58,58,100.0,14001
14,10,41,41,100.0,14010
14,15,33,33,100.0,14015
14,17,52,52,100.0,14017
14,20,62,62,100.0,14020
14,21,127,127,100.0,14021
14,25,78,78,100.0,14025
14,27,124,124,100.0,14027
14,38,96,96,100.0,14038
14,44,28,28,100.0,14044
14,45,77,77,100.0,14045
14,48,56,56,100.0,14048
15,1,98,98,100.0,15001
15,6,72,72,100.0,15006
15,7,94,94,100.0,15007
15,8,66,66,100.0,15008
15,9,77,77,100.0,15009
15,11,75,75,100.0,15011
15,15,56,56,100.0,15015
15,19,83,83,100.0,15019
15,21,110,110,100.0,15021
15,24,101,101,100.0,15024
15,30,73,73,100.0,15030
15,31,98,98,100.0,15031
15,33,87,87,100.0,15033
15,38,78,78,100.0,15038
15,39,85,85,100.0,15039
15,42,79,79,100.0,15042
15,44,82,82,100.0,15044
15,46,76,76,100.0,15046
15,47,100,100,100.0,15047
15,48,68,68,100.0,15048
17,1,57,57,100.0,17001
17,3,129,129,100.0,17003
17,6,122,122,100.0,17006
17,8,90,90,100.0,17008
17,9,96,96,100.0,17009
17,11,29,29,100.0,17011
17,16,139,139,100.0,17016
17,17,117,117,100.0,17017
17,20,126,126,100.0,17020
17,23,113,113,100.0,17023
17,28,120,120,100.0,17028
17,30,0,0,0.0,17030
17,33,122,122,100.0,17033
17,34,112,112,100.0,17034
17,35,84,84,100.0,17035
17,36,95,95,100.0,17036
17,37,122,122,100.0,17037
17,39,118,118,100.0,17039
17,40,15,15,100.0,17040
17,41,92,92,100.0,17041
17,44,142,142,100.0,17044
17,45,234,234,100.0,17045
17,47,92,92,100.0,17047
17,48,103,103,100.0,17048
17,49,92,92,100.0,17049
17,50,108,108,100.0,17050
20,40,77,77,100.0,20040
20,43,149,149,100.0,20043
20,51,89,89,100.0,20051
