ward,precinct,total,BERNARD J. HANSEN,BERNARD J. HANSEN Percent,precinct_id
44,1,115,115,100.0,44001
44,2,68,68,100.0,44002
44,3,119,119,100.0,44003
44,4,161,161,100.0,44004
44,5,81,81,100.0,44005
44,6,53,53,100.0,44006
44,7,117,117,100.0,44007
44,8,113,113,100.0,44008
44,9,101,101,100.0,44009
44,10,127,127,100.0,44010
44,11,73,73,100.0,44011
44,12,61,61,100.0,44012
44,13,82,82,100.0,44013
44,14,88,88,100.0,44014
44,15,71,71,100.0,44015
44,16,65,65,100.0,44016
44,17,89,89,100.0,44017
44,18,28,28,100.0,44018
44,19,50,50,100.0,44019
44,20,67,67,100.0,44020
44,21,72,72,100.0,44021
44,22,64,64,100.0,44022
44,23,68,68,100.0,44023
44,24,63,63,100.0,44024
44,25,56,56,100.0,44025
44,26,65,65,100.0,44026
44,27,79,79,100.0,44027
44,28,60,60,100.0,44028
44,29,54,54,100.0,44029
44,30,63,63,100.0,44030
44,31,87,87,100.0,44031
44,32,43,43,100.0,44032
44,33,102,102,100.0,44033
44,34,70,70,100.0,44034
44,35,99,99,100.0,44035
44,36,74,74,100.0,44036
44,37,127,127,100.0,44037
44,38,79,79,100.0,44038
44,39,72,72,100.0,44039
44,40,79,79,100.0,44040
44,41,97,97,100.0,44041
44,42,87,87,100.0,44042
44,43,90,90,100.0,44043
44,44,134,134,100.0,44044
44,45,82,82,100.0,44045
44,46,42,42,100.0,44046
44,47,66,66,100.0,44047
44,48,71,71,100.0,44048
44,49,69,69,100.0,44049
44,50,60,60,100.0,44050
