ward,precinct,total,"LOVANA S. """"LOU"""" JONES","LOVANA S. """"LOU"""" JONES Percent",precinct_id
2,18,244,244,100.0,02018
2,21,141,141,100.0,02021
2,33,205,205,100.0,02033
2,45,63,63,100.0,02045
2,47,85,85,100.0,02047
2,48,153,153,100.0,02048
3,1,119,119,100.0,03001
3,2,167,167,100.0,03002
3,5,34,34,100.0,03005
3,6,32,32,100.0,03006
3,7,13,13,100.0,03007
3,8,41,41,100.0,03008
3,9,77,77,100.0,03009
3,11,56,56,100.0,03011
3,14,52,52,100.0,03014
3,15,70,70,100.0,03015
3,16,162,162,100.0,03016
3,17,78,78,100.0,03017
3,18,74,74,100.0,03018
3,19,34,34,100.0,03019
3,20,19,19,100.0,03020
3,22,82,82,100.0,03022
3,24,119,119,100.0,03024
3,25,19,19,100.0,03025
3,26,57,57,100.0,03026
3,29,8,8,100.0,03029
3,30,100,100,100.0,03030
3,31,104,104,100.0,03031
3,32,117,117,100.0,03032
3,34,22,22,100.0,03034
3,35,73,73,100.0,03035
3,37,71,71,100.0,03037
3,39,183,183,100.0,03039
3,40,78,78,100.0,03040
3,43,11,11,100.0,03043
3,47,76,76,100.0,03047
4,2,30,30,100.0,04002
4,3,156,156,100.0,04003
4,4,135,135,100.0,04004
4,5,156,156,100.0,04005
4,6,5,5,100.0,04006
4,7,108,108,100.0,04007
4,8,171,171,100.0,04008
4,10,177,177,100.0,04010
4,11,111,111,100.0,04011
4,12,105,105,100.0,04012
4,14,86,86,100.0,04014
4,15,83,83,100.0,04015
4,16,145,145,100.0,04016
4,18,100,100,100.0,04018
4,19,32,32,100.0,04019
4,21,142,142,100.0,04021
4,23,96,96,100.0,04023
4,24,148,148,100.0,04024
4,25,171,171,100.0,04025
4,26,116,116,100.0,04026
4,27,202,202,100.0,04027
4,30,33,33,100.0,04030
4,33,60,60,100.0,04033
4,35,78,78,100.0,04035
4,39,62,62,100.0,04039
4,40,124,124,100.0,04040
4,46,138,138,100.0,04046
4,49,42,42,100.0,04049
4,50,100,100,100.0,04050
4,53,26,26,100.0,04053
11,1,69,69,100.0,11001
11,4,71,71,100.0,11004
11,5,56,56,100.0,11005
11,7,69,69,100.0,11007
11,8,103,103,100.0,11008
11,9,78,78,100.0,11009
11,11,76,76,100.0,11011
11,12,84,84,100.0,11012
11,15,66,66,100.0,11015
11,16,68,68,100.0,11016
11,19,76,76,100.0,11019
11,20,102,102,100.0,11020
11,21,135,135,100.0,11021
11,24,106,106,100.0,11024
11,25,62,62,100.0,11025
11,32,68,68,100.0,11032
11,33,70,70,100.0,11033
11,34,54,54,100.0,11034
11,35,76,76,100.0,11035
11,37,107,107,100.0,11037
11,38,100,100,100.0,11038
11,39,111,111,100.0,11039
11,40,72,72,100.0,11040
11,41,64,64,100.0,11041
11,42,45,45,100.0,11042
11,44,86,86,100.0,11044
11,45,57,57,100.0,11045
11,46,51,51,100.0,11046
11,47,73,73,100.0,11047
11,48,50,50,100.0,11048
11,50,4,4,100.0,11050
11,51,70,70,100.0,11051
11,53,52,52,100.0,11053
11,54,67,67,100.0,11054
25,21,1,1,100.0,25021
